Authors,Title,Year,Source title,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output
"McGlynn D., Coleman S., Kerr D., McHugh C.",Day-Ahead Price Forecasting in Great Britain's BETTA Electricity Market,2019,"Proceedings of the 2018 IEEE Symposium Series on Computational Intelligence, SSCI 2018",,"The characteristics of commodities, such as electricity, natural gas and oil mean that standard statistics-based pricing and prediction models that are typically applied in financial markets cannot readily be transferred and used as energy pricing models. Therefore, we investigate the use of computational intelligence-based approaches for electricity price forecasting. This paper compares two models for day-ahead electricity price forecasting, an AdaBoosted ensemble of the Extra-Trees algorithm and a Generalized Regression Neural Network (GRNN). In this work both forecasting models were applied to the national electricity market of Great Britain, the British Energy and Electricity Trading Arrangements (BETTA). The models were evaluated using the mean absolute percentage error (MAPE) statistic, normalized mean absolute percentage error (NMAPE) and normalized root-mean-square error (NRMSE). The results show that the GRNN yielded a comparable forecasting error to the AdaBoosted algorithm with a significantly faster computation time. © 2018 IEEE.",British Energy and Electricity Trading Arrangements (BETTA); Extra-Trees; Generalized Regression Neural Networks (GRNN); Machine Learning; Price Forecasting,Commerce; Costs; Electric industry; Electronic trading; Errors; Forecasting; Forestry; Learning systems; Mean square error; Neural networks; Object oriented programming; Trees (mathematics); Electricity price forecasting; Electricity trading; Extra-trees; Generalized Regression Neural Network(GRNN); Mean absolute percentage error; National electricity markets; Price forecasting; Root mean square errors; Power markets,5,1,1,1
"Deepa S.N., Arulmozhi N., Gobu B., Kanimozhi P., Jaikumar S., Tangaradjou A.A.V.",Adaptive Regularized ELM and Improved VMD Method for Multi-step ahead Electricity Price Forecasting,2019,"Proceedings - 17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018",,"This paper proposes a hybrid machine learning algorithm for multi-step ahead electricity price forecasting problem. The non-stationary time series data like electricity price, needs robust learning model for prediction of future market price to effective operation of the market based power system. In this research, an adaptive regularized extreme learning machine (ARELM) is proposed with adaptive weight updation in the hidden layers based on both structural risk minimization and empirical risk minimization. The Ant Colony Optimization (ACO) algorithm is applied for optimizing the initial weights and thresholds between input layer and hidden layer of ARELM model. To enhance the overall prediction accuracy of ARELM, a new improved Variational Mode Decomposition (IVMD) is employed to decompose the pricing data into several intermediate frequency modes thereby eradicate stochastic components. Two real-time electricity price series of Australia and India are adopted for multi-step ahead prediction and the results are compared with other learning models available in the literature. © 2018 IEEE.",-Adaptive-Regularized-extreme-learning-machine-; -price-forecasting; Variational-mode-decomposition,Ant colony optimization; Commerce; Forecasting; Knowledge acquisition; Learning algorithms; Power markets; Stochastic systems; Ant Colony Optimization algorithms; Electricity price forecasting; Extreme learning machine; Intermediate frequency modes; Mode decomposition; Multi-step-ahead predictions; Price forecasting; Structural risk minimization; Machine learning,5,1,1,1
"Meier J.-H., Schneider S., Le C.",Short-term electricity price forecasting using generalized additive models,2019,CEUR Workshop Proceedings,,"If one examines the spot price series of electrical power over the course of time, it is striking that the electricity price across the day takes a course that is determined by power consumption following a day and night rhythm. The daily course changes in its height and temporal extent in both, the course of the week, as well as with the course of the year. This study deals methodologically with this intra-day and seasonal behaviour. We contribute the usage of Generalized Additive Models (GAM) and apply these models with European data. © 2019 CEUR-WS. All rights reserved.",Electricity prices; Forecasting; Generalized additive models,Additives; Forecasting; Industrial research; Knowledge management; Electrical power; Electricity price forecasting; Electricity prices; Generalized additive model; Short term; Spot price; Power markets,4,1,1,1
"Serafin T., Uniejewski B., Weron R.",Averaging predictive distributions across calibration windows for day-ahead electricity price forecasting,2019,Energies,5,"The recent developments in combining point forecasts of day-ahead electricity prices across calibration windows have provided an extremely simple, yet a very efficient tool for improving predictive accuracy. Here, we consider two novel extensions of this concept to probabilistic forecasting: one based on Quantile Regression Averaging (QRA) applied to a set of point forecasts obtained for different calibration windows, the other on a technique dubbed Quantile Regression Machine (QRM), which first averages these point predictions, then applies quantile regression to the combined forecast. Once computed, we combine the probabilistic forecasts across calibration windows by averaging probabilities of the corresponding predictive distributions. Our results show that QRM is not only computationally more efficient, but also yields significantly more accurate distributional predictions, as measured by the aggregate pinball score and the test of conditional predictive ability. Moreover, combining probabilistic forecasts brings further significant accuracy gains. c 2019 by the authors.",Autoregression; Average probability forecast; Calibration window; Combining forecasts; Conditional predictive ability; Electricity price forecasting; Pinball score; Predictive distribution,Calibration; Forecasting; Probability distributions; Regression analysis; Autoregression; Combining forecasts; Electricity price forecasting; Pinball score; Predictive abilities; Predictive distributions; Probability forecasts; Power markets,4,2,1,2
"Shayeghi H., Ghasemi A., Shayanfar H.A.",Effect of demand-side management in electricity price/load forecasting in smart grids,2019,"Proceedings of the 2015 International Conference on Artificial Intelligence, ICAI 2015 - WORLDCOMP 2015",,"Electricity price and load forecasting are two important problems for market participants and independent system operators (ISO) in smart grid environments. Most existing papers predict price and load separately, while, the aggregate reaction of consumers can potentially shift the demand curve in the market, resulting in prices that may differ from the initial forecasts. In this regards, demand-side management (DSM) constructs the customers responsible for improving the efficiency, reliability and sustainability of the power system. In this paper, we proposed a new multi-input multi-output (MIMO) system which can consider the interaction between load and price. Therefore, proposed Least Squares Support Vector Machine (LSSVM) to model the nonlinear pattern in price and load. Also, used discrete wavelet transform (DWT) to make valuable subsets. Moreover, proposed feature selection to select best input candidates. Finally, the MIMO-based LSSVM parameters are optimized by artificial bee colony (ABC) algorithm. Simulations carried out NEPOOL region (courtesy ISO New England) electricity market data, and showing that the proposed algorithm has good potential for simultaneous forecasting of electricity price and load in smart grids. © 2019 ICAI 2015 - WORLDCOMP 2015. All rights reserved.",DSM; Electricity Market; LSSVM; Price and load forecast; Smart grid,Artificial intelligence; Commerce; Demand side management; Discrete wavelet transforms; Electric industry; Electric load forecasting; Electric power plant loads; Electric power transmission networks; Electric utilities; Forecasting; MIMO systems; Optimization; Power markets; Support vector machines; Artificial bee colony algorithms (ABC); Independent system operators; Least squares support vector machines; Load forecast; LSSVM; Market participants; Multi-input multi-output system; Smart grid; Smart power grids,5,1,1,1
"Karabiber O.A., Xydis G.","Electricity price forecasting in the Danish day-ahead market using the TBATS, ANN and ARIMA methods",2019,Energies,11,"In this paper day-ahead electricity price forecasting for the Denmark-West region is realized with a 24 h forecasting range. The forecasting is done for 212 days from the beginning of 2017 and past data from 2016 is used. For forecasting, Autoregressive Integrated Moving Average (ARIMA), Trigonometric Seasonal Box-Cox Transformation with ARMA residuals Trend and Seasonal Components (TBATS) and Artificial Neural Networks (ANN) methods are used and seasonal naïve forecast is utilized as a benchmark. Mean absolute error (MAE) and root mean squared error (RMSE) are used as accuracy criterions. ARIMA and ANN are utilized with external variables and variable analysis is realized in order to improve forecasting results. As a result of variable analysis, it was observed that excluding temperature from external variables helped improve forecasting results. In terms of mean error ARIMA yielded the best results while ANN had the lowest minimum error and standard deviation. TBATS performed better than ANN in terms of mean error. To further improve forecasting accuracy, the three forecasts were combined using simple averaging and ANN methods and they were both found to be beneficial, with simple averaging having better accuracy. Overall, this paper demonstrates a solid forecasting methodology, while showing actual forecasting results and improvements for different forecasting methods. © 2019 by the authors.",ARIMA; Day ahead market; Electricity price forecasting; Forecast combination; Neural network,Commerce; Errors; Forecasting; Mean square error; Neural networks; ARIMA; Auto-regressive integrated moving average; Box Cox transformation; Day ahead market; Electricity price forecasting; Forecast combinations; Forecasting accuracy; Root mean squared errors; Power markets,"4, 5",1,1,1
"Xiong H., Mamon R.",A higher-order Markov chain-modulated model for electricity spot-price dynamics,2019,Applied Energy,6,"Over the last three decades, the electricity sector worldwide underwent massive deregulation. Power market participants have encountered a growing number of challenges due to competition and other pertinent factors. For most markets at present, electricity is a non-storable commodity and its price is extremely sensitive to changes in supply and demand. The evolution of electricity prices exhibits pronounced mean reversion and cyclical patterns, possesses extreme volatility and relatively frequently occurring spikes, and manifests presence of memory property. These observed features necessitate the development of models aimed to simultaneously capture such price characteristics for forecasting, risk management, and valuation of electricity-driven derivatives. Majority of current research studies examining electricity spot prices are based on one-state models. Such models though may not accurately capture the stylised behaviours of price evolution, especially during periods of sudden spikes driven by the abrupt changes of market sentiments. This paper tackles the modelling and estimation problems under a new paradigm that integrates the deterministic calendar seasons and stochastic factors governing electricity prices with a regime-switching feature. The de-seasonalised component of our proposed model has both the jump and mean-reverting properties to account for spikes and periodic cycles alternating between lower price returns and compensating periods of higher price returns. The parameters of the de-seasonalised model components are also modulated by a higher-order hidden Markov chain (HOHMC) in discrete time. This provides a mechanism to extract latent information from historical data. The HOHMC's state is interpreted as the “state of the world” resulting from the interaction of various forces impacting the electricity market. Filters are developed to generate optimal estimates of HOHMC-relevant quantities using the observation process, and these provide online estimates of model parameters. Empirical demonstrations using the daily electricity spot prices, compiled by the Alberta Electric System Operator (AESO), show that our HOHMM approach has considerable merits in terms of price data fitting and forecasting metrics. Our proposed framework driven by a hidden Markov chain with a state memory-capturing mechanism provides a powerful alternative to support the pricing of contracts in the electricity markets. © 2018 Elsevier Ltd",Change of reference probability measure; Commodity-derivatives valuation; Energy-price modelling; Finance; Poisson process; Statistical estimation,Chains; Commerce; Costs; Electric industry; Finance; Markov processes; Risk management; Signal theory; Stochastic systems; Electricity spot price; Energy prices; Hidden Markov chains; Higher-order Markov chains; Market participants; Poisson process; Reference probability; Statistical estimation; Power markets; demand analysis; electricity; energy market; estimation method; financial system; Markov chain; numerical model; Poisson ratio; price dynamics; probability; statistical analysis; stochasticity; Alberta; Canada,"3, 4",1,1,1
"Hubicka K., Marcjasz G., Weron R.",A Note on Averaging Day-Ahead Electricity Price Forecasts Across Calibration Windows,2019,IEEE Transactions on Sustainable Energy,14,"We propose a novel concept in energy forecasting and show that averaging day-ahead electricity price forecasts of a predictive model across 28-728 day calibration windows yields better results than selecting only one ""optimal"" window length. Even more significant accuracy gains can be achieved by averaging over a few, carefully selected windows. © 2018 IEEE.",autoregression; calibration window; combining forecasts; committee machine; Diebold-Mariano test; Electricity price forecasting; NARX neural network,Calibration; Electric load management; Forecasting; Mathematical models; Regression analysis; Autoregression; Combining forecasts; Committee machines; Computational model; Diebold; Electricity price forecasting; Load modeling; Microsoft windows; NARX neural network; Predictive models; Power markets,"4, 5",1,1,1
"Gao W., Darvishan A., Toghani M., Mohammadi M., Abedinia O., Ghadimi N.",Different states of multi-block based forecast engine for price and load prediction,2019,International Journal of Electrical Power and Energy Systems,69,"This work proposes different prediction models based on multi-block forecast engine for load and price forecast in electricity market. Due to high correlation of load and price signals, the density of this reaction can affect the demand curve and shift it in market. Furthermore, to improve the operation and planning improvement in the power system, an accurate prediction model can play an important role. So, in this paper, a complex prediction approach is presented based on feature selection, and multi-stage forecast engine. The forecast engine is comprised of multi-block neural network (NN) and optimized by an intelligent algorithm to increase the training mechanism and forecasting abilities. Moreover, different models of multi-block forecast engine are presented in this paper to choose the effective model. In other words, different combinations of NN are tested in the same prediction condition to show their abilities. The proposed model is tested over real-world engineering test cases through comparison with other prediction methods. Obtained results demonstrate the validity of the proposed model. © 2018 Elsevier Ltd",Feature selection; Intelligent algorithm; Load and price; Multi-block forecast engine,Commerce; Costs; Engines; Feature extraction; Accurate prediction; Engineering tests; Forecasting ability; Intelligent Algorithms; Multi blocks; Neural network (nn); Prediction methods; Prediction model; Forecasting,5,1,1,1
"Chinnathambi R.A., Plathottam S.J., Hossen T., Nair A.S., Ranganathan P.",Deep Neural Networks (DNN) for Day-Ahead Electricity Price Markets,2018,"2018 IEEE Electrical Power and Energy Conference, EPEC 2018",6,"This work investigates the application of a multilayered Perceptron (MLP) deep neural network for the day-ahead price forecast of the Iberian electricity market (MIBEL) which serves the mainland areas of the Spain and Portugal. The 3-month and 6-month period of price and energy data are treated as a historical dataset to train and predict the price for day-ahead markets. The network structure is implemented using Google's machine learning TensorFlow platform. Activation function such as Rectifier Linear Unit (ReLU) was tested to achieve a better Mean Absolute Percentage Error (MAPE). Three different layers (2, 3, and 4) were tested to understand the behavior of the model. Three different sets of variables (17, 4, 2) were used and variable selection approaches were used to discard irrelevant variables. © 2018 IEEE.",Day-ahead price forecast; Deep learning; Iberian Market; Multilayer Perceptron Networks; TensorFlow,Commerce; Deep learning; Deep neural networks; Forecasting; Day-ahead price forecasts; Iberian electricity market; Iberian market; Irrelevant variables; Mean absolute percentage error; Multi-layer perceptron networks; Multi-layered Perceptron; TensorFlow; Power markets,5,1,1,1
"Chinnathambi R.A., Campion M., Nair A.S., Ranganathan P.",Investigation of Price-Feature Selection Algorithms for the Day-Ahead Electricity Markets,2018,"2018 IEEE Electrical Power and Energy Conference, EPEC 2018",2,"This paper investigates three types of feature selection techniques such as relative importance using Linear Regression (LR), Multivariate Adaptive Regression Splines (MARS), and Random forest (RF) to reduce the forecasts error for the hourly spot price of the Iberian electricity markets. Two pricing datasets of durations three and six months were used to validate the performance of the model. Three different set of features (17, 4, 2) for three and six months duration were used in this study. These selected features were applied to the two-stage hybrid model such as ARIMA-GLM, ARIMA-SVM, and ARIMA-RF. Finally, three variables (or features) that are commonly matched were selected and tested. Considerable reduction in Mean Absolute Percentage Errors (MAPE) values were observed for both three and six-month datasets. © 2018 IEEE.",Day-ahead price forecast; Feature Selection; Iberian Market; MARS; Random forest; Relative importance,Commerce; Decision trees; Feature extraction; Forecasting; Day-ahead price forecasts; Iberian market; MARS; Random forests; Relative importance; Power markets,5,1,1,1
"Zhu Y., Da R., Liu G., Wang Z., Lu S.",Power market price forecasting via deep learning,2018,Proceedings: IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,2,"A study on power market price forecasting by deep learning is presented. As one of the most successful deep learning frameworks, the LSTM (Long short-term memory) neural network is utilized. The hourly prices data from the New England and PJM day-ahead markets are used in this study. First, a LSTM network is formulated and trained. Then the raw input and output data are preprocessed by unit scaling, and the trained network is tested on the real price data under different input lengths, forecasting horizons and data sizes. Its performance is also compared with other existing methods. The forecasted results demonstrate that, the LSTM deep neural network can outperform the others under different application settings in this problem. © 2018 IEEE.",Deep Learning; LSTM; Neural Network; Power Market; Regression; RNN; Time Series,Commerce; Deep learning; Deep neural networks; Forecasting; Industrial electronics; Neural networks; Power markets; Time series; Day ahead market; Hourly prices; Input and outputs; Input lengths; Learning frameworks; LSTM; Market price; Regression; Long short-term memory,5,1,1,1
"Osório G.J., Lotfi M., Shafie-khah M., Campos V.M.A., Catalão J.P.S.",Hybrid forecasting model for short-term electricity market prices with renewable integration,2018,Sustainability (Switzerland),6,"In recent years, there have been notable commitments and obligations by the electricity sector for more sustainable generation and delivery processes to reduce the environmental footprint. However, there is still a long way to go to achieve necessary sustainability goals while ensuring standards of robustness and the quality of power grids. One of the main challenges hindering this progress are uncertainties and stochasticity associated with the electricity sector and especially renewable generation. In this paradigm shift, forecasting tools are indispensable, and their utilization can significantly improve system operation and minimize costs associated with all related activities. Thus, forecasting tools have an essential key role in all decision-making stages. In this work, a hybrid probabilistic forecasting model (HPFM) was developed for short-term electricity market prices (EMP) combining wavelet transforms (WT), hybrid particle swarm optimization (DEEPSO), adaptive neuro-fuzzy inference system (ANFIS), and Monte Carlo simulation (MCS). The proposed hybrid probabilistic forecasting model (HPFM) was tested and validated with real data from the Spanish and Pennsylvania-New Jersey-Maryland (PJM) markets. The proposed model exhibited favorable results and performance in comparison with previously published work considering electricity market prices (EMP) data, which is notable. © 2018 by the authors.",Adaptive neuro-fuzzy inference system; Electricity market prices; Forecasting; Monte Carlo simulation; Particle swarm optimization; Probabilistic,decision making; electricity; energy market; environmental impact; forecasting method; fuzzy mathematics; model; Monte Carlo analysis; optimization; probability; simulation; stochasticity; sustainability; uncertainty analysis; Maryland; New Jersey; Pennsylvania; United States,"4, 5",2,1,2
"Hamilton G., Abeygunawardana A., Jovanovic D.P., Ledwich G.F.",Hybrid Model for Very Short-Term Electricity Price Forecasting,2018,IEEE Power and Energy Society General Meeting,,"It is expected that more and more grid connected renewable plants, coupled with energy storage, will be added to the Australian grid to meet the grid integration challenges of renewables. With increased penetration of such systems in the grid, optimal daily scheduling of hybrid renewable-storage generation systems has become a topic of interest. The very short-term (VST) electricity price forecasting is one of the key inputs of such optimal scheduling models. This paper presents a hybrid Support Vector Regression (SVR) and Feedforward Artificial Neural Network (FANN) based approach for VST forecasting of electricity prices. The forecast accuracy of this proposed model is demonstrated with real data from the National Electricity Market (NEM) of Australia. © 2018 IEEE.",Electricity; Energy; Forecast; Price; Renewable,Digital storage; Electric energy storage; Electricity; Forecasting; Neural networks; Scheduling; Electricity price forecasting; Energy; Feedforward artificial neural network; Generation systems; National electricity markets; Optimal daily scheduling; Price; Renewable; Power markets,5,1,1,1
"Li Y., Liang R., Li Z., Gao J., Wang Y., Wu T.",Research on electricity price forecasting method based on genetic algorithm and neural network in power market,2018,"2nd IEEE Conference on Energy Internet and Energy System Integration, EI2 2018 - Proceedings",2,"With the development of electric power industry marketization, the importance of electricity price forecasting has been gradually highlighted. Because of the randomness of electricity price and the good generalization ability of neural network to deal with various non-linear problems, the Back Propagation (BP) neural network algorithm is widely used to predict electricity price. However, BP neural network has some disadvantages such as slow convergence rate and easy to fall into local optimum, so this paper improves the BP neural network prediction algorithm based on Genetic Algorithm (GA). The traditional BP neural network is easy to get the error signal into local minima, and the genetic algorithm can solve the problem by optimizing the weights and thresholds of BP neural network. This paper chooses the electricity price of electricity market in Australia as an example, uses the genetic algorithm and BP neural network model to solve the actual operation, realizes the cause of the final error, and verifies the superiority of BP neural network based on genetic algorithm compared with the traditional BP neural network. © 2018 IEEE.",BP Networks; Electricity Market; Electricity Price Forecasting; Error Analysis; Genetic Algorithms,Backpropagation algorithms; Commerce; Electric industry; Error analysis; Errors; Forecasting; Genetic algorithms; Neural networks; Back propagation neural networks; BP networks; BP neural network model; BP neural networks; Electric power industries; Electricity price forecasting; Generalization ability; Nonlinear problems; Power markets,5,0,1,0
"Jiang L., Hu G.",Day-Ahead Price Forecasting for Electricity Market using Long-Short Term Memory Recurrent Neural Network,2018,"2018 15th International Conference on Control, Automation, Robotics and Vision, ICARCV 2018",5,"In this paper, an efficient method for the day-ahead electricity price forecasting (EPF) is proposed based on a long-short term memory (LSTM) recurrent neural network model. LSTM network has been widely used in various applications such as natural language processing and time series analysis. It is capable of learning features and long term dependencies of the historical information on the current predictions for sequential data. We propose to use LSTM model to forecast the day-ahead electricity price for Australian market at Victoria (VIC) region and Singapore market. Instead of using only historical prices as inputs to the model, we also consider exogenous variables, such as holidays, day of the week, hour of the day, weather conditions, oil prices and historical price/demand, etc. The output is the electricity price for the next hour. The future 24 hours of prices are forecasted in a recursive manner. The mean absolute percentage error (MAPE) of four weeks for each season in VIC and Singapore markets are examined. The effectiveness of the proposed method is verified using real market data from both markets. The result shows that the LSTM network outperforms four popular forecasting methods and provides up to 47.3% improvement in the average daily MAPE for the VIC market. © 2018 IEEE.",Electricity price forecasting (EPF); energy market; long-short term memory neural network; multiple steps,Brain; Commerce; Computer vision; Costs; Forecasting; Long short-term memory; Natural language processing systems; Robotics; Time series analysis; Electricity price forecasting; Energy markets; Historical information; Long-term dependencies; Mean absolute percentage error; multiple steps; NAtural language processing; Recurrent neural network model; Power markets,5,1,1,1
"Ding L., Ge Q.",Electricity Market Clearing Price Forecast Based on Adaptive Kalman Filter,2018,"ICCAIS 2018 - 7th International Conference on Control, Automation and Information Sciences",3,"In the competitive electricity market, in order to guarantee generators profits, they usually adopt bidding strategies to participate in the electricity market competition. The forecast of market clearing prices in the electricity market can provide a reference for the quotation behavior of generator companies. This paper develops a new day-ahead electricity price forecasting based on adaptive Kalman filter. Under the condition of unknown prediction model state transition matrix and the statistical characteristics of the observed noise, To estimate the unknown parameters of the prediction model according to the electricity market clearing electricity price data. According to the estimation, the generators will make a quotation with a slightly lower than the predicted market clearing price, ensuring their unit capacity can participate in the market bidding and achieve the goal of maximizing its own profit. The predicted price is applied to the PJM power market to verify its prediction accuracy. © 2018 IEEE.",adaptive Kalman filter; Electricity market; forecast electricity market price; generator,Adaptive filtering; Adaptive filters; Commerce; Competition; Cost estimating; Electric industry; Forecasting; Kalman filters; Profitability; Adaptive kalman filter; Competitive electricity markets; Electricity price forecasting; Electricity prices; generator; Market Clearing Price; Prediction accuracy; Statistical characteristics; Power markets,4,0,1,1
"Zhang W., Cheema F., Srinivasan D.",Forecasting of electricity prices using deep learning networks,2018,"Asia-Pacific Power and Energy Engineering Conference, APPEEC",1,"Estimating future electricity prices is a critical economic success factor for participants in the energy market. In this paper, a modular day-ahead electricity price forecasting approach is proposed. Feeding on historical price data, grid weather data and load forecasts, the model delivers precise estimations of hourly day-ahead electricity prices, for a chosen case study of the German bidding zone. A time series model, based on a combination of convolutional and recurrent neural networks, provides a predictive foundation. This basic estimation is enriched with predictions of wind and solar power generation in Germany, derived from a convolutional neural network feeding on multi-dimensional grid weather data. Together with a load estimation, provided by the German Transmission System Operators, all three input streams are aggregated in a gradient boosting regressor to produce a final estimation for the electricity prices of the upcoming day. © 2018 IEEE.",,Convolution; Costs; Deep learning; Electric power transmission; Electric power transmission networks; Forecasting; Meteorology; Recurrent neural networks; Solar energy; Solar power generation; Convolutional neural network; Electricity price forecasting; Electricity prices; Gradient boosting; Multi-dimensional grids; Time series modeling; Transmission system operators; Wind and solar power; Power markets,5,1,1,1
"Ullah M.H., Paul S., Park J.-D.",Real-Time Electricity Price Forecasting for Energy Management in Grid-Tied MTDC Microgrids,2018,"2018 IEEE Energy Conversion Congress and Exposition, ECCE 2018",1,"In power market, electricity price forecasting is one of the challenging issues and it plays a significant role in grid-tied microgrid's (MG's) energy management systems (EMSs). Accurate forecasting can make precise economically beneficial decision not only in efficient resource scheduling, but also in real-time energy arbitrage. To maximize the profit, the idea is to buy energy at low price and sell at high. However, it is very complex and volatile task since the electricity prices are highly fluctuating in nature as a result of bidding competition among the suppliers and consumers in the electricity market. In this context, an artificial neural network based approach with an adaptive learning algorithm called resilient backpropagation was used to forecast the real-time electricity price throughout the year 2016 and forecasting error was analyzed. Result showed that the yearly mean error was 3.705IMWh and the mean absolute percentage error was in acceptable range of 5%-10% most of the cases. Also, the economical impact of the real-time electricity price forecasting to the MG's EMSs was analyzed, and a model predictive control based EMS for grid-tied multi-terminal DC (MTDC) microgrids was proposed in this paper. © 2018 IEEE.",Artificial intelligence; DC OPF; Forecasting; Microgrid; MPC; Power market; Real-time energy management,Artificial intelligence; Backpropagation algorithms; Commerce; Electric power transmission networks; Electronic trading; Energy conversion; Energy management; Errors; Forecasting; Learning algorithms; Model predictive control; Neural networks; Power markets; Predictive control systems; Adaptive learning algorithm; DC OPF; Electricity price forecasting; Mean absolute percentage error; Micro grid; Real-time electricity prices; Real-time energy management; Resilient backpropagation; Energy management systems,5,1,1,1
"Dehghan-Banadaki A., Taufik T., Feliachi A.",Big data analytics in a day-ahead electricity price forecasting using tensorflow in restructured power systems,2018,"Proceedings - 2018 International Conference on Computational Science and Computational Intelligence, CSCI 2018",1,"Although Smart Grids (in power systems) can bring beneficial features such as lowering the power market price, it enforces having a more comprehensive platform that can analyze a huge amount of data coming from sensor networks throughout the system. In this paper, a distributed and highly scalable machine learning platform called Tensorflow has been studied. Tensorflow is a Google's open source platform for artificial intelligence systems. The advantage of this package is that it can run parallel computations on distributed systems on a scale of thousands cores. Hence, big data analytics for real time applications are nowadays done with this package. In this paper, a case study considering a day-ahead price forecasting for power market of two European countries have been studied via Tensorflow. All the data gathered from the renewable energies and conventional generators, as well as weather forecasts, have been fed to the forecasting system to predict the day-ahead price of the market. The result shows improvement in the convergence speed as well as the prediction accuracy. © 2018 IEEE.",Big data; Day ahead forecasting; Price forecasting; Tensorflow,Advanced Analytics; Artificial intelligence; Big data; Data Analytics; Distributed computer systems; Electric power transmission networks; Open systems; Sensor networks; Smart power grids; Weather forecasting; Artificial intelligence systems; Conventional generators; Day-ahead; Electricity price forecasting; Price forecasting; Restructured power systems; Scalable machine learning; Tensorflow; Power markets,5,1,1,1
"Nazar M.S., Fard A.E., Heidari A., Shafie-khah M., Catalão J.P.S.",Hybrid model using three-stage algorithm for simultaneous load and price forecasting,2018,Electric Power Systems Research,14,"Short-term load and price forecasting is an important issue in the optimal operation of restructured electric utilities. This paper presents a new intelligent hybrid three-stage model for simultaneous load and price forecasting. The proposed algorithm uses wavelet and Kalman machines for the first stage load and price forecasting. Each of the load and price data is decomposed into different frequency components, and Kalman machine is used to forecast each frequency components of load and price data. Then a Kohonen Self Organizing Map (SOM) finds similar days of load frequency components and feeds them into the second stage forecasting machine. In addition, mutual information based feature selection is used to find the relevant price data and rank them based on their relevance. The second stage uses Multi-Layer Perceptron Artificial Neural Network (MLP-ANN) and Adaptive Neuro-Fuzzy Inference System (ANFIS) for forecasting of load and price frequency components, respectively. The third stage machine uses the second stage outputs and feeds them into its MLP-ANN and ANFIS machines to improve the load and price forecasting accuracy. The proposed three-stage algorithm is applied to Nordpool and mainland Spain power markets. The obtained results are compared with the recent load and price forecast algorithms, and showed that the three-stage algorithm presents a better performance for day-ahead electricity market load and price forecasting. © 2018 Elsevier B.V.",Feature selection; Mutual information; Neural network; Price and load forecasting; Wavelet transformation,Commerce; Conformal mapping; Electric load forecasting; Electric utilities; Feature extraction; Forecasting; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Machine components; Neural networks; Self organizing maps; Adaptive neuro fuzzy inference systems (ANFIS); Day-ahead electricity market; Kohonen self-organizing maps; Multi layer perceptron; Mutual informations; Price and load forecasting; Price forecast algorithms; Wavelet transformations; Power markets,"4, 5",1,1,1
"Ben Amor S., Boubaker H., Belkacem L.",Forecasting electricity spot price for Nord Pool market with a hybrid k-factor GARMA–LLWNN model,2018,Journal of Forecasting,1,"This paper proposes a new hybrid approach, based on the combination of parametric and nonparametric models by adopting wavelet estimation approach, to model and predict the price electricity for Nord Pool market. Our hybrid methodology consists into two steps. The first step aims at modeling the conditional mean of the time series, using a generalized fractional model with k-factor of Gegenbauer termed the k-factor GARMA model; the parameters of this model are estimated using the wavelet approach based on the discrete wavelet packet transform (DWPT). The second step aims at estimating the conditional variance, so we adopt the local linear wavelet neural network (LLWNN) model. The proposed hybrid model is tested using the hourly log-returns of electricity spot price from the Nord Pool market. The empirical results were compared with the predictions of the ARFIMA–LLWNN, the k-factor GARMA–FIGARCH and the individual LLWNN models. It is shown that the proposed hybrid k-factor GARMA–LLWNN model outperforms all other competing methods. Hence it is a robust tool in forecasting time series. © 2018 John Wiley & Sons, Ltd.",electricity price; forecasting; hybrid; k-factor GARMA; LLWNN,Commerce; Forecasting; Lakes; Parameter estimation; Power markets; Time series; Discrete wavelet packet transforms; Electricity prices; Forecasting electricity; Forecasting time series; hybrid; K-factor GARMA; LLWNN; Wavelet neural networks; Telecommunication traffic,"4, 5",0,1,0
