Authors;Title;Year;Source title;Cited by;Abstract;Author Keywords;Index Keywords;Type of method/model;Horizon;Market;Output
Rafiei M., Niknam T., Khooban M.H.;Probabilistic electricity price forecasting by improved clonal selection algorithm and wavelet preprocessing;2017;Neural Computing and Applications;15;Probabilistic forecasting is an appropriate tool that helps electricity markets participants to improve their decision making. Due to changes in electricity prices, the point forecasting accuracy cannot be guaranteed. Hence, participants are more interested in results of probabilistic forecasting methods such as prediction intervals method. In this paper, a hybrid approach for probabilistic electricity price forecasting is presented. This model is based on using improved clonal selection algorithm and extreme learning machine for neural networks training process and wavelet preprocess. The wavelet is utilized to decompose data into well behaved subsets, which increases accuracy of the model. Also, due to the high required computational time for training the neural networks, autocorrelation function is used to reduce the number of neural networks inputs. Finally, in order to evaluate the proposed probabilistic forecasting method, the Ontario and Australian electricity markets data are used. © 2016, The Natural Computing Applications Forum.;"Autocorrelation function; Improved clonal selection algorithm; Prediction intervals; Probabilistic forecasting; Wavelet preprocess";"Algorithms; Autocorrelation; Commerce; Costs; Decision making; Forecasting; Learning systems; Autocorrelation functions; Clonal selection algorithms; Prediction interval; Preprocess; Probabilistic forecasting; Power markets";4;1;1;2
Ghofrani M., Azimi R., Najafabadi F.M., Myers N.;A new day-ahead hourly electricity price forecasting framework;2017;2017 North American Power Symposium, NAPS 2017;2;This paper develops a hybrid electricity price-forecasting framework to improve the accuracy of prediction. A novel clustering method is proposed that uses a modified game theoretic self-organizing map (GTSOM) and neural gas (NG) along with competitive Hebbian Learning (CHL) to provide a better vector quantization (VQ). To resolve the deficiency of the original SOM, five strategies are proposed to enable the non-winning neurons to participate in the learning phase. Using GTSOM, the price-load input data are clustered into proper number of subsets. A novel cluster-selection method is proposed to select the most appropriate subset whose time-series data is processed to provide the inputs for the neural networks. Finally, Bayesian method is used to train the networks and forecast the electricity price. Market price data from an independent system operator is used to evaluate the algorithm performance. Furthermore, a comparison of the proposed method against other state-of-the-art forecasting techniques shows a significant improvement in the accuracy of the price forecast. © 2017 IEEE.;"Bayesian learning; clustering; electricity price; forecasting; game theory; neural networks; persistence method; self-organizing map";"Bayesian networks; Conformal mapping; Costs; Electric utilities; Forecasting; Game theory; Neural networks; Self organizing maps; Algorithm performance; Bayesian learning; clustering; Electricity price forecasting; Electricity prices; Forecasting techniques; Independent system operators; persistence method; Power markets";5;1;1;1
Talari S., Shafie-khah M., Osório G.J., Wang F., Heidari A., Catalão J.P.S.;Price forecasting of electricity markets in the presence of a high penetration of wind power generators;2017;Sustainability (Switzerland);4;"Price forecasting plays a vital role in the day-ahead markets. Once sellers and buyers access an accurate price forecasting, managing the economic risk can be conducted appropriately through offering or bidding suitable prices. In networks with high wind power penetration, the electricity price is influenced by wind energy; therefore, price forecasting can be more complicated. This paper proposes a novel hybrid approach for price forecasting of day-ahead markets, with high penetration of wind generators based on Wavelet transform, bivariate Auto-Regressive Integrated Moving Average (ARIMA) method and Radial Basis Function Neural Network (RBFN). To this end, a weighted time series for wind dominated power systems is calculated and added to a bivariate ARIMA model along with the price time series. Moreover, RBFN is applied as a tool to correct the estimation error, and particle swarm optimization (PSO) is used to optimize the structure and adapt the RBFN to the particular training set. This method is evaluated on the Spanish electricity market, which shows the efficiency of this approach. This method has less error compared with other methods especially when it considers the effects of large-scale wind generators. © 2017 by the authors.";"Bivariate ARIMA; Hybrid method; Price forecasting; Wavelet transform; Wind generator";"accuracy assessment; artificial neural network; economic analysis; electricity industry; optimization; power generation; price dynamics; wavelet analysis; wind power";4, 5;1;1;1
Zolotova I.Y., Dvorkin V.V.;Short-term forecasting of prices for the Russian wholesale electricity market based on neural networks;2017;Studies on Russian Economic Development;;The article considers the possibility of using neural networks for the short-term forecasting of electricity prices in the day-ahead market (DAM) based on factors strictly determined for the forecast period. A set of six factors has been determined, which allows an hourly forecast of the DAM price to be constructed for a month in each of the four seasons with a high accuracy. The proposed model shows low average errors in forecasting the price for each hour of the month and in turn allows possible significant price deviations to be anticipated. © 2017, Pleiades Publishing, Ltd.;;;0;0;1;0
Hu J.-M., Wang J.-Z.;Forecasting day-ahead electricity price using a hybrid improved approach;2017;Journal of Electrical Engineering and Technology;;"Electricity price prediction plays a crucial part in making the schedule and managing the risk to the competitive electricity market participants. However, it is a difficult and challenging task owing to the characteristics of the nonlinearity, non-stationarity and uncertainty of the price series. This study proposes a hybrid improved strategy which incorporates data preprocessor components and a forecasting engine component to enhance the forecasting accuracy of the electricity price. In the developed forecasting procedure, the Seasonal Adjustment (SA) method and the Ensemble Empirical Mode Decomposition (EEMD) technique are synthesized as the data preprocessing component; the Coupled Simulated Annealing (CSA) optimization method and the Least Square Support Vector Regression (LSSVR) algorithm construct the prediction engine. The proposed hybrid approach is verified with electricity price data sampled from the power market of New South Wales in Australia. The simulation outcome manifests that the proposed hybrid approach obtains the observable improvement in the forecasting accuracy compared with other approaches, which suggests that the proposed combinational approach occupies preferable predication ability and enough precision. © The Korean Institute of Electrical Engineers.";"Electricity price; Ensemble empirical mode decomposition; Forecasting; Least square support vector machine; Seasonal adjustment";"Commerce; Costs; Engines; Forecasting; Least squares approximations; Simulated annealing; Support vector machines; Competitive electricity markets; Electricity prices; Ensemble empirical mode decomposition; Ensemble empirical mode decompositions (EEMD); Forecasting procedures; Least square support vector machines; Least square support vector regressions; Seasonal adjustments; Power markets";4;1;1;1
Andrade J.R., Filipe J., Reis M., Bessa R.J.;Probabilistic price forecasting for day-ahead and intraday markets: Beyond the statistical model;2017;Sustainability (Switzerland);20;Forecasting the hourly spot price of day-ahead and intraday markets is particularly challenging in electric power systems characterized by high installed capacity of renewable energy technologies. In particular, periods with low and high price levels are difficult to predict due to a limited number of representative cases in the historical dataset, which leads to forecast bias problems and wide forecast intervals. Moreover, these markets also require the inclusion of multiple explanatory variables, which increases the complexity of the model without guaranteeing a forecasting skill improvement. This paper explores information from daily futures contract trading and forecast of the daily average spot price to correct point and probabilistic forecasting bias. It also shows that an adequate choice of explanatory variables and use of simple models like linear quantile regression can lead to highly accurate spot price point and probabilistic forecasts. In terms of point forecast, the mean absolute error was 3.03 €/MWh for day-ahead market and a maximum value of 2.53 €/MWh was obtained for intraday session 6. The probabilistic forecast results show sharp forecast intervals and deviations from perfect calibration below 7% for all market sessions. © 2017 by the authors.;"Electricity market; Feature engineering; Intraday; Price forecasting; Statistical learning; Uncertainty";"complexity; electrical power; energy market; energy resource; market conditions; numerical model; price dynamics; renewable resource; statistical analysis; uncertainty analysis";4;1;1, 2;2
Sadeghi-Mobarakeh A., Kohansal M., Papalexakis E.E., Mohsenian-Rad H.;Data mining based on random forest model to predict the California ISO day-ahead market prices;2017;2017 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2017;13;In this paper, an ensemble learning model, namely the random forest (RF) model, is used to predict both the exact values as well as the class labels of 24 hourly prices in the California Independent System Operator (CAISO)'s day-ahead electricity market. The focus is on predicting the prices for the Pacific Gas and Company (PG&E) default load aggregation point (DLAP). Several effective features, such as the historical hourly prices at different locations, calender data, and new ancillary service requirements are engineered and the model is trained in order to capture the best relations between the features and the target electricity price variables. Insightful case studies are implemented on the CAISO market data from January 1, 2014 to February 28, 2016. It is observed that the proposed data mining approach provides promising results in both predicting the exact value and in classifying the prices as low, medium and high. © 2017 IEEE.;"California ISO day-ahead market; Classification; Data mining; Electricity market price regression; Random forest";"Classification (of information); Commerce; Costs; Data mining; Decision trees; Electric industry; Electric power transmission networks; Electric utilities; Forecasting; Smart power grids; Ancillary service; Day ahead market; Day-ahead electricity market; Electricity prices; Ensemble learning; Independent system operators; Random forest modeling; Random forests; Power markets";4, 5;1;1;1
Sharma S., Tripathi M.M.;Novel hybrid price forecasting model using wavelet transform, time series time delay neural network and zero phase filter in AEMC market;2017;2016 IEEE 7th Power India International Conference, PIICON 2016;;In the daily price market, effective price forecasting in presence of the noisy data and intricate load features are important in deregulated power system. This paper presents a novel method of wavelet transform (WT) with data pre-filtering a prediction network based on time series time delay artificial neural network (TSDNN), and an error predicting algorithm based on TSDNN to forecast electricity prices of AEMC market for 2015. Filtered price is decomposed into various components at various frequencies using wavelet decomposition, seperate neural networks (NN) are applied to record individual components, finally results are then combined for final forecasts. Zero phase filter (ZPF) is applied to remove the delay. Error Prediction is shown through the box-plot distribution. Furthermore, low values obtained for the root mean square error (RMS) and mean absolute error (MAE) shows high accuracy of the proposed model. Numerical comparison signifies the effects of data pre-filtering and the accuracy of wavelet neural networks (WNN) based on a data set from AEMC Australia Market. © 2016 IEEE.;"Artificial neural network (ANN); Error prediction (EP); Mean absolute percentage error (MAPE); Time series time delay artificial neural network (TSDNN); Zero phase filter (ZPF)";"Bandpass filters; Commerce; Costs; Data flow analysis; Deregulation; Errors; Forecasting; Mean square error; Neural networks; Power markets; Time delay; Time series; Timing circuits; Wavelet decomposition; Box-plot distribution; Deregulated power systems; Error prediction; Mean absolute percentage error; Root mean square errors; Time delay neural networks; Wavelet neural networks; Zero-phase filters; Wavelet transforms";4, 5;0;1;1
Patil M., Deshmukh S.R., Agrawal R.;Electric power price forecasting using data mining techniques;2017;2017 International Conference on Data Management, Analytics and Innovation, ICDMAI 2017;4;Electricity price is the governing factor in taking various operational decisions such as generation scheduling, exchange of power amongst utilities, trading of power in market along with keeping pace with technical stability and reliability of power system. The accurate forecasting of price of electric power is a need of every participant in restructured power system scenario. Hence, this paper is an attempt to apply data mining for forecasting the electricity price. The k-mean algorithm is used for classification of data of historical prices of New York Energy Market (NYISO) according to type of day, into three classes. The k-NN algorithm to divide the classified data into two patterns for month of February-March and April to January. Once classification is done, the data is used for developing forecasting model. The historical electricity price data of 2014, along with load is used as input patterns. The accuracy of the developed model is verified by forecasting respective period samples of 2015. The performance of forecasting model is very satisfactory. The step wise development of forecasting model and the results are discussed in detail. © 2017 IEEE.;"Electric Power Price; Forecasting; K-Means; K-NN algorithm; Linear and Multiple Regressions; R";"Classification (of information); Commerce; Costs; Forecasting; Information management; Nearest neighbor search; Pattern recognition; Power markets; Classification of data; Electric power; Generation scheduling; K-means; k-NN algorithm; Multiple regressions; Operational decisions; Restructured power systems; Data mining";4, 5;2;1;2
Pircalabu A., Benth F.E.;A regime-switching copula approach to modeling day-ahead prices in coupled electricity markets;2017;Energy Economics;10;The recent price coupling of many European electricity markets has triggered a fundamental change in the interaction of day-ahead prices, challenging additionally the modeling of the joint behavior of prices in interconnected markets. In this paper we propose a regime-switching AR–GARCH copula to model pairs of day-ahead electricity prices in coupled European markets. While capturing key stylized facts empirically substantiated in the literature, this model easily allows us to 1) deviate from the assumption of normal margins and 2) include a more detailed description of the dependence between prices. We base our empirical study on four pairs of prices, namely Germany–France, Germany–Netherlands, Netherlands–Belgium and Germany–Western Denmark. We find that the marginal dynamics are better described by the flexible skew t distribution than the benchmark normal distribution. Also, we find significant evidence of tail dependence in all pairs of interconnected areas we consider. As a first application of the proposed model, we consider the pricing of financial transmission rights, and highlight how the choice of marginal distributions and copula impacts prices. As a second application we consider the forecasting of tail quantiles, and evaluate the out-of-sample performance of competing models. © 2017 Elsevier B.V.;"Copula models; Day-ahead electricity prices; Financial transmission rights; Market coupling; Tail dependence; Tail quantile forecasting";"Commerce; Costs; Normal distribution; Copula models; Electricity prices; Financial transmission right; Market coupling; Tail dependence; Power markets; electricity supply; energy market; forecasting method; modeling; performance assessment; price dynamics; Belgium; Denmark; France; Germany; Netherlands";3, 4;1;1;1
Guo W., Zhao Z.;A novel hybrid BND-FOA-LSSVM model for electricity price forecasting;2017;Information (Switzerland);6;Accurate electricity price forecasting plays an important role in the profits of electricity market participants and the healthy development of electricity market. However, the electricity price time series hold the characteristics of volatility and randomness, which make it quite hard to forecast electricity price accurately. In this paper, a novel hybrid model for electricity price forecasting was proposed combining Beveridge-Nelson decomposition (BND) method, fruit fly optimization algorithm (FOA), and least square support vector machine (LSSVM) model, namely BND-FOA-LSSVM model. Firstly, the original electricity price time series were decomposed into deterministic term, periodic term, and stochastic term by using BND model. Then, these three decomposed terms were forecasted by employing LSSVM model, respectively. Meanwhile, to improve the forecasting performance, a new swarm intelligence optimization algorithm FOA was used to automatically determine the optimal parameters of LSSVM model for deterministic term forecasting, periodic term forecasting, and stochastic term forecasting. Finally, the forecasting result of electricity price can be obtained by multiplying the forecasting values of these three terms. The results show the mean absolute percentage error (MAPE), root mean square error (RMSE) and mean absolute error (MAE) of the proposed BND-FOA-LSSVM model are respectively 3.48%, 11.18 Yuan/MWh and 9.95 Yuan/MWh, which are much smaller than that of LSSVM, BND-LSSVM, FOA-LSSVM, auto-regressive integrated moving average (ARIMA), and empirical mode decomposition (EMD)-FOA-LSSVM models. The proposed BND-FOA-LSSVM model is effective and practical for electricity price forecasting, which can improve the electricity price forecasting accuracy. © 2017 by the authors.;"Beveridge-Nelson decomposition method (BND); Electricity price forecasting; Fruit fly optimization algorithm (FOA); Intelligence forecasting; Least square support vectormachine (LSSVM)";"Commerce; Costs; Electric industry; Errors; Forecasting; Fruits; Least squares approximations; Mean square error; Optimization; Signal processing; Stochastic models; Stochastic systems; Support vector machines; Time series; Auto-regressive integrated moving average; Decomposition methods; Electricity price forecasting; Empirical Mode Decomposition; Fruit Fly Optimization Algorithm (FOA); Least square support vector machines; Mean absolute percentage error; Swarm intelligence optimization algorithm; Power markets";4, 5;1;1;1
Lahmiri S.;Comparing variational and empirical mode decomposition in forecasting day-ahead energy prices;2017;IEEE Systems Journal;58;Recently, variational mode decomposition (VMD) has been proposed as an advanced multiresolution technique for signal processing. This study presents a VMD-based generalized regression neural network ensemble learning model to predict California electricity and Brent crude oil prices. Its performance is compared to that of the empirical mode decomposition (EMD) based generalized regression neural network (GRNN) ensemble model. Particle swarm optimization is used to optimize each GRNN initial weight within the ensemble system. Experimental results showed that the VMD-based ensemble outperformed EMD-based ensemble forecasting system in terms of mean absolute error, mean absolute percentage error, and root mean-squared error. It also outperformed the conventional auto-regressive moving average model used for comparison purpose. As a result, the VMD-based GRNN ensemble forecasting paradigm could be a promising methodology for California electricity and Brent crude oil price prediction. © 2007-2012 IEEE.;"Empirical mode decomposition (EMD); energy price; ensemble system; forecasting; generalized regression neural network; variational mode decomposition (VMD)";"Costs; Crude oil; Errors; Forecasting; Mean square error; Neural networks; Particle swarm optimization (PSO); Power markets; Regression analysis; Empirical Mode Decomposition; Energy prices; Ensemble systems; Generalized regression neural networks; Mode decomposition; Signal processing";4, 5;1;1;1
Afkhami M., Cormack L., Ghoddusi H.;Google search keywords that best predict energy price volatility;2017;Energy Economics;20;Internet search activity data has been widely used as an instrument to approximate trader attention in different markets. This method has proven effective in predicting market indices in the short-term. However, little attention has been paid to demonstrating search activity for keywords that best grab investor attention in different markets. This study attempts to build the best practically possible proxy for attention in the market for energy commodities using Google search data. Specifically, we confirm the utility of Google search activity for energy related keywords are significant predictors of volatility by showing they have incremental predictive power beyond the conventional GARCH models in predicting volatility for energy commodities' prices. Starting with a set of ninety terms used in the energy sector, the study uses a multistage filtering process to create combinations of keywords that best predict the volatility of crude oil (Brent and West Texas Intermediate), conventional gasoline (New York Harbor and US Gulf Coast), heating oil (New York Harbor), and natural gas prices. For each commodity, combinations that enhance GARCH most effectively are established as proxies of attention. The results indicate investor attention is widely reflected in Internet search activities and demonstrate search data for what keywords best reveal the direction of concern and attention in energy markets. © 2017;"Energy market; Energy price volatility; Google search activity; Volatility prediction";"Commerce; Costs; Crude oil; Filtration; Forecasting; Information retrieval; Investments; Natural gas; Power markets; Conventional gasoline; Energy markets; Energy price volatilities; Internet searches; Multistage filtering; Natural gas price; Search activity; West texas intermediates; Search engines";4;1;−1;1
Saâdaoui F., Mrad M.;Stochastic modelling of the price-volume relationship in electricity markets: Evidence from the Nordic energy exchange;2017;International Transactions on Electrical Energy Systems;1;The analysis of the interactions between price and transaction volume, conducted as part of a financial market, is one of the central themes of the financial theory. However, with the emergence of power exchanges and despite the expansion of the research sphere in this context, this issue had not been sufficiently addressed. This is due to not only the lack of concepts in theory but also to the peculiarity of price dynamics. The purpose of this paper is to shed light on the nature of the relationship between price changes and trading volume in the Nordic power market (Nord Pool), which is one of the largest energy markets worldwide. Through statistical timing analysis of the price-volume covariation, we reconsider this joint modelling, but only settling for daily observations, which makes the specificity of this work. Contrary to most comparable works, which were based on high frequency data, we chose to omit intraday observations to circumvent the repercussion of the daily seasonality on one side and ensure more lucidity and clairvoyance to a wider horizon on the other. The empirical results go in line with our expectations and provide support for the claim that there exists a significant reciprocal causality between prices and trading volume. Copyright © 2017 John Wiley & Sons, Ltd.;"electricity prices; forecasting; Nord pool market; stylized facts; trading volume; vector autoregressive models";"Costs; Forecasting; Power markets; Stochastic systems; Electricity prices; Pool markets; Stylized facts; Trading volumes; Vector autoregressive model; Commerce";4;0;2;0
Mori H., Itaba S.;Integration of improved GRBFN with fuzzy clustering for electricity price forecasting;2017;IFSA-SCIS 2017 - Joint 17th World Congress of International Fuzzy Systems Association and 9th International Conference on Soft Computing and Intelligent Systems;1;"This paper proposes an efficient model with a hybrid intelligent system that consists of fuzzy c-Varieties of fuzzy clustering and GRBFN (Generalized Radial Basis Function Network) of ANN (Artificial Neural Network) for electricity price forecasting. In recent years, electric power system deregulation has been spread in the world so that electricity power markets become more complicated. Due to the highly nonlinearity of electricity price time-series, more accurate forecasting model are required to purchase and/or sell electricity in power markets. In this paper, a hybrid intelligent method is proposed to provide one-step ahead predicted values of electricity price with a couple of strategies; Fuzzy c-Varieties and improved GRBFN. The former is used to classify input data into some fuzzy clusters while the latter is employed to provide the predicted electricity price at each cluster by applying Deterministic Annealing clustering to the determination of the initial values of parameters in the Gaussian functions. The reason why Fuzzy c-Varieties are used is to increases the number of data by allowing each data to be belonged to more than two clusters. The proposed method is tested for real data of ISO New England, USA. © 2017 IEEE.";"clustering; DAclustering; electricity price; forecasting model; fuzzy c-Varieties; GRBFN; neural network; power market; pre-filtering";"Commerce; Costs; Deregulation; Electric power systems; Forecasting; Fuzzy clustering; Fuzzy inference; Fuzzy systems; Intelligent computing; Intelligent systems; Neural networks; Radial basis function networks; Soft computing; clustering; DAclustering; Electricity prices; Forecasting modeling; Fuzzy c-varieties; GRBFN; Pre-filtering; Power markets";5;1;1;1
Alshejari A., Kodogiannis V.S.;Electricity price forecasting using asymmetric fuzzy neural network systems;2017;IEEE International Conference on Fuzzy Systems;5;Electricity price forecasting is considered as an important tool for energy-related utilities and power generation industries. The deregulation of power market, as well as the competitive financial environment, which have introduced new market players in this field, makes the electricity price forecasting problem a demanding mission. The main focus of this paper is to investigate the performance of asymmetric neuro-fuzzy network models for day-ahead electricity price forecasting. The proposed model has been developed from existing Takagi-Sugeno-Kang fuzzy systems by substituting the IF part of fuzzy rules with an asymmetric Gaussian function. In addition, a clustering method is utilised as a pre-processing scheme to identify the initial set and adequate number of clusters and eventually the number of rules in the proposed model. The results corresponding to the minimum and maximum electricity price have indicated that the proposed forecasting scheme could be considered as an improved tool for the forecasting accuracy. © 2017 IEEE.;"Clustering; Electricity price forecasting; Neural networks; Neurofuzzy systems; Prediction";"Commerce; Costs; Deregulation; Forecasting; Fuzzy inference; Fuzzy logic; Fuzzy neural networks; Fuzzy systems; Neural networks; Clustering; Electricity price forecasting; Financial environments; Forecasting accuracy; Fuzzy neural network systems; Neurofuzzy system; Power generation industries; Takagi-Sugeno-Kang fuzzy system; Power markets";5;1;1;1
Nowakowska L., Lis K.;Electricity price forecasting as optimization problem using discrete dynamic model;2017;2017 6th International Youth Conference on Energy, IYCE 2017;3;Deregulation of wholesale energy markets has brought many challenges and one of them is the accuracy of price forecasting methods. In the environment where price is set not only by matching supply (generation side) and demand (utilities and customer side) but is also influenced by various factors such as capacity, ancillary services and transmission congestion, the most popular forecasting tools are performing poorly. Developing the proper pricing strategies is becoming increasingly important to all market participants in the competitive electric power markets. The goal of this paper is to present a price - forecasting method which uses optimized set of parameters to predict the price for the next hour. The model consists of an objective function describing the minimum difference between real price for current hour and forecasted price for the same hour. It is constrained by four equations describing current demand, supply, price and also its forecasted values. The whole system comprised of dynamic discrete model of which fundamentals are described by the author in the previous paper. The forecast accuracy of the proposed method is evaluated with real data from the Californian ISO day-ahead energy market. The proposed method provides significant innovation in area of price - forecasting tools and is characterized as new approach compared to most popular techniques applied to energy markets. © 2017 IEEE.;"Day-ahead electricity market; Dynamic discrete model; Optimization; Price forecasting";"Commerce; Costs; Deregulation; Forecasting; Optimization; Day-ahead electricity market; Day-ahead energy markets; Discrete dynamic models; Discrete modeling; Electricity price forecasting; Price forecasting; Transmission congestion; Wholesale energy market; Power markets";2, 4;1;1;1
Mirakyan A., Meyer-Renschhausen M., Koch A.;Composite forecasting approach, application for next-day electricity price forecasting;2017;Energy Economics;22;Accurate forecasting of electricity prices can provide significant benefits to energy suppliers when allocating their assets and to energy consumers for defining an optimal portfolio. There are numerous methods that efficiently support the forecasting of time series, such as electricity prices, which have high volatility. However, the performance of these approaches varies depending on data sets and operational conditions. In this work, the concept of composite forecasting is presented and implemented in a retrospective study, in real industrial forecasting conditions to show the potential of forecast performance improvement and comparable high consistency of a forecast performance across different ‘Day Peak’ and ‘Day Base’ electricity price data sets for different seasons. As individual methods support vector regression, artificial neural networks and ridge regression are implemented. The forecast performances of these methods are evaluated and compared with their forecast combination using different error measures. The results show that composite forecasting processes with ‘inverse root mean squared error’ combination approach can generate, on average, a more accurate and robust forecast than using an individual methods or other combination schemas. © 2017 Elsevier B.V.;"Combined forecast; Computational intelligence; Energy; Forecasting; Modelling";"Artificial intelligence; Costs; Forecasting; Inverse problems; Models; Neural networks; Regression analysis; Combination approaches; Combined forecasts; Electricity price forecasting; Energy; Industrial forecasting; Operational conditions; Root mean squared errors; Support vector regression (SVR); Power markets; data set; electricity supply; energy use; forecasting method; numerical model; price determination; price dynamics; regression analysis";5;0;1;0
Peter S.E., Raglend I.J.;Sequential wavelet-ANN with embedded ANN-PSO hybrid electricity price forecasting model for Indian energy exchange;2017;Neural Computing and Applications;8;This research paper presents a novel sequential wavelet-artificial neural network (ANN) with embedded ANN-particle swarm optimization (PSO) for short-term day-ahead forecasting of market clearing price (MCP) in the Indian energy exchange. A precise price forecasting helps suppliers to set up bidding strategies, make investment decisions and be cautious against risks. Conversely, consumers can use price forecasting to exploit appropriate power purchasing strategies for maximum utility utilization. Here the most influential historical data, namely purchase bid and MCP, are considered for training the feed-forward back-propagation neural network. The proposed model involves three sequential phases. Initially, the raw historical data are smoothened by removing the high-frequency components using a wavelet transform method which may enable better training of neural network. Then, ANN is used to train historical patterns. More number of trials is carried out, and the final weights that give the least training error are stored. In the final phase, the stored weights that are obtained from various trials are used as the initial population for the embedded ANN-PSO model. Here the performance of the proposed forecasting model is carried out using three error indices, namely mean absolute percentage error, normalized mean square error and error variance. © 2016, The Natural Computing Applications Forum.;"Artificial neural networks; Mean absolute percentage error; Particle swarm optimization; Wavelet transform";"Backpropagation; Costs; Errors; Forecasting; Investments; Mean square error; Neural networks; Particle swarm optimization (PSO); Wavelet transforms; Electricity price forecasting; Feed-forward back-propagation neural networks; Forecasting modeling; High frequency components; Investment decisions; Market clearing prices; Mean absolute percentage error; Normalized mean square error; Power markets";4, 5;1;1;1
Li P., Arci F., Reilly J., Curran K., Belatreche A., Shynkevich Y.;Predicting short-term wholesale prices on the Irish single electricity market with artificial neural networks;2017;2017 28th Irish Signals and Systems Conference, ISSC 2017;3;The ability to operate effectively on electricity spot markets relies on the capability to devise appropriate bidding strategies. These in turn can benefit from the inclusion of a reliable forecast of short term system marginal prices (SMPs). In a market with an increasing percentage of renewable generators, reliable forecasts must necessarily consider additional factors such as meteorological forecasts, forecasted demand and constraints imposed by network topology. Traditional time series forecasting algorithms (e.g. based on AutoRegressive Integrated Moving Average models) can perform reasonably well in this context but rely on assumptions being made on behavior over different temporal windows to yield consistent results. Research studies have demonstrated that an adaptive or self-adaptive approach to forecasting would appear more suited to the task of predicting energy demands in territory such as Ireland. Implementing an in-house self-adaptive model should yield good results in the dynamic uncertain Irish energy market. We have identified the features that such a model demands and outline it here. © 2017 IEEE.;;"Commerce; Forecasting; Neural networks; Shape memory effect; Autoregressive integrated moving average models; Electricity spot market; Renewable generators; Self adaptive approach; Self-adaptive models; System marginal price; Time series forecasting; Whole sale prices; Power markets";5;1;1;1
De Marcos R.A., Bello A., Reneses J.;Short-term forecasting of electricity prices with a computationally efficient hybrid approach;2017;International Conference on the European Energy Market, EEM;1;Electricity price forecasting models are of great importance for market participants due to their considerable volatility, especially in deregulated and competitive contexts. As a result, these models are highly demanded, especially in day-today applications, which require not only accurate results, but also fast responsiveness. Taking these needs into account, this work proposes a novel short-term electricity forecasting approach by means of a hybrid model, combining econometric and fundamental methods. In order to validate this work's proposed method under complex price dynamics, the model has been tested for the Iberian electricity market case, and further verified by comparing its performance with other, more traditional, forecasting models. © 2017 IEEE.;"Econometric Models; Electricity Markets; Fundamental Models; Hybrid Models; Short-Term Forecasting";"Commerce; Costs; Deregulation; Power markets; Computationally efficient; Econometric model; Electricity price forecasting; Fundamental models; Hybrid model; Iberian electricity market; Market participants; Short-term forecasting; Forecasting";2, 4;1;1;1
Ziel F.;Modeling the impact of wind and solar power forecasting errors on intraday electricity prices;2017;International Conference on the European Energy Market, EEM;15;We present a regression based model for intraday electricity spot prices to analyze the impact of renewable energy forecasting errors. The proposed time series model is suitable to quantify the impact of wind and solar forecasting errors. Due to the considered threshold specification assymetric dependency structures can be captured as well. Additionally it describes well the autoregressive and seasonal effects of intraday electricity prices such as the relationship to day-ahead electricity prices. The methodology is applied to the German intraday market and includes the dependence of the German/Austrian EPEX and EXAA day-ahead markets. Moreover, we discuss the evidence of time-varying and asymmetric effects of wind and solar power forecasting errors. Our findings show that given the considered modeling framework there is no statistically significant evidence that positive wind or solar forecasting errors have a different impact on intraday electricity prices than negative ones. © 2017 IEEE.;;"Commerce; Costs; Errors; Forecasting; Solar energy; Asymmetric effects; Dependency structures; Electricity prices; Electricity spot price; Regression-based model; Renewable energies; Time series modeling; Wind and solar power; Power markets";4;1;1;0
Wang L., Zhang Z., Chen J.;Short-Term Electricity Price Forecasting with Stacked Denoising Autoencoders;2017;IEEE Transactions on Power Systems;58;A short-term forecasting of the electricity price with data-driven algorithms is studied in this research. A stacked denoising autoencoder (SDA) model, a class of deep neural networks, and its extended version are utilized to forecast the electricity price hourly. Data collected in Nebraska, Arkansas, Louisiana, Texas, and Indiana hubs in U.S. are utilized. Two types of forecasting, the online hourly forecasting and day-ahead hourly forecasting, are examined. In online forecasting, SDA models are compared with data-driven approaches including the classical neural networks, support vector machine, multivariate adaptive regression splines, and least absolute shrinkage and selection operator. In the day-ahead forecasting, the effectiveness of SDA models is further validated through comparing with industrial results and a recently reported method. Computational results demonstrate that SDA models are capable to accurately forecast electricity prices and the extended SDA model further improves the forecasting performance. © 2016 IEEE.;"Comparative analysis; data mining; electricity price; hourly forecasting; neural networks";"Costs; Data mining; Deep neural networks; Learning systems; Neural networks; Power markets; Classical neural networks; Comparative analysis; Electricity price forecasting; Electricity prices; Forecasting performance; Least absolute shrinkage and selection operators; Multivariate adaptive regression splines; Short-term forecasting; Forecasting";5;1;1;1
