Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type
"Xie M., Sandels C., Zhu K., Nordstrom L.",A seasonal ARIMA model with exogenous variables for elspot electricity prices in Sweden,2013,10,"In a spot market, price prediction plays an indispensable role in maximizing the benefit of a producer as well as optimizing the utility of a consumer. This paper develops a seasonal ARIMA model with exogenous variables (SARIMAX) to predict day-ahead electricity prices in Elspot market, the largest day-ahead market for power trading in the world. Compared with the basic ARIMA model, SARIMAX has two distinct features: 1) A seasonal component is introduced to cope with weekly effect on price fluctuations. 2) Exogenous variables that exert influence on electricity prices are incorporated to make price predictions in the context of an integrated energy market. A detailed implementation of SARIMAX for Elspot market in Sweden is presented. © 2013 IEEE.",electricity market; exogenous variables; price prediction; Seasonal ARIMA model; time series,Day ahead market; Electricity market; Electricity prices; Energy markets; Exogenous variables; Price fluctuation; Price prediction; Seasonal ARIMA models; Costs; Electricity; Forecasting; Time series; Commerce,4,1,1,1,Conference
"Nowotarski J., Tomczyk J., Weron R.",Robust estimation and forecasting of the long-term seasonal component of electricity spot prices,2013,46,"We present the results of an extensive study on estimation and forecasting of the long-term seasonal component (LTSC) of electricity spot prices. We consider a battery of over 300 models, including monthly dummies and models based on Fourier or wavelet decomposition combined with linear or exponential decay. We find that the considered wavelet-based models are significantly better in terms of forecasting spot prices up to a year ahead than the commonly used monthly dummies and sine-based models. This result questions the validity and usefulness of stochastic models of spot electricity prices built on the latter two types of LTSC models. © 2013 Elsevier B.V.",Electricity spot price; Forecasting; Long-term seasonal component; Robust modeling; Wavelets,Electricity spot price; Exponential decays; Long-term seasonal component; Robust estimation; Robust modeling; Spot electricity prices; Spot price; Wavelets; Electricity spot price; Exponential decays; Long-term seasonal component; Robust estimation; Robust modeling; Spot electricity prices; Wavelet based models; Wavelets; Electricity; Forecasting; Wavelet decomposition; Costs; Forecasting; Power markets; Stochastic systems; Wavelet analysis; Wavelet decomposition; Costs; Stochastic models; electricity generation; electricity supply; energy efficiency; energy market; forecasting method; modeling; price dynamics; electricity; energy market; forecasting method; modeling; wavelet analysis,4,3,1,1,Article
"Muñoz M.P., Corchero C., Heredia F.-J.",Improving electricity market price forecasting with factor models for the optimal generation bid,2013,4,"In liberalized electricity markets, the electricity generation companies usually manage their production by developing hourly bids that are sent to the day-ahead market. As the prices at which the energy will be purchased are unknown until the end of the bidding process, forecasting of spot prices has become an essential element in electricity management strategies. In this article, we apply forecasting factor models to the market framework in Spain and Portugal and study their performance. Although their goodness of fit is similar to that of autoregressive integrated moving average models, they are easier to implement. The second part of the paper uses the spot-price forecasting model to generate inputs for a stochastic programming model, which is then used to determine the company's optimal generation bid. The resulting optimal bidding curves are presented and analyzed in the context of the Iberian day-ahead electricity market. © 2013 International Statistical Institute.",Electricity market prices; Factor models; Price scenarios; Short-term forecasting; Stochastic programming,,4,1,1,1,Article
"Miranian A., Abdollahzade M., Hassani H.",Day-ahead electricity price analysis and forecasting by singular spectrum analysis,2013,28,"This study proposes a model-free approach for day-ahead electricity price forecasting. The proposed approached is based on the singular spectrum analysis (SSA) technique. The SSA is a relatively new and powerful technique in time series analysis and forecasting thanks to its well-known capabilities in extracting the main structure of the broad classes of the time series. In this study, it is shown that SSA can be employed to decompose the original electricity price series into trend, periodic and noisy components. The main part of the price series, that is, the trend and harmonic components, is reconstructed by removing the noise component from the original series. The reconstructed price series is then used for forecasting the day-ahead electricity prices. The proposed approach is evaluated by analysing and forecasting of the dayahead electricity prices in the Australian and Spanish electricity markets. The forecasting results confirm the superiority of the SSA approach compared with some of the recently published forecasting techniques. ©The Institution of Engineering and Technology 2013.",,Electricity price forecasting; Electricity price series; Electricity prices; Forecasting techniques; Harmonic components; Noise components; Singular spectrum analysis; Spanish electricity markets; Electric load forecasting; Electricity; Forecasting; Spectrum analysis; Time series analysis; Costs,4,1,1,1,Article
Cifter A.,Forecasting electricity price volatility with the Markov-switching GARCH model: Evidence from the Nordic electric power market,2013,38,"In this paper, electricity price behavior in the Nordic electric power market is forecasted with both the Markov-switching generalized autoregressive conditional heteroskedasticity (MS-GARCH) model and a set of different volatility models. The MS-GARCH model is estimated with two regimes, representing periods of low and high volatility. This study shows that electricity price volatility is not only highly volatile but also strongly regime-dependent. The empirical results show that the MS-GARCH model enables more accurate forecasting than the standard GARCH models, according to tail loss and reality check tests for one- and multi-step ahead forecasts. The results suggest that both the electricity generation companies and consumers of electricity could carry out better price forecasts by using the proposed MS-GARCH model. © 2013 Elsevier B.V. All rights reserved.",Electricity price volatility; GARCH model; Markov-switching; Nordic power market; Regime-dependent volatility,Electricity price volatilities; GARCH models; Markov-switching; Nordic power markets; Regime-dependent volatility; Commerce; Costs; Forecasting; Electricity,"3, 4","1, 2",1,1,Article
"Li X.R., Yu C.W., Ren S.Y., Chiu C.H., Meng K.",Day-ahead electricity price forecasting based on panel cointegration and particle filter,2013,28,"An accurate forecasting of energy price is important for generation companies (GENCOs) to develop their bidding strategies or to make investment decisions. Nowadays, day-ahead electricity market is closely associated with other commodity markets such as fuel market and emission market. Under such an environment, day-ahead electricity price is volatile and its volatility changes overtime due to the uncertainties from the multi-market. This paper proposes a two-stage hybrid model based on panel cointegration and particle filter (PCPF). Panel cointegration (PC) model, which utilizes information of both the inter-temporal dynamics and the individuality of interconnected regions, provides powerful forecasting tool for electricity price. Particle filter (PF) has achieved significant successes in tracking applications involving non-Gaussian signals and nonlinear systems. This paper has two main focuses: (1) To expand the dimension of electricity price dataset from time series to panel data so that the dynamics of interconnected regions can be analyzed simultaneously and considered as a whole. (2) Regarding the model coefficients as a time-varying process, PF is used to forecast electricity price adaptively. In the case study, the proposed PCPF model is applied to the real electricity market data of PJM in the year 2008. Promising results show clearly the superior predicting behavior of the proposed modeling. © 2012 Elsevier B.V. All rights reserved.",Cointegration model; Panel data; Particle filter; Price forecasting,Bidding strategy; Co-integration model; Commodity markets; Data sets; Day-ahead electricity market; Electricity market; Electricity price forecasting; Electricity prices; Energy prices; Forecasting tools; Fuel markets; Generation companies; Hybrid model; Investment decisions; Model coefficient; NonGaussian signals; Panel cointegration; Panel data; Particle filter; Price forecasting; Time-varying process; Tracking application; Commerce; Electric industry; Electric load forecasting; Electricity; Forecasting; Investments; Monte Carlo methods; Costs,"4, 5",1,1,1,Article
"Zhang J., Tan Z.","Day-ahead electricity price forecasting using WT, CLSSVM and EGARCH model",2013,42,"Accurate price forecasting becomes more and more important for all market participants in competitive electricity markets, which can maximize producers' profits and consumers' utilities, respectively. In this paper, a new hybrid forecast technique based on wavelet transform (WT), chaotic least squares support vector machine (CLSSVM) and exponential generalized autoregressive conditional heteroskedastic (EGARCH) model is proposed for day-ahead electricity price forecasting. The superiority of this proposed method is examined by using the data acquired from the locational marginal price (LMP) of PJM market and market clearing price (MCP) of Spanish market. Empirical results show that this proposed method performs better than some of the other price forecast techniques. © 2012 Elsevier Ltd. All rights reserved.",CLSSVM; EGARCH; Electricity price forecasting; WT,Auto-regressive; CLSSVM; Competitive electricity markets; EGARCH; EGARCH models; Electricity price forecasting; Least squares support vector machines; Locational marginal prices; Market clearing prices; Market participants; Price forecasting; Price forecasts; WT; Costs; Electric load forecasting; Forecasting; Profitability; Commerce,"4, 5",2,1,1,Article
"Voronin S., Partanen J.",Price forecasting in the day-ahead energy market by an iterative method with separate normal price and price spike frameworks,2013,32,"A forecasting methodology for prediction of both normal prices and price spikes in the day-ahead energy market is proposed. The method is based on an iterative strategy implemented as a combination of two modules separately applied for normal price and price spike predictions. The normal price module is a mixture of wavelet transform, linear AutoRegressive Integrated Moving Average (ARIMA) and nonlinear neural network models. The probability of a price spike occurrence is produced by a compound classifier in which three single classification techniques are used jointly to make a decision. Combined with the spike value prediction technique, the output from the price spike module aims to provide a comprehensive price spike forecast. The overall electricity price forecast is formed as combined normal price and price spike forecasts. The forecast accuracy of the proposed method is evaluated with real data from the Finnish Nord Pool Spot day-ahead energy market. The proposed method provides significant improvement in both normal price and price spike prediction accuracy compared with some of the most popular forecast techniques applied for case studies of energy markets. © 2013 by the authors.",Compound classifier; Electricity price forecasts; Hybrid methodology; Input feature selection; Price spike forecasts,Commerce; Costs; Forecasting; Iterative methods; Mathematical transformations; Power quality; Wavelet transforms; Auto-regressive integrated moving average; Classification technique; Compound classifiers; Day-ahead energy markets; Electricity prices; Hybrid methodologies; Nonlinear neural networks; Price spike; Power markets,"4, 5",2,1,1,Article
"Gonzalez V., Contreras J., Bunn D.W.",Forecasting prices and volatilities using a hybrid fundamental econometric model,2010,1,"This paper presents a forecasting technique to predict next-day electricity spot prices and volatilities. Our technique combines a fundamental model formulated as supply stack modeling, with an econometric analysis based on the GARCH methodology. Empirical results from the wholesale electricity market of Great Britain are discussed. ©2010 IEEE.",Electricity markets; Forecasting; GARCH models; Spot prices; Volatility,Econometric analysis; Econometric model; Electricity market; Electricity spot price; Empirical results; Forecasting techniques; Fundamental models; GARCH models; Great Britain; Spot price; Volatility; Wholesale electricity markets; Commerce; Costs; Electric load forecasting,"2, 4",1,1,"1, 2",Conference
"Jónsson T., Pinson P., Nielsen H.A., Madsen H., Nielsen T.S.",Forecasting electricity spot prices accounting for wind power predictions,2013,60,"A two-step methodology for forecasting of electricity spot prices is introduced, with focus on the impact of predicted system load and wind power generation. The nonlinear and nonstationary influence of these explanatory variables is accommodated in a first step based on a nonparametric and time-varying regression model. In a second step, time-series models, i.e., ARMA and Holt-Winters, are applied to account for residual autocorrelation and seasonal dynamics. Empirical results are presented for out-of-sample forecasts of day-ahead prices in the Western Danish price area of Nord Pool's Elspot, during a two year period covering 2010-2011. These results clearly demonstrate the practical benefits of accounting for the complex influence of these explanatory variables. © 2010-2012 IEEE.",Adaptivity; electricity prices; forecasting; nonlinear modeling; nonparametric modeling; robustness,Adaptivity; Day-ahead prices; Electricity prices; Electricity spot price; Explanatory variables; Forecasting electricity; Holt-Winters; Non-parametric; Non-parametric modeling; Nonlinear modeling; Nonstationary; Out-of-sample forecast; Seasonal dynamics; System loads; Time series models; Time-varying regression; Wind power predictions; Electric power generation; Forecasting; Regression analysis; Robustness (control systems); Wind power; Costs,4,1,1,1,Article
"Mandal P., Haque A.U., Meng J., Martinez R., Srivastava A.K.",A hybrid intelligent algorithm for short-term energy price forecasting in the Ontario market,2012,8,"Price forecasting is a crucial information for market participants in an electricity market. However, the electricity price is a complex signal due to its nonlinearity, stochasticity, and time dependent behavior. This paper presents a novel hybrid intelligent algorithm that uses the combination of a data filtering technique based on the wavelet transform (WT), an optimization technique based on firefly (FF) algorithm, and a soft computing model based on fuzzy ARTMAP (FA) network. The innovative contribution of this paper is an application of the FF algorithm to optimize FA network that utilizes the historical ill-behaved energy price time-series through the WT. Good forecast performance and adaptability of the proposed hybrid WTFFFA m o d e l to changes in the data is illustrated using the Ontario market power system data. The test results demonstrates that the proposed hybrid technique is able to improve the day-ahead price forecasting performance significantly when compared with other conventional soft computing models available in literature. © 2012 IEEE.",Electricity market; firefly algorithm; fuzzy ARTMAP; short-term price forecasting; wavelet transform,Complex signal; Data filtering; Day-ahead prices; Electricity market; Electricity prices; Energy prices; Firefly algorithms; Fuzzy ARTMAP; Hybrid intelligent algorithms; Hybrid techniques; Market participants; Market Power; Ontario; Optimization techniques; Price forecasting; Short-term price forecasting; Soft computing models; Stochasticity; Time dependent behavior; Algorithms; Bioluminescence; Commerce; Electric industry; Forecasting; Optimization; Soft computing; Wavelet transforms; Costs,"4, 5","1, 2",1,1,Conference
"Lei M., Feng Z.",A proposed grey model for short-term electricity price forecasting in competitive power markets,2012,37,"In order to improve the performance of traditional grey models for short-term electricity price prediction in competitive power markets, a novel grey model, named PGM(1,2,a,b), is proposed in this paper. In the proposed model, the reference sequence is determined with correlation method. Furthermore, considering the limitation of the least square method (LSM), particle swarm optimization algorithm (PSO) is adopted to identify the parameters instead of LSM. To demonstrate the superiority of the proposed model, public available data coming from Nordpool, California, and Ontario power markets were used for training and testing. Simulation results show that the proposed model is capable of forecasting short-term electricity price efficiently and accurately. © 2012 Elsevier Ltd. All rights reserved.",Electricity price forecasting; Grey models; Particle swarm optimization; Power markets,California; Competitive power markets; Electricity price forecasting; Electricity prices; Grey Model; Least square methods; Ontario; Particle swarm optimization algorithm; Power markets; Training and testing; Algorithms; Electric load forecasting; Least squares approximations; Models; Particle swarm optimization (PSO); Power quality; Commerce,4,1,1,1,Article
"Zhang J., Tan Z., Yang S.",Day-ahead electricity price forecasting by a new hybrid method,2012,38,"Electricity price forecasting has become necessary for power producers and consumers in the current deregulated electricity markets. Seeking for more accurate price forecasting techniques, this paper proposes a new hybrid method based on wavelet transform (WT), autoregressive integrated moving average (ARIMA) and least squares support vector machine (LSSVM) optimized by particle swarm optimization (PSO) to predict electricity prices. The proposed method is examined by using the data from New South Wales (NSW) of Australian national electricity market. Empirical testing indicates that the proposed method can provide more accurate and effective results than the other price forecasting methods. © 2011 Elsevier Ltd. All rights reserved.",ARIMA; Electricity price forecasting; LSSVM; PSO; WT,ARIMA; Electricity price forecasting; LSSVM; PSO; WT; Costs; Deregulation; Electric load forecasting,"4, 5",1,1,1,Article
"Lagarto J., De Sousa J., Martins Á., Ferrão P.",Price forecasting in the day-ahead Iberian electricity market using a conjectural variations ARIMA model,2012,14,"Price forecast is a matter of concern for all participants in electricity markets, from suppliers to consumers through policy makers, which are interested in the accurate forecast of day-ahead electricity prices either for better decisions making or for an improved evaluation of the effectiveness of market rules and structure. This paper describes a methodology to forecast market prices in an electricity market using an ARIMA model applied to the conjectural variations of the firms acting in an electricity market. This methodology is applied to the Iberian electricity market to forecast market prices in the 24 hours of a working day. The methodology was then compared with two other methodologies, one called naïve and the other a direct forecast of market prices using also an ARIMA model. Results show that the conjectural variations price forecast performs better than the naïve and that it performs slightly better than the direct price forecast. © 2012 IEEE.",ARIMA model; conjectural variations; electricity market simulation; Iberian electricity market; price forecasting; strategic behavior,ARIMA models; Conjectural variations; Electricity market simulation; Iberian electricity market; Price forecasting; Strategic Behavior; Commerce; Computer simulation; Costs; Electric industry; Forecasting,4,1,1,1,Conference
"Gianfreda A., Ravazzolo F., Rossini L.",Comparing the forecasting performances of linear models for electricity prices with high RES penetration,2020,1,"We compare alternative univariate versus multivariate models and frequentist versus Bayesian autoregressive and vector autoregressive specifications for hourly day-ahead electricity prices, both with and without renewable energy sources. The accuracy of point and density forecasts is inspected in four main European markets (Germany, Denmark, Italy, and Spain) characterized by different levels of renewable energy power generation. Our results show that the Bayesian vector autoregressive specifications with exogenous variables dominate other multivariate and univariate specifications in terms of both point forecasting and density forecasting. © 2020 The Authors",Demand; Electricity markets; Fossil fuels; Hourly prices; Point and density forecasting; Renewable energy sources,,4,1,1,"1, 2",Article
Kristiansen T.,Forecasting Nord Pool day-ahead prices with an autoregressive model,2012,52,"This paper presents a model to forecast Nord Pool hourly day-ahead prices. The model is based on Weron and Misiorek (2008) but reduced in terms of estimation parameters (from 24 sets to 1) and modified to include Nordic demand and Danish wind power as exogenous variables. We model prices across all hours in the analysis period rather than across each single hour of 24. hours. By applying three model variants on Nord Pool data, we achieve a weekly mean absolute percentage error (WMAE) of around 6-7% and an hourly mean absolute percentage error (MAPE) ranging from 8% to 11%. Out of sample results yields a WMAE and an hourly MAPE of around 5%. The models enable analysts and traders to forecast hourly day-ahead prices accurately. Moreover, the models are relatively straightforward and user-friendly to implement. They can be set up in any trading organization. © 2012 Elsevier Ltd.",Autoregressive exogenous model; Nordic power market; Price forecasting,Auto regressive models; Autoregressive exogenous models; Day-ahead prices; Estimation parameters; Exogenous variables; Mean absolute percentage error; Model price; Power markets; Price forecasting; Three models; Commerce; Forecasting; Lakes; Wind power; Costs; accuracy assessment; demand analysis; economic analysis; energy market; error analysis; estimation method; forecasting method; model test; parameterization; wind power; Denmark,4,1,1,1,Article
"Carpio K.J.E., Go A.M.L., Roncal C.K.M.",Forecasting day-ahead electricity prices of Singapore through ARIMA and wavelet-ARIMA,2012,1,"The changes observed in the electricity markets over the past decade brought about developments in the field of electricity modeling. In this paper, traditional AutoRegressive Integrated Moving Average (ARIMA) models and Wavelet-ARIMA models arc applied to the Singapore electricity market, Asia's first liberalized electricity market. Forecasting will be done for each electricity price modelling technique and the adequacy of the models is tested through forecast accuracy. The comparison of forecast accuracy of the models is done across different data behaviors. Copyright © 2012 De La Salle University, Philippines.",ARIMA; Electricity market; Forecasting; Wavelet-ARIMA,,4,1,1,1,Article
"Vilar J.M., Cao R., Aneiros G.",Forecasting next-day electricity demand and price using nonparametric functional methods,2012,87,"One-day-ahead forecasting of electricity demand and price is an important issue in competitive electric power markets. Prediction task has been studied in previous works using, for instance, ARIMA models, dynamic regression and neural networks. This paper provides two new methods to address these two prediction setups. They are based on using nonparametric regression techniques with functional explanatory data and a semi-functional partial linear model. Results of these methods for the electricity market of mainland Spain, in years 2008-2009, are reported. The new forecasting functional methods are compared with a naïve method and with ARIMA forecasts. © 2012 Elsevier Ltd. All rights reserved.",Demand and price; Electricity markets; Functional data; Time series forecasting,ARIMA models; Demand and price; Electric power markets; Electricity demands; Electricity market; Electricity markets; Functional datas; Functional methods; Non-parametric; Nonparametric regression techniques; Partial linear models; Prediction tasks; Time series forecasting; Electricity; Forecasting,4,1,1,1,Article
"González V., Contreras J., Bunn D.W.",Forecasting power prices using a hybrid fundamental-econometric model,2012,47,"We investigate the performance of two hybrid forecasting models to predict the next-day base load electricity prices on the APX power exchange for Great Britain. Hybrid models have often been advocated as a synthetic method for forecasting, but it is an open question how well they perform at the day-ahead stage. A conventional hybrid approach combines a fundamental model, formulated with supply stack modeling, with an econometric model using data on price drivers. We extend this model to one based upon logistic smooth transition regression, which represents a regime-switching for periods of structural change. Empirical results for out-of-sample forecasting using both hybrid approaches are discussed and compared to non-hybrid time series forecasting methods. © 2006 IEEE.",APX power exchange; electricity markets; fundamental model; hybrid model; logistic smooth transition regression; margin; price forecasting; volatility,Electricity market; fundamental model; hybrid model; margin; Power exchange; Price forecasting; volatility; Costs; Forecasting; Mathematical models; Power quality; Time series; Electric load forecasting,"2, 4",1,1,1,Article
"Bobinaite V., Konstantinavičiute I.",Wholesale electricity price forecasting models: Lithuanian case,2012,,"Six methods (naïve, weighted average, multiple regression, Holt-Winter, ARMA and VAR) are proposed to forecast wholesale electricity prices. Based on these methods 15 wholesale electricity price forecasting models are developed. They enabled to assess the impact of electricity production and consumption volume, net electricity import, electricity prices in neighboring countries, volume of electricity traded in power exchange as well wholesale electricity prices in the past on the future electricity price. The results told that wholesale electricity price forecasts prepared applying stochastic and regression methods were the most accurate. Accuracy increased, when exogenous forecasting factors were included.",Electricity price; Forecasting method; Wholesale market,Commerce; Costs; Forecasting; Regression analysis; Stochastic systems; Electricity imports; Electricity prices; Electricity production; Forecasting factors; Forecasting methods; Multiple regressions; Wholesale electricity; Wholesale markets; Power markets,4,1,1,1,Conference
"Kim J.H., Powell W.B.",An hour-ahead prediction model for heavy-tailed spot prices,2011,9,We propose an hour-ahead prediction model for electricity prices that capture the heavy tailed behavior that we observe in the hourly spot market in the Ercot (Texas) and the PJM West hub grids. We present a model according to which we separate the price process into a thin-tailed trailing median process and a heavy-tailed residual process whose probability distribution can be approximated by a Cauchy distribution. We show empirical evidence that supports our model. © 2011 Elsevier B.V.,Electricity spot market; Heavy-tail; Mean-reversion; Median-reversion,Cauchy distribution; Electricity prices; Electricity spot market; Empirical evidence; Heavy-tailed; Heavy-tailed behavior; Heavy-tails; Mean-reversion; Median-reversion; Prediction model; Price process; Spot market; Spot price; Probability distributions; Mathematical models; commodity price; electricity generation; empirical analysis; energy market; numerical model; probability,4,1,1,1,Article
Dudek G.,Probabilistic forecasting of electricity prices using kernel regression,2018,1,"Electricity price forecasting has become crucial for energy companies due to its fundamental importance for decision making processes and operational management. Electricity price time series exhibit variable means, significant volatility and spikes, which places high demands on forecasting models. Moreover, in recent years researchers and practitioners have come to understand the limitations of point forecasts and require models to generate probabilistic forecasts. In contrast to point forecasts, the probabilistic forecasts takes the form of a predictive probability distribution over future quantities or events of interest. In the paper the probabilistic forecasting model based on Nadaraya- Watson estimator is proposed. The model generates the point forecasts as 24-component vectors representing day-ahead electricity prices. The probabilistic forecasts are calculated as quantiles based on the residual distribution for historical data forecasts. The performance of the proposed model is validated by testing on data from the Polish electricity market. © 2018 IEEE.",Electricity price forecasting; Kernel regression; Probabilistic forecasting; Quantile forecasts,Commerce; Costs; Decision making; Forecasting; Probability distributions; Decision making process; Electricity price forecasting; Electricity prices; Kernel regression; Operational management; Probabilistic forecasting; Probabilistic forecasts; Residual distribution; Power markets,4,1,1,2,Conference
"Cruz A., Muñoz A., Zamora J.L., Espínola R.",The effect of wind generation and weekday on Spanish electricity spot price forecasting,2011,68,"This paper empirically compares the predictive accuracy of a set of methods for day-ahead spot price forecasting in the Spanish electricity market. The methods come from time series analysis and artificial intelligence disciplines, and include univariate, multivariate, linear and nonlinear. Within the univariate methods, the double seasonal ARIMA and the recently proposed exponential smoothing for double seasonality are compared and used as benchmarks. They allow us to quantify the improvement on price forecasting when including explanatory variables or using more complex models. Dynamic regression models including the electricity load forecast are then considered. Their good performance in price forecasting has been pointed out by many authors. However, we find evidences of their predictive accuracy can be significantly outperformed by accounting the wind generation forecast provided by the System Operator. Moreover, these forecasts can be even more accurate if changes of price's behavior according with the day of the week are taken into account by means of periodic models. The last of the tested methods are feed-forward neural networks used as multivariate nonlinear regression methods with universal function approximation capabilities. The influence of the wind generation forecast on price prediction is also proved with this approach. Detailed out-of-sample results of the tested methods are given. © 2011 Elsevier B.V. All rights reserved.",Electricity markets; Electricity price forecasting; Periodic models; Time series analysis,Complex model; Dynamic regression models; Electricity load; Electricity market; Electricity price forecasting; Electricity spot price; Explanatory variables; Exponential smoothing; Multivariate non-linear regression; Periodic models; Predictive accuracy; Price forecasting; Price prediction; Seasonality; Series analysis; Spot price; System operator; Univariate; Univariate method; Universal functions; Wind generation; Wind generation forecast; Costs; Electricity; Forecasting; Neural networks; Regression analysis; Time series; Time series analysis; Electric load forecasting,"4, 5",1,1,1,Article
"Pany P.K., Ghoshal S.P.",Forecasting the hourly Ontario energy price by local linear wavelet neural network and ARMA models,2011,1,"Price forecasting has become one of the main focus of electric power market research efforts since price is the key index to evaluate the market competition efficiency and reflects the operation condition of electricity market decision making. The work presented in this paper makes use of local linear wavelet neural networks (LLWNN) and ARMA to find the market price for a given period, with a certain confidence level. The results of the new method show significant improvement in the price forecasting process. © 2011 ACM.",electricity price; forecast; gradient descent; hourly Ontario energy price (HOEP); local linear wavelet neural network (LLWNN); system marginal price (SMP); wavelet neural network (WNN),Electricity prices; forecast; Gradient descent; hourly Ontario energy price (HOEP); Local linear; System marginal price; Wavelet neural networks; Commerce; Competition; Costs; Decision making; Electricity; Forecasting; Power transformers; Neural networks,"4, 5",2,1,1,Conference
"Zhang J., Han J., Wang R., Hou G.",Day-ahead electricity price forecasting based on rolling time series and least square-support vector machine model,2011,10,"Considering the electricity price's volatility and various elements which affect the price in the electricity market, the paper presents hybrid model for the day-ahead electricity market clearing price forecasting. The paper adopts autoregressive moving average (ARMAX) model to reveal the linear relationship between power load and electricity price; the generalized autoregressive conditional heteroskedasticity (GARCH) model to reveal the heteroskedasticity properties of residual. Simultaneously the paper presents the inexactness and irrationality that modeling by the historical data long ago to forecast the price with the change of the time, then presents the rolling forecast that constantly using the latest data to modeling the ARMAX-AR-GARCH model. To reveal the nonlinear relationship between power load and electricity price, the paper adopts least squares support vector machine (LS-SVM). Using the proposed method, the day-ahead electricity prices of California electricity market are forecasted, prediction results show the efficiency of the proposed method. © 2011 IEEE.",ARMAX; day-ahead price forecast; GARCH; LS-SVM; rolling forecast,ARMAX; Autoregressive moving average; California; Day-ahead electricity market; Day-ahead price forecasts; Electricity market; Electricity price forecasting; Electricity prices; GARCH; Generalized autoregressive conditional heteroskedasticity; Heteroskedasticity; Historical data; Hybrid model; Least squares support vector machines; Linear relationships; LS-SVM; Non-linear relationships; Power load; Rolling time; Vector machines; Commerce; Computer simulation; Electric industry; Electric load forecasting; Electricity; Forecasting; Support vector machines; Time series; Costs,"4, 5",1,1,1,Conference
"Zhang J., Yu C., Hou G.",Application of chaotic particle swarm optimization in the short-term electricity price forecasting,2011,,"The market-oriented reform of the electric power industry is a trend around the world, electricity price issues are the key problems in the power markets and how to price the special commodity-electricity is essential for the smooth market operation. Accurate price forecasting provides crucial information for electricity market participants to make reasonable competing strategies, which is related to the position and benefit of the market participators. So using the relative historic data in predicting the future electricity price is a very meaningful work. With comprehensive considerations of the fluctuation rules and the various influencing factors on the forming of price in the power market, a short-term electricity price forecasting method based on the time series ARMAX model was chosen in this paper. Aimed to solve the problem with traditional method of parameter identification which is easy to fall into the local least values and has low identification precision, chaotic particle swarm optimization (CPSO) algorithm was proposed in this paper. Calculation example shows that this method can reflect the law of the development of the electricity price well and improve forecasting accuracy greatly. © 2011 IEEE.",ARMAX model; Chaotic particle swarm optimization algorithm; Short-term electricity price forecasting,ARMAX model; Chaotic particle swarm optimization algorithm; Electric power industries; Electricity market; Electricity price forecasting; Electricity prices; Forecasting accuracy; Historic data; Identification precision; Influencing factor; Least value; Market operation; Power markets; Price forecasting; Short-term electricity price forecasting; Algorithms; Commerce; Costs; Electric industry; Electric load forecasting; Electricity; Forecasting; Identification (control systems); Time series; Particle swarm optimization (PSO),"4, 5",1,1,1,Conference
"Jakaša T., Andročec I., Sprčić P.",Electricity price forecasting ARIMA model approach,2011,32,Electricity price forecasting is becoming more important in everyday business of power utilities. Good forecasting models can increase effectiveness of producers and buyers playing roles in electricity market. Price is also a very important element in investment planning process. This paper presents a forecasting technique to model day-ahead spot price using well known ARIMA model to analyze and forecast time series. The model is applied to time series consisting of day-ahead electricity prices from EPEX power exchange. © 2011 IEEE.,,ARIMA models; Electricity market; Electricity price forecasting; Electricity prices; Forecast time; Forecasting models; Forecasting techniques; Investment planning; Power exchange; Power utility; Spot price; Commerce; Electric load forecasting; Electricity; Forecasting; Investments; Time series; Costs,4,1,1,1,Conference
"Dong Y., Wang J., Jiang H., Wu J.",Short-term electricity price forecast based on the improved hybrid model,2011,60,"Half-hourly electricity price in power system are volatile, electricity price forecast is significant information which can help market managers and participants involved in electricity market to prepare their corresponding bidding strategies to maximize their benefits and utilities. However, the fluctuation of electricity price depends on the common effect of many factors and there is a very complicated random in its evolution process. Therefore, it is difficult to forecast half-hourly prices with traditional only one model for different behaviors of half-hourly prices. This paper proposes the improved forecasting model that detaches high volatility and daily seasonality for electricity price of New South Wales in Australia based on Empirical Mode Decomposition, Seasonal Adjustment and Autoregressive Integrated Moving Average. The prediction errors are analyzed and compared with the ones obtained from the traditional Seasonal Autoregressive Integrated Moving Average model. The comparisons demonstrate that the proposed model can improve the prediction accuracy noticeably. © 2011 Elsevier Ltd. All rights reserved.",Electricity price; Empirical mode decomposition; Seasonal adjustment,Australia; Auto-regressive integrated moving average; Autoregressive integrated moving average models; Bidding strategy; Electricity market; Electricity prices; Empirical Mode Decomposition; Evolution process; Forecasting models; High volatility; Hybrid model; New South Wales; Power systems; Prediction accuracy; Prediction errors; Seasonal adjustments; Seasonality; Costs; Electric load forecasting; Forecasting; Electricity,4,1,1,1,Article
