Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type,Approach,Model
"Bento P.M.R., Pombo J.A.N., Calado M.R.A., Mariano S.J.P.S.",A bat optimized neural network and wavelet transform approach for short-term price forecasting,2018,49,"In the competitive power industry environment, electricity price forecasting is a fundamental task when market participants decide upon bidding strategies. This has led researchers in the last years to intensely search for accurate forecasting methods, contributing to better risk assessment, with significant financial repercussions. This paper presents a hybrid method that combines similar and recent day-based selection, correlation and wavelet analysis in a pre-processing stage. Afterwards a feedforward neural network is used alongside Bat and Scaled Conjugate Gradient Algorithms to improve the traditional neural network learning capability. Another feature is the method's capacity to fine-tune neural network architecture and wavelet decomposition, for which there is no optimal paradigm. Numerical testing was applied in a day-ahead framework to historical data pertaining to Spanish and Pennsylvania-New Jersey-Maryland (PJM) electricity markets, revealing positive forecasting results in comparison with other state-of-the-art methods. © 2017 Elsevier Ltd",Artificial neural networks; Bat algorithm; Scaled conjugate gradient; Short-term price forecasting; Similar day selection; Wavelet transform,Commerce; Conjugate gradient method; Costs; Feedforward neural networks; Forecasting; Network architecture; Neural networks; Numerical methods; Risk assessment; Wavelet decomposition; Wavelet transforms; Bat algorithms; Electricity price forecasting; Neural network learning; Scaled conjugate gradient algorithm; Scaled conjugate gradients; Short-term price forecasting; Similar day; State-of-the-art methods; Power markets; algorithm; artificial neural network; decomposition analysis; electricity; energy market; forecasting method; numerical method; optimization; price dynamics; transform; wavelet analysis; Maryland; New Jersey; Pennsylvania; Spain; United States,5,1,1,1,Article,1,a
"Li H., Wang G., Li G., Wang H., Wu C., Fu Z.",A deep learning approach for electricity price forecasting using stacked autoencoders,2018,,"Electricity price is a core indicator for reflecting the operation of the electricity market and evaluating the efficiency of market competition. It is the basis for decision-making in the electricity market. With the continuous development of global power marketization, the role of electricity price in the electricity market has received increasing attention. Accurate short-term electricity price forecasting can provide guidance for bidding strategies of market participants, thereby reducing bidding risks of participants and providing them with a stable return. However, due to the complex nature of electricity prices such as high volatility, high frequency, nonlinearity and non-stationarity, it is difficult to accurately predict electricity prices in advance. To improve prediction accuracy, this paper proposes a market clearing prices (MCPs) prediction method based on wavelet transforms (WT) and stacked autoencoders (SAEs). The deep learning framework comprises two stages is introduced in this work. First, WT is employed to decompose raw MCPs data into different frequency series for better behaviors. Second, the nonlinear features and invariant structures of each frequency are completely extracted by layer-wise pre-training based SAEs. The effectiveness of the proposed prediction method is verified by using actual price data from the Australian electricity market. The experimental results show that the proposed method obtains more accurate prediction, better versatility and practicability compared with several other prediction methods. © 2018 Institution of Engineering and Technology. All rights reserved.",Deep learning; Electricity price forecasting (EPF); Stacked autoencoders (SAEs); Wavelet transforms (WT),Competition; Costs; Decision making; Deep learning; Electric industry; Forecasting; Learning systems; Wavelet transforms; Australian electricity market; Autoencoders; Continuous development; Different frequency; Electricity price forecasting; Learning frameworks; Market clearing prices; Prediction accuracy; Power markets,5,1,1,1,Conference,1,a
"Petrichenko L., Sauhats A., Petrichenko R., Bezrukovs D.",Long-term price forecasting for the cost-benefit analysis of power equipment,2018,1,"Forecasting of electricity price plays a significant role in electrical network planning and development. In the present paper, we offer three prediction approaches: The naive method (NM), Fourier transformation (FT) with imposition of white noise and the artificial neural network (ANN) model. Our research proves the possibility of using any of three approaches due to the high forecasting accuracy of all of them. A case study using three types of forecasting methods, real-life data and a model of the distribution grid of our native country is presented to demonstrate the efficiency of our investigation and used to estimate the income generated by the energy storage system. © 2018 IEEE.",ANN; Electricity price; forecasting; Fourier transformation; naive method,Costs; Digital storage; Electric energy storage; Forecasting; Fourier transforms; Neural networks; Power markets; White noise; Artificial neural network models; Electrical networks; Electricity prices; Energy storage systems; Forecasting accuracy; Forecasting methods; Fourier transformations; naive method; Cost benefit analysis,5,3,1,1,Conference,1,a
"Ugurlu U., Oksuz I., Tas O.",Electricity price forecasting using recurrent neural networks,2018,38,"Accurate electricity price forecasting has become a substantial requirement since the liberalization of the electricity markets. Due to the challenging nature of electricity prices, which includes high volatility, sharp price spikes and seasonality, various types of electricity price forecasting models still compete and cannot outperform each other consistently. Neural Networks have been successfully used in machine learning problems and Recurrent Neural Networks (RNNs) have been proposed to address time-dependent learning problems. In particular, Long Short Term Memory (LSTM) and Gated Recurrent Units (GRU) are tailor-made for time series price estimation. In this paper, we propose to use multi-layer Gated Recurrent Units as a new technique for electricity price forecasting. We have trained a variety of algorithms with three-year rolling window and compared the results with the RNNs. In our experiments, three-layered GRUs outperformed all other neural network structures and state-of-the-art statistical techniques in a statistically significant manner in the Turkish day-ahead market. © 2018 The Author(s).",Artificial intelligence; Deep learning; Electricity price forecasting; Gated recurrent units; Long short term memory; Turkish day-ahead market,Artificial intelligence; Brain; Commerce; Deep learning; Forecasting; Long short-term memory; Day ahead market; Electricity price forecasting; Electricity prices; Gated recurrent units; Machine learning problem; Neural network structures; Recurrent neural network (RNNs); Statistical techniques; Power markets,5,1,1,1,Article,2,
"Gligorić Z., Štrbac Savić S., Grujić A., Negovanović M., Musić O.",Short-term electricity price forecasting model using interval-valued autoregressive process,2018,2,"The uncertainty that dominates in the functioning of the electricity market is of great significance and arises, generally, because of the time imbalance in electricity consumption rates and power plants' production capacity, as well as the influence of many other factors (weather conditions, fuel costs, power plant operating costs, regulations, etc.). In this paper we try to incorporate this uncertainty in the electricity price forecasting model by applying interval numbers to express the price of electricity, with no intention of exploring influencing factors. This paper represents a hybrid model based on fuzzy C-mean clustering and the interval-valued autoregressive process for forecasting the short-term electricity price. A fuzzy C-mean algorithm was used to create interval time series to be forecasted by the interval autoregressive process. In this way, the efficiency of forecasting is improved because we predict the interval, not the crisp value where the price will be. This approach increases the flexibility of the forecasting model. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Electricity price series; Fuzzy C-mean; Interval autoregressive forecasting; Interval series,Forecasting; Fuzzy clustering; Operating costs; Random processes; Auto regressive process; Auto-regressive; Electricity price forecasting; Electricity price series; Electricity-consumption; Fuzzy C mean; Fuzzy C mean clustering; Interval series; Power markets,"4, 5",1,1,2,Article,7,
"Giovanelli C., Sierla S., Ichise R., Vyatkin V.",Exploiting artificial neural networks for the prediction of ancillary energy market prices,2018,5,"The increase of distributed energy resources in the smart grid calls for new ways to profitably exploit these resources, which can participate in day-ahead ancillary energy markets by providing flexibility. Higher profits are available for resource owners that are able to anticipate price peaks and hours of low prices or zero prices, as well as to control the resource in such a way that exploits the price fluctuations. Thus, this study presents a solution in which artificial neural networks are exploited to predict the day-ahead ancillary energy market prices. The study employs the frequency containment reserve for the normal operations market as a case study and presents the methodology utilized for the prediction of the case study ancillary market prices. The relevant data sources for predicting the market prices are identified, then the frequency containment reserve market prices are analyzed and compared with the spot market prices. In addition, the methodology describes the choices behind the definition of the model validation method and the performance evaluation coefficient utilized in the study. Moreover, the empirical processes for designing an artificial neural network model are presented. The performance of the artificial neural network model is evaluated in detail by means of several experiments, showing robustness and adaptiveness to the fast-changing price behaviors. Finally, the developed artificial neural network model is shown to have better performance than two state of the art models, support vector regression and ARIMA, respectively. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Ancillary markets; Demand response; Energy markets; Frequency containment reserve; Machine learning; Neural network; Price prediction; Smart grid,Commerce; Costs; Distributed computer systems; Electric power transmission networks; Energy resources; Forecasting; Learning systems; Neural networks; Smart power grids; Demand response; Energy markets; Frequency containments; Price prediction; Smart grid; Power markets,5,1,1,1,Article,1,a
"Beigaite R., Krilavičius T.",Electricity price forecasting for nord pool data using recurrent neural networks,2018,,"Forecasts of electricity spot price can be very useful for participants of electricity market in order to maximize profits, minimize risks and make future strategies. In literature various methods are applied for solving this problem. However, the same approaches let achieve different results with distinct markets. In this paper we describe our experiments with electricity spot price data of Lithuania’s price zone in Nord Pool power market. Short-term forecasts are made using recurrent neural networks and results are reported. Copyright held by the author(s).",Forecasting; Index Terms—electricity spot price; Recurrent neural networks,Commerce; Forecasting; Power markets; Electricity price forecasting; Electricity spot price; Future strategy; Lithuania; Price zone; Short-term forecasts; Recurrent neural networks,5,1,1,1,Conference,2,
"Abdul Razak I.A.W., Abidin I.Z., Siah Y.K., Abidin A.A.Z., Rahman T.K.A., Baharin N., Jali H.B.",An optimization method of genetic algorithm for lssvm in medium term electricity price forecasting,2018,1,"Predicting electricity price has now become an important task for planning and maintenance of power system. In medium term forecast, electricity price can be predicted for several weeks ahead up to a year or few months ahead. It is useful for resources reallocation where the market players have to manage the price risk on the expected market scenario. However, researches on medium term price forecast have also exhibited low forecast accuracy. This is due to the limited historical data for training and testing purposes. Therefore, an optimisation technique of Genetic Algorithm (GA) for Least Square Support Vector Machine (LSSVM) was developed in this study to provide an accurate electricity price forecast with optimised LSSVM parameters and input features. So far, no literature has been found on feature and parameter selections using the method of LSSVM-GA for medium term price prediction. The model was examined on the Ontario power market; which is reported as among the most volatile market worldwide. The monthly average of Hourly Ontario Electricity Price (HOEP) for the past 12 months and month index are selected as the input features. The developed LSSVM-GA shows higher forecast accuracy with lower complexity than the existing models. © 2018 Universiti Teknikal Malaysia Melaka. All Rights Reserved.",Genetic Algorithms; Least Square Support Vector Machines; Medium Term Price Forecasting; Optimization.,,5,2,1,1,Article,4,
"Meier J.-H., Schneider S., Schönfeldt T., Schüller P., Wanke B.",Electricity price forecasting: A methodological ANN-based approach with special consideration of time series properties,2018,,"If one examines the spot price series of electrical power over the course of time, it is striking that the electricity price across the day takes a course that is determined by power consumption following a day and night rhythm. This daily course changes in its height and temporal extent in both, the course of the week, as well as with the course of the year. This study deals methodologically with non-linear correlative and autocorrelative time series properties of the electricity spot price. We contribute the usage of non-fully connectionist networks in relation to fully connectionist networks to decompose non-linear correlative time series properties. Additionally, we contribute the usage of long short-term-memory network (LSTM) to discover and to deal with autocorrelation effects. © 2011 Springer-Verlag Berlin Heidelberg.",ARIMAX; Artificial neural network; Electricity prices; LSTM,Costs; Industrial research; Knowledge management; Long short-term memory; Neural networks; Time series; ARIMAX; Connectionist networks; Electrical power; Electricity price forecasting; Electricity prices; Electricity spot price; LSTM; Short term memory; Power markets,5,2,1,1,Conference,2,
"Ebrahimian H., Barmayoon S., Mohammadi M., Ghadimi N.",The price prediction for the energy market based on a new method,2018,82,"Regarding the complex behaviour of price signalling, its prediction is difficult, where an accurate forecasting can play an important role in electricity markets. In this paper, a feature selection based on mutual information is implemented for day ahead prediction of electricity prices, which are so valuable for determining the redundancy and relevancy of selected features. A combination of wavelet transform (WT) and a hybrid forecast method is presented based on a neural network (NN). Furthermore, an intelligent algorithm is considered for a prediction process to set the proposed forecast engine free parameters based NN. This optimisation process improved the accuracy of the proposed model. To demonstrate the validity of this model, the Pennsylvania-New Jersey-Maryland (PJM) electricity market is considered as a test case and compared with some of the most recent price forecast methods. These comparisons illustrate the effectiveness of the proposed strategy. © 2018 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group. All Rights Reserved.",Feature selection; Hybrid forecast engine; Price forecast,artificial neural network; electricity industry; energy market; numerical model; prediction; price determination; Maryland; New Jersey; Pennsylvania; United States,5,1,1,1,Article,1,a
"Khajeh M.G., Maleki A., Rosen M.A., Ahmadi M.H.",Electricity price forecasting using neural networks with an improved iterative training algorithm,2018,11,"In a competitive electricity market, the forecasting of energy prices is an important activity for all market participants either for developing bidding strategies or for making investment decisions. In this article, a new forecasting strategy is proposed for short-term prediction of the electricity price, which is a complex quantity with nonlinear, volatile and time-dependent behaviour. Our forecast strategy includes two novelties: a new two-stage feature selection algorithm and a new iterative training algorithm. The feature selection algorithm has two filtering stages to remove irrelevant and redundant candidate inputs, respectively. This algorithm is based on mutual information and correlation analysis. The improved iterative training algorithm is composed of two neural networks in which the output of the first neural network is one of the inputs to the second. The overall proposed strategy is applied to the Pennsylvania–New Jersey–Maryland (PJM) electricity markets and compared with some of the most recent price forecast methods. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Artificial neural network; Electricity price forecasting; Improved iterative training algorithm; Two-stage feature selection,Commerce; Complex networks; Costs; Feature extraction; Forecasting; Investments; Iterative methods; Neural networks; Competitive electricity markets; Correlation analysis; Electricity price forecasting; Feature selection algorithm; Investment decisions; Short term prediction; Time-dependent behaviour; Training algorithms; Power markets,5,1,1,1,Article,2,
"Tee J.E.C., Teo T.T., Logenthiran T., Woo W.L., Abidi K.",Day-ahead forecasting of wholesale electricity pricing using extreme learning machine,2017,5,"In a deregulated electricity market where consumers can prepare bidding plans and purchase electricity directly from supplies, consumers can expect the price to fluctuate based on the demand. The consumers can also make economic beneficial decision to use electricity when the price is low. In this context, accurate forecast of the electricity price enable the consumers to plan and make such decisions. This paper proposes a methodology to forecast day-ahead electricity pricing using extreme learning machine. An artificial neural network forecasting model enables inputs variables that affect the output variable. The forecasting model is implemented in MATLAB/Simulink software. The proposed methodology is compared with a simple moving average model, and empirical evidence shows that the proposed methodology has a higher accuracy. © 2017 IEEE.",Artificial Neural Network; Electricity Price Forecasting; Extreme Learning Machine; Full Retail Competition; Wholesale Electricity Pricing,Costs; Deregulation; Forecasting; Knowledge acquisition; MATLAB; Neural networks; Power markets; Deregulated electricity market; Electricity price forecasting; Extreme learning machine; Forecasting modeling; Matlab/Simulink software; Retail competition; Simple moving averages; Wholesale electricity; Learning systems,5,1,1,1,Conference,1,b
"Rafiei M., Niknam T., Khooban M.H.",Probabilistic electricity price forecasting by improved clonal selection algorithm and wavelet preprocessing,2017,15,"Probabilistic forecasting is an appropriate tool that helps electricity markets participants to improve their decision making. Due to changes in electricity prices, the point forecasting accuracy cannot be guaranteed. Hence, participants are more interested in results of probabilistic forecasting methods such as prediction intervals method. In this paper, a hybrid approach for probabilistic electricity price forecasting is presented. This model is based on using improved clonal selection algorithm and extreme learning machine for neural networks training process and wavelet preprocess. The wavelet is utilized to decompose data into well behaved subsets, which increases accuracy of the model. Also, due to the high required computational time for training the neural networks, autocorrelation function is used to reduce the number of neural networks inputs. Finally, in order to evaluate the proposed probabilistic forecasting method, the Ontario and Australian electricity markets data are used. © 2016, The Natural Computing Applications Forum.",Autocorrelation function; Improved clonal selection algorithm; Prediction intervals; Probabilistic forecasting; Wavelet preprocess,Algorithms; Autocorrelation; Commerce; Costs; Decision making; Forecasting; Learning systems; Autocorrelation functions; Clonal selection algorithms; Prediction interval; Preprocess; Probabilistic forecasting; Power markets,5,1,1,2,Article,1,b
"Ghofrani M., Azimi R., Najafabadi F.M., Myers N.",A new day-ahead hourly electricity price forecasting framework,2017,2,"This paper develops a hybrid electricity price-forecasting framework to improve the accuracy of prediction. A novel clustering method is proposed that uses a modified game theoretic self-organizing map (GTSOM) and neural gas (NG) along with competitive Hebbian Learning (CHL) to provide a better vector quantization (VQ). To resolve the deficiency of the original SOM, five strategies are proposed to enable the non-winning neurons to participate in the learning phase. Using GTSOM, the price-load input data are clustered into proper number of subsets. A novel cluster-selection method is proposed to select the most appropriate subset whose time-series data is processed to provide the inputs for the neural networks. Finally, Bayesian method is used to train the networks and forecast the electricity price. Market price data from an independent system operator is used to evaluate the algorithm performance. Furthermore, a comparison of the proposed method against other state-of-the-art forecasting techniques shows a significant improvement in the accuracy of the price forecast. © 2017 IEEE.",Bayesian learning; clustering; electricity price; forecasting; game theory; neural networks; persistence method; self-organizing map,Bayesian networks; Conformal mapping; Costs; Electric utilities; Forecasting; Game theory; Neural networks; Self organizing maps; Algorithm performance; Bayesian learning; clustering; Electricity price forecasting; Electricity prices; Forecasting techniques; Independent system operators; persistence method; Power markets,5,1,1,1,Conference,1,a
"Talari S., Shafie-khah M., Osório G.J., Wang F., Heidari A., Catalão J.P.S.",Price forecasting of electricity markets in the presence of a high penetration of wind power generators,2017,4,"Price forecasting plays a vital role in the day-ahead markets. Once sellers and buyers access an accurate price forecasting, managing the economic risk can be conducted appropriately through offering or bidding suitable prices. In networks with high wind power penetration, the electricity price is influenced by wind energy; therefore, price forecasting can be more complicated. This paper proposes a novel hybrid approach for price forecasting of day-ahead markets, with high penetration of wind generators based on Wavelet transform, bivariate Auto-Regressive Integrated Moving Average (ARIMA) method and Radial Basis Function Neural Network (RBFN). To this end, a weighted time series for wind dominated power systems is calculated and added to a bivariate ARIMA model along with the price time series. Moreover, RBFN is applied as a tool to correct the estimation error, and particle swarm optimization (PSO) is used to optimize the structure and adapt the RBFN to the particular training set. This method is evaluated on the Spanish electricity market, which shows the efficiency of this approach. This method has less error compared with other methods especially when it considers the effects of large-scale wind generators. © 2017 by the authors.",Bivariate ARIMA; Hybrid method; Price forecasting; Wavelet transform; Wind generator,accuracy assessment; artificial neural network; economic analysis; electricity industry; optimization; power generation; price dynamics; wavelet analysis; wind power,"4, 5",1,1,1,Article,1,c
"Zolotova I.Y., Dvorkin V.V.",Short-term forecasting of prices for the Russian wholesale electricity market based on neural networks,2017,,"The article considers the possibility of using neural networks for the short-term forecasting of electricity prices in the day-ahead market (DAM) based on factors strictly determined for the forecast period. A set of six factors has been determined, which allows an hourly forecast of the DAM price to be constructed for a month in each of the four seasons with a high accuracy. The proposed model shows low average errors in forecasting the price for each hour of the month and in turn allows possible significant price deviations to be anticipated. © 2017, Pleiades Publishing, Ltd.",,,5,2,1,1,Article,1,a
"Hu J.-M., Wang J.-Z.",Forecasting day-ahead electricity price using a hybrid improved approach,2017,,"Electricity price prediction plays a crucial part in making the schedule and managing the risk to the competitive electricity market participants. However, it is a difficult and challenging task owing to the characteristics of the nonlinearity, non-stationarity and uncertainty of the price series. This study proposes a hybrid improved strategy which incorporates data preprocessor components and a forecasting engine component to enhance the forecasting accuracy of the electricity price. In the developed forecasting procedure, the Seasonal Adjustment (SA) method and the Ensemble Empirical Mode Decomposition (EEMD) technique are synthesized as the data preprocessing component; the Coupled Simulated Annealing (CSA) optimization method and the Least Square Support Vector Regression (LSSVR) algorithm construct the prediction engine. The proposed hybrid approach is verified with electricity price data sampled from the power market of New South Wales in Australia. The simulation outcome manifests that the proposed hybrid approach obtains the observable improvement in the forecasting accuracy compared with other approaches, which suggests that the proposed combinational approach occupies preferable predication ability and enough precision. © The Korean Institute of Electrical Engineers.",Electricity price; Ensemble empirical mode decomposition; Forecasting; Least square support vector machine; Seasonal adjustment,Commerce; Costs; Engines; Forecasting; Least squares approximations; Simulated annealing; Support vector machines; Competitive electricity markets; Electricity prices; Ensemble empirical mode decomposition; Ensemble empirical mode decompositions (EEMD); Forecasting procedures; Least square support vector machines; Least square support vector regressions; Seasonal adjustments; Power markets,5,1,1,1,Article,4,
"Andrade J.R., Filipe J., Reis M., Bessa R.J.",Probabilistic price forecasting for day-ahead and intraday markets: Beyond the statistical model,2017,20,"Forecasting the hourly spot price of day-ahead and intraday markets is particularly challenging in electric power systems characterized by high installed capacity of renewable energy technologies. In particular, periods with low and high price levels are difficult to predict due to a limited number of representative cases in the historical dataset, which leads to forecast bias problems and wide forecast intervals. Moreover, these markets also require the inclusion of multiple explanatory variables, which increases the complexity of the model without guaranteeing a forecasting skill improvement. This paper explores information from daily futures contract trading and forecast of the daily average spot price to correct point and probabilistic forecasting bias. It also shows that an adequate choice of explanatory variables and use of simple models like linear quantile regression can lead to highly accurate spot price point and probabilistic forecasts. In terms of point forecast, the mean absolute error was 3.03 €/MWh for day-ahead market and a maximum value of 2.53 €/MWh was obtained for intraday session 6. The probabilistic forecast results show sharp forecast intervals and deviations from perfect calibration below 7% for all market sessions. © 2017 by the authors.",Electricity market; Feature engineering; Intraday; Price forecasting; Statistical learning; Uncertainty,complexity; electrical power; energy market; energy resource; market conditions; numerical model; price dynamics; renewable resource; statistical analysis; uncertainty analysis,"4, 5",1,"1, 2",2,Article,7,
"Sadeghi-Mobarakeh A., Kohansal M., Papalexakis E.E., Mohsenian-Rad H.",Data mining based on random forest model to predict the California ISO day-ahead market prices,2017,13,"In this paper, an ensemble learning model, namely the random forest (RF) model, is used to predict both the exact values as well as the class labels of 24 hourly prices in the California Independent System Operator (CAISO)'s day-ahead electricity market. The focus is on predicting the prices for the Pacific Gas and Company (PG&E) default load aggregation point (DLAP). Several effective features, such as the historical hourly prices at different locations, calender data, and new ancillary service requirements are engineered and the model is trained in order to capture the best relations between the features and the target electricity price variables. Insightful case studies are implemented on the CAISO market data from January 1, 2014 to February 28, 2016. It is observed that the proposed data mining approach provides promising results in both predicting the exact value and in classifying the prices as low, medium and high. © 2017 IEEE.",California ISO day-ahead market; Classification; Data mining; Electricity market price regression; Random forest,Classification (of information); Commerce; Costs; Data mining; Decision trees; Electric industry; Electric power transmission networks; Electric utilities; Forecasting; Smart power grids; Ancillary service; Day ahead market; Day-ahead electricity market; Electricity prices; Ensemble learning; Independent system operators; Random forest modeling; Random forests; Power markets,5,1,1,1,Conference,7,
"Sharma S., Tripathi M.M.","Novel hybrid price forecasting model using wavelet transform, time series time delay neural network and zero phase filter in AEMC market",2017,,"In the daily price market, effective price forecasting in presence of the noisy data and intricate load features are important in deregulated power system. This paper presents a novel method of wavelet transform (WT) with data pre-filtering a prediction network based on time series time delay artificial neural network (TSDNN), and an error predicting algorithm based on TSDNN to forecast electricity prices of AEMC market for 2015. Filtered price is decomposed into various components at various frequencies using wavelet decomposition, seperate neural networks (NN) are applied to record individual components, finally results are then combined for final forecasts. Zero phase filter (ZPF) is applied to remove the delay. Error Prediction is shown through the box-plot distribution. Furthermore, low values obtained for the root mean square error (RMS) and mean absolute error (MAE) shows high accuracy of the proposed model. Numerical comparison signifies the effects of data pre-filtering and the accuracy of wavelet neural networks (WNN) based on a data set from AEMC Australia Market. © 2016 IEEE.",Artificial neural network (ANN); Error prediction (EP); Mean absolute percentage error (MAPE); Time series time delay artificial neural network (TSDNN); Zero phase filter (ZPF),Bandpass filters; Commerce; Costs; Data flow analysis; Deregulation; Errors; Forecasting; Mean square error; Neural networks; Power markets; Time delay; Time series; Timing circuits; Wavelet decomposition; Box-plot distribution; Deregulated power systems; Error prediction; Mean absolute percentage error; Root mean square errors; Time delay neural networks; Wavelet neural networks; Zero-phase filters; Wavelet transforms,5,1,1,1,Conference,1,a
"Patil M., Deshmukh S.R., Agrawal R.",Electric power price forecasting using data mining techniques,2017,4,"Electricity price is the governing factor in taking various operational decisions such as generation scheduling, exchange of power amongst utilities, trading of power in market along with keeping pace with technical stability and reliability of power system. The accurate forecasting of price of electric power is a need of every participant in restructured power system scenario. Hence, this paper is an attempt to apply data mining for forecasting the electricity price. The k-mean algorithm is used for classification of data of historical prices of New York Energy Market (NYISO) according to type of day, into three classes. The k-NN algorithm to divide the classified data into two patterns for month of February-March and April to January. Once classification is done, the data is used for developing forecasting model. The historical electricity price data of 2014, along with load is used as input patterns. The accuracy of the developed model is verified by forecasting respective period samples of 2015. The performance of forecasting model is very satisfactory. The step wise development of forecasting model and the results are discussed in detail. © 2017 IEEE.",Electric Power Price; Forecasting; K-Means; K-NN algorithm; Linear and Multiple Regressions; R,Classification (of information); Commerce; Costs; Forecasting; Information management; Nearest neighbor search; Pattern recognition; Power markets; Classification of data; Electric power; Generation scheduling; K-means; k-NN algorithm; Multiple regressions; Operational decisions; Restructured power systems; Data mining,5,2,1,1,Conference,7,
"Guo W., Zhao Z.",A novel hybrid BND-FOA-LSSVM model for electricity price forecasting,2017,6,"Accurate electricity price forecasting plays an important role in the profits of electricity market participants and the healthy development of electricity market. However, the electricity price time series hold the characteristics of volatility and randomness, which make it quite hard to forecast electricity price accurately. In this paper, a novel hybrid model for electricity price forecasting was proposed combining Beveridge-Nelson decomposition (BND) method, fruit fly optimization algorithm (FOA), and least square support vector machine (LSSVM) model, namely BND-FOA-LSSVM model. Firstly, the original electricity price time series were decomposed into deterministic term, periodic term, and stochastic term by using BND model. Then, these three decomposed terms were forecasted by employing LSSVM model, respectively. Meanwhile, to improve the forecasting performance, a new swarm intelligence optimization algorithm FOA was used to automatically determine the optimal parameters of LSSVM model for deterministic term forecasting, periodic term forecasting, and stochastic term forecasting. Finally, the forecasting result of electricity price can be obtained by multiplying the forecasting values of these three terms. The results show the mean absolute percentage error (MAPE), root mean square error (RMSE) and mean absolute error (MAE) of the proposed BND-FOA-LSSVM model are respectively 3.48%, 11.18 Yuan/MWh and 9.95 Yuan/MWh, which are much smaller than that of LSSVM, BND-LSSVM, FOA-LSSVM, auto-regressive integrated moving average (ARIMA), and empirical mode decomposition (EMD)-FOA-LSSVM models. The proposed BND-FOA-LSSVM model is effective and practical for electricity price forecasting, which can improve the electricity price forecasting accuracy. © 2017 by the authors.",Beveridge-Nelson decomposition method (BND); Electricity price forecasting; Fruit fly optimization algorithm (FOA); Intelligence forecasting; Least square support vectormachine (LSSVM),Commerce; Costs; Electric industry; Errors; Forecasting; Fruits; Least squares approximations; Mean square error; Optimization; Signal processing; Stochastic models; Stochastic systems; Support vector machines; Time series; Auto-regressive integrated moving average; Decomposition methods; Electricity price forecasting; Empirical Mode Decomposition; Fruit Fly Optimization Algorithm (FOA); Least square support vector machines; Mean absolute percentage error; Swarm intelligence optimization algorithm; Power markets,5,1,1,1,Article,4,
Lahmiri S.,Comparing variational and empirical mode decomposition in forecasting day-ahead energy prices,2017,58,"Recently, variational mode decomposition (VMD) has been proposed as an advanced multiresolution technique for signal processing. This study presents a VMD-based generalized regression neural network ensemble learning model to predict California electricity and Brent crude oil prices. Its performance is compared to that of the empirical mode decomposition (EMD) based generalized regression neural network (GRNN) ensemble model. Particle swarm optimization is used to optimize each GRNN initial weight within the ensemble system. Experimental results showed that the VMD-based ensemble outperformed EMD-based ensemble forecasting system in terms of mean absolute error, mean absolute percentage error, and root mean-squared error. It also outperformed the conventional auto-regressive moving average model used for comparison purpose. As a result, the VMD-based GRNN ensemble forecasting paradigm could be a promising methodology for California electricity and Brent crude oil price prediction. © 2007-2012 IEEE.",Empirical mode decomposition (EMD); energy price; ensemble system; forecasting; generalized regression neural network; variational mode decomposition (VMD),Costs; Crude oil; Errors; Forecasting; Mean square error; Neural networks; Particle swarm optimization (PSO); Power markets; Regression analysis; Empirical Mode Decomposition; Energy prices; Ensemble systems; Generalized regression neural networks; Mode decomposition; Signal processing,5,1,1,1,Article,1,a
"Mori H., Itaba S.",Integration of improved GRBFN with fuzzy clustering for electricity price forecasting,2017,1,"This paper proposes an efficient model with a hybrid intelligent system that consists of fuzzy c-Varieties of fuzzy clustering and GRBFN (Generalized Radial Basis Function Network) of ANN (Artificial Neural Network) for electricity price forecasting. In recent years, electric power system deregulation has been spread in the world so that electricity power markets become more complicated. Due to the highly nonlinearity of electricity price time-series, more accurate forecasting model are required to purchase and/or sell electricity in power markets. In this paper, a hybrid intelligent method is proposed to provide one-step ahead predicted values of electricity price with a couple of strategies; Fuzzy c-Varieties and improved GRBFN. The former is used to classify input data into some fuzzy clusters while the latter is employed to provide the predicted electricity price at each cluster by applying Deterministic Annealing clustering to the determination of the initial values of parameters in the Gaussian functions. The reason why Fuzzy c-Varieties are used is to increases the number of data by allowing each data to be belonged to more than two clusters. The proposed method is tested for real data of ISO New England, USA. © 2017 IEEE.",clustering; DAclustering; electricity price; forecasting model; fuzzy c-Varieties; GRBFN; neural network; power market; pre-filtering,Commerce; Costs; Deregulation; Electric power systems; Forecasting; Fuzzy clustering; Fuzzy inference; Fuzzy systems; Intelligent computing; Intelligent systems; Neural networks; Radial basis function networks; Soft computing; clustering; DAclustering; Electricity prices; Forecasting modeling; Fuzzy c-varieties; GRBFN; Pre-filtering; Power markets,5,1,1,1,Conference,"1, 3",c
