Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output
"Ziel F., Weron R.",Day-ahead electricity price forecasting with high-dimensional structures: Univariate vs. multivariate modeling frameworks,2018,50,"We conduct an extensive empirical study on short-term electricity price forecasting (EPF) to address the long-standing question if the optimal model structure for EPF is univariate or multivariate. We provide evidence that despite a minor edge in predictive performance overall, the multivariate modeling framework does not uniformly outperform the univariate one across all 12 considered datasets, seasons of the year or hours of the day, and at times is outperformed by the latter. This is an indication that combining advanced structures or the corresponding forecasts from both modeling approaches can bring a further improvement in forecasting accuracy. We show that this indeed can be the case, even for a simple averaging scheme involving only two models. Finally, we also analyze variable selection for the best performing high-dimensional lasso-type models, thus provide guidelines to structuring better performing forecasting model designs. © 2018 Elsevier B.V.",Day-ahead market; Electricity price forecasting; Forecast combination; Lasso; Multivariate modeling; Regression; Univariate modeling; Variable selection,Costs; Forecasting; Structural optimization; Day ahead market; Electricity price forecasting; Forecast combinations; Lasso; Multivariate modeling; Regression; Univariate models; Variable selection; Power markets; conceptual framework; electricity supply; energy market; modeling; multivariate analysis; price dynamics; regression analysis,4,1,1,1
"Zhang Y., Li C., Li L.",Wavelet transform and Kernel-based extreme learning machine for electricity price forecasting,2018,7,"In deregulated electricity markets, sophisticated factors, such as the weather, the season, high frequencies, the presence of jumps and the relationship between electricity loads and prices, make electricity prices difficult to predict. To increase the accuracy of electricity price forecasting, this paper investigates a hybrid approach that is based on a combination of the wavelet transform, a kernel-based extreme learning machine and a particle swarm optimization algorithm. The performance and robustness of the proposed method are evaluated by using electricity price data from two Australian districts (New South Wales and Victoria) and Pennsylvania-New Jersey-Maryland (PJM) electricity markets. These case studies show that the proposed method can effectively capture the nonlinearity features from the price data series with a smaller computation time cost and high prediction accuracy compared with other price forecasting methods. The results also demonstrate that the proposed method represents an accurate price forecasting technique for power market price analysis. © 2016, Springer-Verlag Berlin Heidelberg.",Electricity price forecasting; Kernel-based ELM; PSO; Wavelet transform,Commerce; Costs; Deregulation; Forecasting; Knowledge acquisition; Learning systems; Optimization; Particle swarm optimization (PSO); Wavelet transforms; Deregulated electricity market; Electricity price forecasting; Electricity prices; Extreme learning machine; High frequency HF; Kernel-based ELM; Prediction accuracy; Price forecasting; Power markets,5,1,1,1
"Lago J., De Ridder F., Vrancx P., De Schutter B.",Forecasting day-ahead electricity prices in Europe: The importance of considering market integration,2018,73,"Motivated by the increasing integration among electricity markets, in this paper we propose two different methods to incorporate market integration in electricity price forecasting and to improve the predictive performance. First, we propose a deep neural network that considers features from connected markets to improve the predictive accuracy in a local market. To measure the importance of these features, we propose a novel feature selection algorithm that, by using Bayesian optimization and functional analysis of variance, evaluates the effect of the features on the algorithm performance. In addition, using market integration, we propose a second model that, by simultaneously predicting prices from two markets, improves the forecasting accuracy even further. As a case study, we consider the electricity market in Belgium and the improvements in forecasting accuracy when using various French electricity features. We show that the two proposed models lead to improvements that are statistically significant. Particularly, due to market integration, the predictive accuracy is improved from 15.7% to 12.5% sMAPE (symmetric mean absolute percentage error). In addition, we show that the proposed feature selection algorithm is able to perform a correct assessment, i.e. to discard the irrelevant features. © 2017 Elsevier Ltd",Bayesian optimization; Deep neural networks; Electricity market integration; Electricity price forecasting; Functional ANOVA,Bayesian networks; Commerce; Costs; Deep neural networks; Electric industry; Feature extraction; Forecasting; Integration; Optimization; Algorithm performance; Bayesian optimization; Electricity price forecasting; Feature selection algorithm; Forecasting accuracy; Functional ANOVA; Mean absolute percentage error; Predictive performance; Power markets; algorithm; artificial neural network; electricity; energy market; forecasting method; integrated approach; market conditions; optimization; price determination; variance analysis; Belgium,5,1,1,1
"Zhao Z., Wang C., Nokleby M., Miller C.J.",Improving short-term electricity price forecasting using day-ahead LMP with ARIMA models,2018,2,"Short-term electricity price forecasting has become important for demand side management and power generation scheduling. Especially as the electricity market is becomes more competitive, a more accurate price prediction than the day-ahead locational marginal price (DALMP) published by the independent system operator (ISO) will benefit participants in the market by increasing profit or improving load demand scheduling. Hence, the main idea of this paper is to use autoregressive integrated moving average (ARIMA) models to obtain a better LMP prediction than the DALMP by utilizing the published DALMP, historical real-time LMP (RTLMP) and other useful information. First, a set of seasonal ARIMA (SARIMA) models utilizing the DALMP and historical RTLMP are developed and compared with autoregressive moving average (ARMA) models that use the differences between DALMP and RTLMP on their forecasting capability. A generalized autoregressive conditional heteroskedasticity (GARCH) model is implemented to further improve the forecasting by accounting for the price volatility. The models are trained and evaluated using real market data in the Midcontinent Independent System Operator (MISO) region. The evaluation results indicate that the ARMAX-GARCH model, where an exogenous time series indicates weekend days, improves the short-term electricity price prediction accuracy and outperforms the other proposed ARIMA models. © 2017 IEEE.",ARIMA models; Electricity market; Locational marginal price; Price prediction,Commerce; Costs; Electric industry; Electric utilities; Forecasting; Scheduling; ARIMA models; Autoregressive integrated moving average models; Autoregressive moving average model; Electricity price forecasting; Generalized autoregressive conditional heteroskedasticity; Independent system operators; Locational marginal prices; Price prediction; Power markets,4,1,1,1
"Bento P.M.R., Pombo J.A.N., Calado M.R.A., Mariano S.J.P.S.",A bat optimized neural network and wavelet transform approach for short-term price forecasting,2018,49,"In the competitive power industry environment, electricity price forecasting is a fundamental task when market participants decide upon bidding strategies. This has led researchers in the last years to intensely search for accurate forecasting methods, contributing to better risk assessment, with significant financial repercussions. This paper presents a hybrid method that combines similar and recent day-based selection, correlation and wavelet analysis in a pre-processing stage. Afterwards a feedforward neural network is used alongside Bat and Scaled Conjugate Gradient Algorithms to improve the traditional neural network learning capability. Another feature is the method's capacity to fine-tune neural network architecture and wavelet decomposition, for which there is no optimal paradigm. Numerical testing was applied in a day-ahead framework to historical data pertaining to Spanish and Pennsylvania-New Jersey-Maryland (PJM) electricity markets, revealing positive forecasting results in comparison with other state-of-the-art methods. © 2017 Elsevier Ltd",Artificial neural networks; Bat algorithm; Scaled conjugate gradient; Short-term price forecasting; Similar day selection; Wavelet transform,Commerce; Conjugate gradient method; Costs; Feedforward neural networks; Forecasting; Network architecture; Neural networks; Numerical methods; Risk assessment; Wavelet decomposition; Wavelet transforms; Bat algorithms; Electricity price forecasting; Neural network learning; Scaled conjugate gradient algorithm; Scaled conjugate gradients; Short-term price forecasting; Similar day; State-of-the-art methods; Power markets; algorithm; artificial neural network; decomposition analysis; electricity; energy market; forecasting method; numerical method; optimization; price dynamics; transform; wavelet analysis; Maryland; New Jersey; Pennsylvania; Spain; United States,5,1,1,1
"Li H., Wang G., Li G., Wang H., Wu C., Fu Z.",A deep learning approach for electricity price forecasting using stacked autoencoders,2018,,"Electricity price is a core indicator for reflecting the operation of the electricity market and evaluating the efficiency of market competition. It is the basis for decision-making in the electricity market. With the continuous development of global power marketization, the role of electricity price in the electricity market has received increasing attention. Accurate short-term electricity price forecasting can provide guidance for bidding strategies of market participants, thereby reducing bidding risks of participants and providing them with a stable return. However, due to the complex nature of electricity prices such as high volatility, high frequency, nonlinearity and non-stationarity, it is difficult to accurately predict electricity prices in advance. To improve prediction accuracy, this paper proposes a market clearing prices (MCPs) prediction method based on wavelet transforms (WT) and stacked autoencoders (SAEs). The deep learning framework comprises two stages is introduced in this work. First, WT is employed to decompose raw MCPs data into different frequency series for better behaviors. Second, the nonlinear features and invariant structures of each frequency are completely extracted by layer-wise pre-training based SAEs. The effectiveness of the proposed prediction method is verified by using actual price data from the Australian electricity market. The experimental results show that the proposed method obtains more accurate prediction, better versatility and practicability compared with several other prediction methods. © 2018 Institution of Engineering and Technology. All rights reserved.",Deep learning; Electricity price forecasting (EPF); Stacked autoencoders (SAEs); Wavelet transforms (WT),Competition; Costs; Decision making; Deep learning; Electric industry; Forecasting; Learning systems; Wavelet transforms; Australian electricity market; Autoencoders; Continuous development; Different frequency; Electricity price forecasting; Learning frameworks; Market clearing prices; Prediction accuracy; Power markets,5,1,1,1
"Tasneem F., Waters G.",Forecasting MISO electricity prices: A threshold autoregressive approach with load data,2018,,"Electricity price dynamics for the Illinois market are examined by estimating eleven different threshold autoregressive models and comparing according to fit and forecasting performance. The threshold is endogenous and depends on load data in three of the cases. A theoretical model demonstrates that supply constraints could explain price spikes and that prices would display less persistence in those cases. Estimation results confirm that presence of non-linearity in the evolution of prices. However, inclusion of the load data does not improve performance, which provides evidence against this hypothesis. The model where the threshold depends on the change in the past price is best. © 2018, University of Nebraska. All rights reserved.",,electricity industry; electricity supply; energy market; forecasting method; hypothesis testing; nonlinearity; performance assessment; price dynamics; regression analysis; threshold; Illinois; United States,4,1,1,1
"Petrichenko L., Sauhats A., Petrichenko R., Bezrukovs D.",Long-term price forecasting for the cost-benefit analysis of power equipment,2018,1,"Forecasting of electricity price plays a significant role in electrical network planning and development. In the present paper, we offer three prediction approaches: The naive method (NM), Fourier transformation (FT) with imposition of white noise and the artificial neural network (ANN) model. Our research proves the possibility of using any of three approaches due to the high forecasting accuracy of all of them. A case study using three types of forecasting methods, real-life data and a model of the distribution grid of our native country is presented to demonstrate the efficiency of our investigation and used to estimate the income generated by the energy storage system. © 2018 IEEE.",ANN; Electricity price; forecasting; Fourier transformation; naive method,Costs; Digital storage; Electric energy storage; Forecasting; Fourier transforms; Neural networks; Power markets; White noise; Artificial neural network models; Electrical networks; Electricity prices; Energy storage systems; Forecasting accuracy; Forecasting methods; Fourier transformations; naive method; Cost benefit analysis,5,3,1,1
"Menon K.C., Menon D.G., Menon R.V.","Indian electricity power market (Iex, Kerala Region) spot price: Forecasting using ARIMA model",2018,,"Electricity traded as a commodity have distinct characteristics of being completely fungible, simultaneous in a generation to usage & at any given time, there should be a near perfect supply-demand equilibrium in the power grids. Smart grids use ancillary services & demand response programs to manage any demand fluctuations. Independent System Operators (ISOs) & Regional Transmission Organisations (RTO) are responsible for keeping the grid balanced with generation & load. Power Grid Corporation (ISO), Indian Energy Exchange (ISO) & Kerala State Electricity Board (RTO) are the key players who perform this function for Kerala region. IEX manage the energy markets by operating three submarkets day-ahead, real-time& capacity markets. Through day-ahead market, electricity generators &load-serving entities submit their bids to receive & offer electricity to the power grid based on varying cost on each hour for the next operating day. In the real-time market, ISO & RTOs manage these changes in production & consumption throughout the day. They optimize the generation dispatch schedule where they consider generation cost & transmission constraints. Capacity markets are employed to have study flow of capital investments in the market thereby increasing the generation capacity. Currently, KSEB forecast & schedule power generation to ensure sufficient power is available at its disposal for transmission. But with generation capacity standing at a mere 30% of demand, it has to depend upon bulk purchases. To bring transparency to KSEB’s procurement programme, the Kerala state regulatory commission (erc Kerala) have provided adequate guidelines to consider commodity markets as well along with its traditional flat-ratecontracts. On this research study, we are forecasting day-ahead electricity spot price at IEX Kerala region using modern electrometric techniques. The time series analysis of Autoregressive Integrated Moving Average (ARIMA) model is applied to the historical IEX spot price data starting from 1st February 2017 to 31st January of 2018. In every deregulated electricity market, it’s a practice to perform the price forecasting first and then to prepare the bids accordingly. KSEB can also apply this technique to improve their procurement efficiency. From 2017 onwards, IEX has created a new separate bid region for the Kerala market, making Kerala specific market study very relevant. © 2018, Institute of Advanced Scientific Research, Inc. All rights reserved.",ARIMA Models; Box-jenkins methodology; Electricity price forecasting; Time series and deregulated markets,,4,2,1,1
"Uniejewski B., Weron R.",Efficient forecasting of electricity spot prices with expert and LASSO models,2018,9,"Recent electricity price forecasting (EPF) studies suggest that the least absolute shrinkage and selection operator (LASSO) leads to well performing models that are generally better than those obtained from other variable selection schemes. By conducting an empirical study involving datasets from two major power markets (Nord Pool and PJM Interconnection), three expert models, two multi-parameter regression (called baseline) models and four variance stabilizing transformations combined with the seasonal component approach, we discuss the optimal way of implementing the LASSO. We show that using a complex baseline model with nearly 400 explanatory variables, a well chosen variance stabilizing transformation (asinh or N-PIT), and a procedure that recalibrates the LASSO regularization parameter once or twice a day indeed leads to significant accuracy gains compared to the typically considered EPF models. Moreover, by analyzing the structures of the best LASSO-estimated models, we identify the most important explanatory variables and thus provide guidelines to structuring better performing models. © 2018 MDPI AG. All Rights Reserved.",Automated variable selection; Day-ahead market; Electricity spot price; LASSO; Long-term seasonal component; Variance stabilizing transformation,Commerce; Costs; Day ahead market; Electricity spot price; LASSO; Long-term seasonal component; Variable selection; Variance stabilizing transformation; Power markets,4,1,1,1
"Ugurlu U., Oksuz I., Tas O.",Electricity price forecasting using recurrent neural networks,2018,38,"Accurate electricity price forecasting has become a substantial requirement since the liberalization of the electricity markets. Due to the challenging nature of electricity prices, which includes high volatility, sharp price spikes and seasonality, various types of electricity price forecasting models still compete and cannot outperform each other consistently. Neural Networks have been successfully used in machine learning problems and Recurrent Neural Networks (RNNs) have been proposed to address time-dependent learning problems. In particular, Long Short Term Memory (LSTM) and Gated Recurrent Units (GRU) are tailor-made for time series price estimation. In this paper, we propose to use multi-layer Gated Recurrent Units as a new technique for electricity price forecasting. We have trained a variety of algorithms with three-year rolling window and compared the results with the RNNs. In our experiments, three-layered GRUs outperformed all other neural network structures and state-of-the-art statistical techniques in a statistically significant manner in the Turkish day-ahead market. © 2018 The Author(s).",Artificial intelligence; Deep learning; Electricity price forecasting; Gated recurrent units; Long short term memory; Turkish day-ahead market,Artificial intelligence; Brain; Commerce; Deep learning; Forecasting; Long short-term memory; Day ahead market; Electricity price forecasting; Electricity prices; Gated recurrent units; Machine learning problem; Neural network structures; Recurrent neural network (RNNs); Statistical techniques; Power markets,5,1,1,1
"Gligorić Z., Štrbac Savić S., Grujić A., Negovanović M., Musić O.",Short-term electricity price forecasting model using interval-valued autoregressive process,2018,2,"The uncertainty that dominates in the functioning of the electricity market is of great significance and arises, generally, because of the time imbalance in electricity consumption rates and power plants' production capacity, as well as the influence of many other factors (weather conditions, fuel costs, power plant operating costs, regulations, etc.). In this paper we try to incorporate this uncertainty in the electricity price forecasting model by applying interval numbers to express the price of electricity, with no intention of exploring influencing factors. This paper represents a hybrid model based on fuzzy C-mean clustering and the interval-valued autoregressive process for forecasting the short-term electricity price. A fuzzy C-mean algorithm was used to create interval time series to be forecasted by the interval autoregressive process. In this way, the efficiency of forecasting is improved because we predict the interval, not the crisp value where the price will be. This approach increases the flexibility of the forecasting model. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Electricity price series; Fuzzy C-mean; Interval autoregressive forecasting; Interval series,Forecasting; Fuzzy clustering; Operating costs; Random processes; Auto regressive process; Auto-regressive; Electricity price forecasting; Electricity price series; Electricity-consumption; Fuzzy C mean; Fuzzy C mean clustering; Interval series; Power markets,"4, 5",1,1,2
"Giovanelli C., Sierla S., Ichise R., Vyatkin V.",Exploiting artificial neural networks for the prediction of ancillary energy market prices,2018,5,"The increase of distributed energy resources in the smart grid calls for new ways to profitably exploit these resources, which can participate in day-ahead ancillary energy markets by providing flexibility. Higher profits are available for resource owners that are able to anticipate price peaks and hours of low prices or zero prices, as well as to control the resource in such a way that exploits the price fluctuations. Thus, this study presents a solution in which artificial neural networks are exploited to predict the day-ahead ancillary energy market prices. The study employs the frequency containment reserve for the normal operations market as a case study and presents the methodology utilized for the prediction of the case study ancillary market prices. The relevant data sources for predicting the market prices are identified, then the frequency containment reserve market prices are analyzed and compared with the spot market prices. In addition, the methodology describes the choices behind the definition of the model validation method and the performance evaluation coefficient utilized in the study. Moreover, the empirical processes for designing an artificial neural network model are presented. The performance of the artificial neural network model is evaluated in detail by means of several experiments, showing robustness and adaptiveness to the fast-changing price behaviors. Finally, the developed artificial neural network model is shown to have better performance than two state of the art models, support vector regression and ARIMA, respectively. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Ancillary markets; Demand response; Energy markets; Frequency containment reserve; Machine learning; Neural network; Price prediction; Smart grid,Commerce; Costs; Distributed computer systems; Electric power transmission networks; Energy resources; Forecasting; Learning systems; Neural networks; Smart power grids; Demand response; Energy markets; Frequency containments; Price prediction; Smart grid; Power markets,5,1,1,1
"Beigaite R., Krilavičius T.",Electricity price forecasting for nord pool data using recurrent neural networks,2018,,"Forecasts of electricity spot price can be very useful for participants of electricity market in order to maximize profits, minimize risks and make future strategies. In literature various methods are applied for solving this problem. However, the same approaches let achieve different results with distinct markets. In this paper we describe our experiments with electricity spot price data of Lithuania’s price zone in Nord Pool power market. Short-term forecasts are made using recurrent neural networks and results are reported. Copyright held by the author(s).",Forecasting; Index Terms—electricity spot price; Recurrent neural networks,Commerce; Forecasting; Power markets; Electricity price forecasting; Electricity spot price; Future strategy; Lithuania; Price zone; Short-term forecasts; Recurrent neural networks,5,1,1,1
"Abdul Razak I.A.W., Abidin I.Z., Siah Y.K., Abidin A.A.Z., Rahman T.K.A., Baharin N., Jali H.B.",An optimization method of genetic algorithm for lssvm in medium term electricity price forecasting,2018,1,"Predicting electricity price has now become an important task for planning and maintenance of power system. In medium term forecast, electricity price can be predicted for several weeks ahead up to a year or few months ahead. It is useful for resources reallocation where the market players have to manage the price risk on the expected market scenario. However, researches on medium term price forecast have also exhibited low forecast accuracy. This is due to the limited historical data for training and testing purposes. Therefore, an optimisation technique of Genetic Algorithm (GA) for Least Square Support Vector Machine (LSSVM) was developed in this study to provide an accurate electricity price forecast with optimised LSSVM parameters and input features. So far, no literature has been found on feature and parameter selections using the method of LSSVM-GA for medium term price prediction. The model was examined on the Ontario power market; which is reported as among the most volatile market worldwide. The monthly average of Hourly Ontario Electricity Price (HOEP) for the past 12 months and month index are selected as the input features. The developed LSSVM-GA shows higher forecast accuracy with lower complexity than the existing models. © 2018 Universiti Teknikal Malaysia Melaka. All Rights Reserved.",Genetic Algorithms; Least Square Support Vector Machines; Medium Term Price Forecasting; Optimization.,,5,2,1,1
"Yu X., Li Y., Yang Q., Li G., Cao R., Cheng C., Chen F.",Day-Ahead Electricity Market Clearing Price Forecasting: A Case in Yunnan,2018,,"The newly-reformed Yunnan electricity market has been operating successfully for three years with more and more abundant trade varieties and perfect trading mechanism. The vitality of the market is increasing year by year. Market participants are gradually exploring reasonable bidding strategies, and the accurate electricity price forecasting is a joint demand for all the market members. With comprehensive considerations of the social economic background, the structure of the power system, the market development state, and other factors in Yunnan, this paper analyzes various factors and rules that have effects on the electricity price in day-ahead market. Furthermore, a successful application of an auto regressive moving average (ARMA) model to electricity price forecasting (EPF) is presented. The case study based on real data of day-ahead market in Yunnan shows that the proposed model could reflect the characteristics of electricity price and the results prove this model's effectivity. © 2018 American Society of Civil Engineers.",Electricity markets; Forecasting; Market clearing price; Time series analysis,Commerce; Costs; Electric industry; Electric power system economics; Environmental management; Forecasting; Irrigation; Soil conservation; Time series analysis; Water conservation; Water management; Water resources exploration; Watersheds; Auto regressive moving average modeling; Day-ahead electricity market; Electricity price forecasting; Electricity prices; Market Clearing Price; Market development; Market participants; Trading mechanism; Power markets,4,1,1,1
"Meier J.-H., Schneider S., Schönfeldt T., Schüller P., Wanke B.",Electricity price forecasting: A methodological ANN-based approach with special consideration of time series properties,2018,,"If one examines the spot price series of electrical power over the course of time, it is striking that the electricity price across the day takes a course that is determined by power consumption following a day and night rhythm. This daily course changes in its height and temporal extent in both, the course of the week, as well as with the course of the year. This study deals methodologically with non-linear correlative and autocorrelative time series properties of the electricity spot price. We contribute the usage of non-fully connectionist networks in relation to fully connectionist networks to decompose non-linear correlative time series properties. Additionally, we contribute the usage of long short-term-memory network (LSTM) to discover and to deal with autocorrelation effects. © 2011 Springer-Verlag Berlin Heidelberg.",ARIMAX; Artificial neural network; Electricity prices; LSTM,Costs; Industrial research; Knowledge management; Long short-term memory; Neural networks; Time series; ARIMAX; Connectionist networks; Electrical power; Electricity price forecasting; Electricity prices; Electricity spot price; LSTM; Short term memory; Power markets,5,2,1,1
"Monteiro C., Ramirez-Rosado I.J., Fernandez-Jimenez L.A.",Probabilistic electricity price forecasting models by aggregation of competitive predictors,2018,,"This article presents original probabilistic price forecasting meta-models (PPFMCP models), by aggregation of competitive predictors, for day-ahead hourly probabilistic price forecasting. The best twenty predictors of the EEM2016 EPF competition are used to create ensembles of hourly spot price forecasts. For each hour, the parameter values of the probability density function (PDF) of a Beta distribution for the output variable (hourly price) can be directly obtained from the expected and variance values associated to the ensemble for such hour, using three aggregation strategies of predictor forecasts corresponding to three PPFMCP models. A Reliability Indicator (RI) and a Loss function Indicator (LI) are also introduced to give a measure of uncertainty of probabilistic price forecasts. The three PPFMCP models were satisfactorily applied to the real-world case study of the Iberian Electricity Market (MIBEL). Results from PPFMCP models showed that PPFMCP model 2, which uses aggregation by weight values according to daily ranks of predictors, was the best probabilistic meta-model from a point of view of mean absolute errors, as well as of RI and LI. PPFMCP model 1, which uses the averaging of predictor forecasts, was the second best meta-model. PPFMCP models allow evaluations of risk decisions based on the price to be made. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Daily session prices; Electricity market prices; Electricity price forecasting; Iberian Electricity Market (MIBEL); Probabilistic forecast,Commerce; Costs; Electric industry; Forecasting; Probability density function; Probability distributions; Aggregation strategy; Daily session prices; Electricity price forecasting; Iberian electricity market; Measure of uncertainty; Probabilistic forecasts; Probability density function (pdf); Reliability indicators; Power markets,4,1,1,2
"Ebrahimian H., Barmayoon S., Mohammadi M., Ghadimi N.",The price prediction for the energy market based on a new method,2018,82,"Regarding the complex behaviour of price signalling, its prediction is difficult, where an accurate forecasting can play an important role in electricity markets. In this paper, a feature selection based on mutual information is implemented for day ahead prediction of electricity prices, which are so valuable for determining the redundancy and relevancy of selected features. A combination of wavelet transform (WT) and a hybrid forecast method is presented based on a neural network (NN). Furthermore, an intelligent algorithm is considered for a prediction process to set the proposed forecast engine free parameters based NN. This optimisation process improved the accuracy of the proposed model. To demonstrate the validity of this model, the Pennsylvania-New Jersey-Maryland (PJM) electricity market is considered as a test case and compared with some of the most recent price forecast methods. These comparisons illustrate the effectiveness of the proposed strategy. © 2018 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group. All Rights Reserved.",Feature selection; Hybrid forecast engine; Price forecast,artificial neural network; electricity industry; energy market; numerical model; prediction; price determination; Maryland; New Jersey; Pennsylvania; United States,5,1,1,1
"González J.P., Roque A.M.S., Pérez E.A.",Forecasting functional time series with a new hilbertian ARMAX model: Application to electricity price forecasting,2018,38,"A functional time series is the realization of a stochastic process where each observation is a continuous function defined on a finite interval. These processes are commonly found in electricity markets and are gaining more importance as more market data become available and markets head toward continuous-time marginal pricing approaches. Forecasting these time series requires models that operate with continuous functions. This paper proposes a new functional forecasting method that attempts to generalize the standard seasonal ARMAX time series model to the L2 Hilbert space. The structure of the proposed model is a linear regression where functional parameters operate on functional variables. The variables can be lagged values of the series (autoregressive terms), past observed innovations (moving average terms), or exogenous variables. In this approach, the functional parameters used are integral operators whose kernels are modeled as linear combinations of sigmoid functions. The parameters of each sigmoid are optimized using a Quasi-Newton algorithm that minimizes the sum of squared errors. This novel approach allows us to estimate the moving average terms in functional time series models. The new model is tested by forecasting the daily price profile of the Spanish and German electricity markets and it is compared to other functional reference models. © 2017 IEEE.",Electricity price forecasting; Functional ARMAX model; Functional data analysis; Functional time series,Commerce; Continuous time systems; Costs; Forecasting; Functions; Power markets; Random processes; Stochastic systems; Time series; ARMAX model; Electricity price forecasting; Functional data analysis; Functional forecasting; Functional parameters; Functional time series; Quasi-newton algorithm; Sum of squared errors; Time series analysis,4,1,1,1
"Khajeh M.G., Maleki A., Rosen M.A., Ahmadi M.H.",Electricity price forecasting using neural networks with an improved iterative training algorithm,2018,11,"In a competitive electricity market, the forecasting of energy prices is an important activity for all market participants either for developing bidding strategies or for making investment decisions. In this article, a new forecasting strategy is proposed for short-term prediction of the electricity price, which is a complex quantity with nonlinear, volatile and time-dependent behaviour. Our forecast strategy includes two novelties: a new two-stage feature selection algorithm and a new iterative training algorithm. The feature selection algorithm has two filtering stages to remove irrelevant and redundant candidate inputs, respectively. This algorithm is based on mutual information and correlation analysis. The improved iterative training algorithm is composed of two neural networks in which the output of the first neural network is one of the inputs to the second. The overall proposed strategy is applied to the Pennsylvania–New Jersey–Maryland (PJM) electricity markets and compared with some of the most recent price forecast methods. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Artificial neural network; Electricity price forecasting; Improved iterative training algorithm; Two-stage feature selection,Commerce; Complex networks; Costs; Feature extraction; Forecasting; Investments; Iterative methods; Neural networks; Competitive electricity markets; Correlation analysis; Electricity price forecasting; Feature selection algorithm; Investment decisions; Short term prediction; Time-dependent behaviour; Training algorithms; Power markets,5,1,1,1
"Tee J.E.C., Teo T.T., Logenthiran T., Woo W.L., Abidi K.",Day-ahead forecasting of wholesale electricity pricing using extreme learning machine,2017,5,"In a deregulated electricity market where consumers can prepare bidding plans and purchase electricity directly from supplies, consumers can expect the price to fluctuate based on the demand. The consumers can also make economic beneficial decision to use electricity when the price is low. In this context, accurate forecast of the electricity price enable the consumers to plan and make such decisions. This paper proposes a methodology to forecast day-ahead electricity pricing using extreme learning machine. An artificial neural network forecasting model enables inputs variables that affect the output variable. The forecasting model is implemented in MATLAB/Simulink software. The proposed methodology is compared with a simple moving average model, and empirical evidence shows that the proposed methodology has a higher accuracy. © 2017 IEEE.",Artificial Neural Network; Electricity Price Forecasting; Extreme Learning Machine; Full Retail Competition; Wholesale Electricity Pricing,Costs; Deregulation; Forecasting; Knowledge acquisition; MATLAB; Neural networks; Power markets; Deregulated electricity market; Electricity price forecasting; Extreme learning machine; Forecasting modeling; Matlab/Simulink software; Retail competition; Simple moving averages; Wholesale electricity; Learning systems,5,1,1,1
"Rafiei M., Niknam T., Khooban M.H.",Probabilistic electricity price forecasting by improved clonal selection algorithm and wavelet preprocessing,2017,15,"Probabilistic forecasting is an appropriate tool that helps electricity markets participants to improve their decision making. Due to changes in electricity prices, the point forecasting accuracy cannot be guaranteed. Hence, participants are more interested in results of probabilistic forecasting methods such as prediction intervals method. In this paper, a hybrid approach for probabilistic electricity price forecasting is presented. This model is based on using improved clonal selection algorithm and extreme learning machine for neural networks training process and wavelet preprocess. The wavelet is utilized to decompose data into well behaved subsets, which increases accuracy of the model. Also, due to the high required computational time for training the neural networks, autocorrelation function is used to reduce the number of neural networks inputs. Finally, in order to evaluate the proposed probabilistic forecasting method, the Ontario and Australian electricity markets data are used. © 2016, The Natural Computing Applications Forum.",Autocorrelation function; Improved clonal selection algorithm; Prediction intervals; Probabilistic forecasting; Wavelet preprocess,Algorithms; Autocorrelation; Commerce; Costs; Decision making; Forecasting; Learning systems; Autocorrelation functions; Clonal selection algorithms; Prediction interval; Preprocess; Probabilistic forecasting; Power markets,5,1,1,2
"Ghofrani M., Azimi R., Najafabadi F.M., Myers N.",A new day-ahead hourly electricity price forecasting framework,2017,2,"This paper develops a hybrid electricity price-forecasting framework to improve the accuracy of prediction. A novel clustering method is proposed that uses a modified game theoretic self-organizing map (GTSOM) and neural gas (NG) along with competitive Hebbian Learning (CHL) to provide a better vector quantization (VQ). To resolve the deficiency of the original SOM, five strategies are proposed to enable the non-winning neurons to participate in the learning phase. Using GTSOM, the price-load input data are clustered into proper number of subsets. A novel cluster-selection method is proposed to select the most appropriate subset whose time-series data is processed to provide the inputs for the neural networks. Finally, Bayesian method is used to train the networks and forecast the electricity price. Market price data from an independent system operator is used to evaluate the algorithm performance. Furthermore, a comparison of the proposed method against other state-of-the-art forecasting techniques shows a significant improvement in the accuracy of the price forecast. © 2017 IEEE.",Bayesian learning; clustering; electricity price; forecasting; game theory; neural networks; persistence method; self-organizing map,Bayesian networks; Conformal mapping; Costs; Electric utilities; Forecasting; Game theory; Neural networks; Self organizing maps; Algorithm performance; Bayesian learning; clustering; Electricity price forecasting; Electricity prices; Forecasting techniques; Independent system operators; persistence method; Power markets,5,1,1,1
