Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Document Type
"Hegazy Y., Guldmann J.-M.",Reliability pricing of electric power service: A probabilistic production cost modeling approach,1996,9.0,"We develop a pricing model for electric power service that accounts for customers' reliability preferences as well as the randomness of outages in the power-supply system. The model combines features of both reliability pricing and real-time pricing. A production cost simulation submodel is used to estimate expected total and marginal production costs on an hourly basis, as well as system reliability measured by the loss-of-load probability. These estimates are inputs to a welfare-maximization model with revenue constraints differentiated by customer class. The methodology is illustrated by a numerical application with typical power system and market data. The results show that the proposed pricing approach is significantly superior to spot and Ramsey pricing in terms of economic efficiency, energy conservation, and generation-capacity requirements. Copyright © 1996 Elsevier Science Ltd. All rights reserved.",,Computer simulation; Costs; Electric power generation; Electric rates; Electric utilities; Energy conservation; Outages; Probability; Reliability; Cost function; Electric power service; Pricing model; Probabilistic production cost modeling approach; Reliability differentiation; Electric power systems,Article
David A.K.,LOAD FORECASTING UNDER SPOT PRICING.,1988,9.0,"Time varying tarrifs such as spot pricing give rise to changes in load magnitude as well as effect a redistribution of load with respect to time. The paper proposes mathematical models, centered on the concepts, cross-time price elasticity matrix, decomposition of the price and time correlations of load, forecasting of consumer price anticipation and forecasting natural load variation. These elements are interacted against the system power production cost database for short run demand forecasting. Sophisticated approaches such as this will replace established forecasting methods wherever short run time variable tariffs are adopted.",,ELECTRIC UTILITIES - Rates; CONSUMER PRICE; DEMAND FORECASTING; NATURAL LOAD VARIATION; SHORT RUN TIME; SPOT PRICING; TIME VARYING TARIFFS; Electric power systems,Article
"Oksuz I., Ugurlu U.",Neural network based model comparison for intraday electricity price forecasting,2019,8.0,"The intraday electricity markets are continuous trade platforms for each hour of the day and have specific characteristics. These markets have shown an increasing number of transactions due to the requirement of close to delivery electricity trade. Recently, intraday electricity price market research has seen a rapid increase in a number of works for price prediction. However, most of these works focus on the features and descriptive statistics of the intraday electricity markets and overlook the comparison of different available models. In this paper, we compare a variety of methods including neural networks to predict intraday electricity market prices in Turkish intraday market. The recurrent neural networks methods outperform the classical methods. Furthermore, gated recurrent unit network architecture achieves the best results with a mean absolute error of 0.978 and a root mean square error of 1.302. Moreover, our results indicate that day-ahead market price of the corresponding hour is a key feature for intraday price forecasting and estimating spread values with day-ahead prices proves to be a more efficient method for prediction. © 2019 by the authors.",Artificial intelligence; Electricity price forecasting; Gated recurrent unit; Long short term memory; Neural networks; Turkish intraday market,Artificial intelligence; Commerce; Costs; Forecasting; Long short-term memory; Mean square error; Network architecture; Neural networks; Recurrent neural networks; Descriptive statistics; Electricity price forecasting; Electricity prices; Gated recurrent unit; Mean absolute error; Network-based modeling; Root mean square errors; Turkishs; Power markets,Article
"Goodarzi S., Perera H.N., Bunn D.",The impact of renewable energy forecast errors on imbalance volumes and electricity spot prices,2019,8.0,"This paper contributes to the general consideration of whether a policy of incentivising system operators to improve the quality and market availability of forecasts for renewable energy outputs would be beneficial. Using data from the German electricity market, we investigate the effect of wind and solar energy forecasts errors on imbalance volumes and subsequent spot electricity prices. We use ordinary least squares regression, quantile regression and autoregressive moving averages to identify these relationships using variables that have a quarter-hourly data granularity. The results show that higher wind and solar forecast errors increase the absolute values of imbalance volumes and that these can pass through into higher spot prices. We find that wind forecast errors in Germany impact spot prices more than solar forecasting errors. Policy incentives to improve the accuracy and availability of renewable energy forecasts by the system operators should therefore be encouraged. © 2019",Electricity imbalance; Electricity spot prices; Forecast errors; Renewable energy,Commerce; Costs; Errors; Solar energy; Weather forecasting; Autoregressive moving average; Electricity spot price; Forecast errors; Ordinary least squares regressions; Policy incentives; Quantile regression; Renewable energies; Spot electricity prices; Power markets; accuracy assessment; alternative energy; available water capacity; electricity industry; energy policy; error analysis; forecasting method; price dynamics; regression analysis; resource availability; Germany,Article
"Fan M., Zheng H.",The impact of factor price changes and technological progress on the energy intensity of China's industries: Kalman filter-based econometric method,2019,8.0,"This paper uses the 1981–2012 input-output tables for adopting the translog cost function to construct a Kalman filter-based econometric model to estimate the share equation of energy, non-energy, capital and labor in the 33 China's sectors and to conduct empirical research on the impact on China's energy intensity caused by input price changes and biased technological progress. The findings are that between 1981 and 2012, the level of the sectors’ energy intensity was subject to the combined impact of factor prices and biased technology progress. For some sectors, the average Allen-Uzawa elasticity of substitution (AES)for energy to capital or labor rental price was negative. For the 18 sectors, the biased technological progress was from energy savings, while one for the rest from energy consumption. In the 21 sectors, input price changes decreased the sectors’ energy intensity, while 17 of them had the sectors’ energy intensity decreased by technological progress. © 2018 Elsevier B.V.",Energy intensity; Factor price changes; Kalman filter estimation; Technological progress,econometrics; economic impact; energy efficiency; energy market; input-output analysis; Kalman filter; technological development; China,Article
"Chang Z., Zhang Y., Chen W.",Effective Adam-Optimized LSTM Neural Network for Electricity Price Forecasting,2019,8.0,"Electrical energy, considered to be a clean energy source, has made a significant contribution to humanity. To make better use of electric energy, great efforts have been paid by electricity market researchers and practitioners on electricity price forecasting. Long short-term memory (LSTM), a type of recurrent neural network, performs well in many areas, such as language modeling and speech recognition. However, the performance of applying the LSTM model to process time series and nonlinear regression problems is not so satisfactory. Stochastic gradient-based optimization has core practical importance in many scientific and engineering fields. Adam, a method for efficient stochastic optimization, has combined the advantages of two popular optimization methods: AdaGrad and RMSProp, it makes LSTM model perform even better. In this study, two examples were listed to verify the performance of the Adam-optimized LSTM neural network, and the dataset from New South Wales of Australia were adopted to illustrate the excellence of model. The results show that the proposed model can significantly improve the prediction accuracy. © 2018 IEEE.",Adam; component; Electricity price; Long short-term memory,Brain; Forecasting; Modeling languages; Optimization; Power markets; Software engineering; Speech recognition; Stochastic models; Adam; Clean energy sources; component; Electricity price forecasting; Electricity prices; Nonlinear regression problems; Practical importance; Stochastic optimizations; Long short-term memory,Conference Paper
"Hu F., Feng X., Cao H.",A short-term decision model for electricity retailers: Electricity procurement and time-of-use pricing,2018,8.0,"This paper establishes a short-term decision model, based on robust optimization, for an electricity retailer to determine the electricity procurement and electricity retail prices. The electricity procurement process includes purchasing electricity from generation companies and from the spot market. The selling prices of electricity for the customers are based on time-of-use (TOU) pricing which is widely employed in modern electricity market as a demand response program. The objective of the model is to maximize the expected profit of the retailer through optimizing the electricity procurement strategy and electricity pricing scheme. A price elasticity matrix (PEM) is adopted to model the demand response. Also, uncertainty in spot prices is modeled using a robust optimization approach, in which price bounds are considered instead of predicted values. Using a robust optimization approach, the retailer can adjust the level of robustness of its decisions through a robust control parameter. A case study is presented to illustrate the performance of the model. The simulation results demonstrate that the developed model is effective in increasing the expected profit of the retailer and flattening the load profiles of customers. © 2018 by the authors.",Demand response; Electricity procurement; Robust optimization; Spot market; Time-of-use (TOU) pricing,Commerce; Costs; Optimization; Power markets; Profitability; Robust control; Sales; Demand response; Electricity procurement; Robust optimization; Spot market; Time-of-use pricing; Electric variables measurement,Article
"Peter S.E., Raglend I.J.",Sequential wavelet-ANN with embedded ANN-PSO hybrid electricity price forecasting model for Indian energy exchange,2017,8.0,"This research paper presents a novel sequential wavelet-artificial neural network (ANN) with embedded ANN-particle swarm optimization (PSO) for short-term day-ahead forecasting of market clearing price (MCP) in the Indian energy exchange. A precise price forecasting helps suppliers to set up bidding strategies, make investment decisions and be cautious against risks. Conversely, consumers can use price forecasting to exploit appropriate power purchasing strategies for maximum utility utilization. Here the most influential historical data, namely purchase bid and MCP, are considered for training the feed-forward back-propagation neural network. The proposed model involves three sequential phases. Initially, the raw historical data are smoothened by removing the high-frequency components using a wavelet transform method which may enable better training of neural network. Then, ANN is used to train historical patterns. More number of trials is carried out, and the final weights that give the least training error are stored. In the final phase, the stored weights that are obtained from various trials are used as the initial population for the embedded ANN-PSO model. Here the performance of the proposed forecasting model is carried out using three error indices, namely mean absolute percentage error, normalized mean square error and error variance. © 2016, The Natural Computing Applications Forum.",Artificial neural networks; Mean absolute percentage error; Particle swarm optimization; Wavelet transform,Backpropagation; Costs; Errors; Forecasting; Investments; Mean square error; Neural networks; Particle swarm optimization (PSO); Wavelet transforms; Electricity price forecasting; Feed-forward back-propagation neural networks; Forecasting modeling; High frequency components; Investment decisions; Market clearing prices; Mean absolute percentage error; Normalized mean square error; Power markets,Article
"Razak I.A.W.A., Abidin I.Z., Yap K.S., Abidin A.A.Z., Rahman T.K.A., Nasir M.N.M.",A novel hybrid method of LSSVM-GA with multiple stage optimization for electricity price forecasting,2017,8.0,"Predicting price has now become an important task in the operation of electrical power system. Day-ahead prediction provides forecast prices for a day ahead that is useful for daily operation and decision-making. The main challenge for day ahead price forecasting is the accuracy and efficiency. Lower accuracy is produced due to the nature of electricity price that is highly volatile compared to load series. Hence, some researchers have developed complex procedures to produce accurate forecast while considering significant features and optimum parameters. Therefore, a multistage optimization for hybrid Least Square Support Vector Machine (LSSVM) and Genetic Algorithm (GA) model is developed in this study to provide an accurate price forecast with optimized parameters and input features. So far, no literature has been found on multistage feature and parameter selections using the methods of LSSVM-GA for day-ahead price prediction. All the models are examined on the Ontario power market; which is reported as among the most volatile market worldwide. A huge number of features are selected by two stages of optimization to avoid from missing any important features. The developed LSSVM-GA shows higher forecast accuracy with lower complexity than the existing models. © 2016 IEEE.",Accuracy; Forecasting; Genetic algorithms; Optimization; Support vector machines,Commerce; Costs; Electric power systems; Forecasting; Genetic algorithms; Optimization; Support vector machines; Accuracy; Electrical power system; Electricity price forecasting; Electricity prices; Least square support vector machines; Multi-stage optimization; Optimized parameter; Parameter selection; Power markets,Conference Paper
"Domanski P.D., Gintrowski M.",Alternative approaches to the prediction of electricity prices,2017,8.0,"Purpose: This paper aims to present the results of the comparison between different approaches to the prediction of electricity prices. It is well-known that the properties of the data generation process may prefer some modeling methods over the others. The data having an origin in social or market processes are characterized by unexpectedly wide realization space resulting in the existence of the long tails in the probabilistic density function. These data may not be easy in time series prediction using standard approaches based on the normal distribution assumptions. The electricity prices on the deregulated market fall into this category. Design/methodology/approach: The paper presents alternative approaches, i.e. memory-based prediction and fractal approach compared with established nonlinear method of neural networks. The appropriate interpretation of results is supported with the statistical data analysis and data conditioning. These algorithms have been applied to the problem of the energy price prediction on the deregulated electricity market with data from Polish and Austrian energy stock exchanges. Findings: The first outcome of the analysis is that there are several situations in the task of time series prediction, when standard modeling approach based on the assumption that each change is independent of the last following random Gaussian bell pattern may not be a true. In this paper, such a case was considered: price data from energy markets. Electricity prices data are biased by the human nature. It is shown that more relevant for data properties was Cauchy probabilistic distribution. Results have shown that alternative approaches may be used and prediction for both data memory-based approach resulted in the best performance. Research limitations/implications: “Personalization” of the model is crucial aspect in the whole methodology. All available knowledge should be used on the forecasted phenomenon and incorporate it into the model. In case of the memory-based modeling, it is a specific design of the history searching routine that uses the understanding of the process features. Importance should shift toward methodology structure design and algorithm customization and then to parameter estimation. Such modeling approach may be more descriptive for the user enabling understanding of the process and further iterative improvement in a continuous striving for perfection. Practical implications: Memory-based modeling can be practically applied. These models have large potential that is worth to be exploited. One disadvantage of this modeling approach is large calculation effort connected with a need of constant evaluation of large data sets. It was shown that a graphics processing unit (GPU) approach through parallel calculation on the graphical cards can improve it dramatically. Social implications: The modeling of the electricity prices has big impact of the daily operation of the electricity traders and distributors. From one side, appropriate modeling can improve performance mitigating risks associated with the process. Thus, the end users should receive higher quality of services ultimately with lower prices and minimized risk of the energy loss incidents. Originality/value: The use of the alternative approaches, such as memory-based reasoning or fractals, is very rare in the field of the electricity price forecasting. Thus, it gives a new impact for further research enabling development of better solutions incorporating all available process knowledge and customized hybrid algorithms. © 2017, © Emerald Publishing Limited.",Artificial intelligence; Econometric; Energy sector; Forecasting; Modelling; Neural networks; Pricing; Time series analysis,Artificial intelligence; Commerce; Computer graphics; Computer graphics equipment; Deregulation; Electronic trading; Energy dissipation; Forecasting; Fractals; Graphics processing unit; Iterative methods; Models; Neural networks; Normal distribution; Power markets; Probability distributions; Program processors; Time series analysis; Deregulated electricity market; Design/methodology/approach; Econometric; Electricity price forecasting; Energy sector; Probabilistic density function; Probabilistic distribution; Statistical data analysis; Costs,Article
"Nargale K.K., Patil S.B.",Day ahead price forecasting in deregulated electricity market using Artificial Neural Network,2016,8.0,"Now a days the price forecasting plays a very essential role in a new electricity industry; it helps the independent generators to set up optimal bidding patterns and also for designing the physical bilateral contracts. In general, different market players need to know future electricity prices as their profitability depends on them. There are many papers have been presented on the forecasting of electricity market price such methods are based on time series, artificial intelligence and hybrid methods. In this paper, the price forecasting is presented by using feed forward artificial neural network by using historical price data. Accurately and efficiently forecasting of electricity price is more important. Therefore in this paper, an Artificial Neural Network (ANN) model is designed for short term price forecasting of electricity in the environment of restructured power market. The proposed ANN model is a four-layered neural network, which consists of, input layer, two hidden layers and output layer. Matlab is used for training the proposed ANN model. Electricity load and wind forecasting can also be done using this method which helps in planning and operation of the power system. © 2016 IEEE.",Artificial Neural Network (ANN); Electricity Market; Price Forecasting,Artificial intelligence; Commerce; Costs; Deregulation; Electric industry; Electric power system planning; Energy efficiency; Forecasting; Network layers; Neural networks; Sustainable development; Weather forecasting; Artificial neural network models; Deregulated electricity market; Electricity industry; Feed-forward artificial neural networks; Layered neural network; Price forecasting; Restructured power markets; Short-term price forecasting; Power markets,Conference Paper
"Shenoy S., Gorinevsky D.",Data-Driven Stochastic Pricing and Application to Electricity Market,2016,8.0,"This paper develops a novel approach to computation of the probability integrals encountered in derivative pricing using stochastic models estimated from historical data. First, nonparametric probability distribution models are built directly from the data as a solution of a convex optimization problem scalable to very big datasets. Second, these models are used for numerical calculus of probability integrals, where the quadrature includes long tails of the probability distributions. The application example is the procurement contract in the day-ahead bulk market for electricity. The data for PJM utility loads and prices in the day-ahead and spot markets were used to estimate the risk and to price the contract. The data-driven forward contract pricing allows to optimize the contract cost and reduce it by 2% compared to the baseline; this corresponds to about 0.6B/year in potential utility savings. © 2016 IEEE.",Economic forecasting; financial management; power engineering; power generation dispatch; power system analysis computing; power system economics; probability density function; risk analysis,Big data; Calculations; Commerce; Convex optimization; Costs; Electric load dispatching; Power markets; Probability density function; Risk analysis; Risk assessment; Risk perception; Stochastic models; Stochastic systems; Economic forecasting; Financial managements; Power engineering; Power generation dispatch; Power system analysis computing; Power system economics; Probability distributions,Article
"Bessec M., Fouquau J., Meritet S.",Forecasting electricity spot prices using time-series models with a double temporal segmentation,2016,8.0,"The French wholesale market is set to expand in the next few years under European pressure and national decisions. In this article, we assess the forecasting ability of several classes of time-series models for electricity wholesale spot prices at a day-ahead horizon in France. Electricity spot prices display a strong seasonal pattern, particularly in France, given the high share of electric heating in housing during winter time. To deal with this pattern, we implement a double temporal segmentation of the data. For each trading period and season, we use a large number of specifications based on market fundamentals: linear regressions, Markov-switching (MS) models and threshold models with a smooth transition. An extensive evaluation on French data shows that modelling each season independently leads to better results. Among nonlinear models, MS models designed to capture the sudden and fast-reverting spikes in the price dynamics yield more accurate forecasts. Finally, pooling forecasts give more reliable results. © 2015 Taylor & Francis.",combinations; electricity spot prices; Forecasting; regime-switching; seasonality,electricity supply; energy market; forecasting method; Markov chain; modeling; price dynamics; seasonality; time series; France,Article
"Chinnathambi R.A., Ranganathan P.",Investigation of forecasting methods for the hourly spot price of the day-ahead electric power markets,2016,8.0,"Forecasting hourly spot prices for real-time electricity usage is a challenging task. This paper investigates a series of forecasting methods to 90 and 180 days of load data collection acquired from the Iberian Electricity Market (MIBEL). This dataset was used to train and test multiple forecast models. The Mean Absolute Percentage Error (MAPE) for the proposed Hybrid combination of Auto Regressive Integrated Moving Average (ARIMA) and Generalized Linear Model (GLM) was compared against ARIMA, GLM, Random forest (RF) and Support Vector Machines (SVM) methods. The results indicate significant improvement in MAPE and correlation co-efficient values for the proposed hybrid ARIMA-GLM method. © 2016 IEEE.",ARIMA-GLM; Day -ahead Price; Electricity Price Forecasting; Generalized Linear Model; Hybrid model; Iberian Market; Random Forest; Support Vector Machine,Big data; Commerce; Costs; Decision trees; Forecasting; Statistical tests; Support vector machines; ARIMA-GLM; Day-ahead prices; Electricity price forecasting; Generalized linear model; Hybrid model; Iberian market; Random forests; Power markets,Conference Paper
"Pany P.K., Ghoshal S.P.",Dynamic electricity price forecasting using local linear wavelet neural network,2015,8.0,"Price forecasting has become one of the main focuses of electric power market research efforts as price is the key index to evaluate the market competition efficiency and reflects the operation condition of electricity market decision making. The work presented in this paper makes use of local linear wavelet neural networks to find the market clearing price for a given period, which is based on similar days approach. The results obtained through simulation are compared to other evolutionary optimization techniques surfaced in the recent state-of-the-art literature, including wavelet neural network model. The results presented in this paper demonstrate the potential of the proposed approach and show its effectiveness for electricity price forecasting. © 2015, The Natural Computing Applications Forum.",Electricity price; Forecast; Gradient descent algorithm; Local linear wavelet neural network; Market clearing  price; Wavelet neural network (WNN); Weekly mean absolute percentage error (WMAPE),Commerce; Competition; Decision making; Electric load forecasting; Forecasting; Optimization; Power markets; Power transformers; Electricity prices; Gradient descent algorithms; Market Clearing Price; Mean absolute percentage error; Wavelet neural networks; Costs,Article
"Fragkioudaki A., Marinakis A., Cherkaoui R.",Forecasting price spikes in European day-ahead electricity markets using decision trees,2015,8.0,"Although the techniques for normal price prediction are well advanced, price spike prediction remains a challenge. The aim of this paper is to present a method to predict both normal day-ahead electricity prices as well as day-ahead price spikes using classification and regression trees. The models are build using historical data of European electricity market and transmission system variables. The proposed method is tested on several bidding zones of Europe. © 2015 IEEE.",Day-ahead electricity markets; decision trees; feature selection; price forecasting; price spikes,Commerce; Costs; Decision trees; Feature extraction; Forecasting; Forestry; Classification and regression tree; Day-ahead electricity market; Day-ahead prices; Electricity prices; Price forecasting; Price prediction; Price spike; Transmission systems; Power markets,Conference Paper
"Safari M.I.K.M., Dahlan N.Y., Razali N.S., Rahman T.K.A.",Electricity prices forecasting using ANN Hybrid with Invasive Weed Optimization (IWO),2013,8.0,"Electricity prices forecasting is an important tool for power generating company to make investment decision, engage with long-term contracts, bidding in short-term market and other strategic actions. It is also a useful tool for electricity consumers to manage their demand consumption. In this paper an Artificial Neural Network (ANN) Hybrid with Invasive Weed Optimization (IWO) is introduced to forecast the electricity prices in the environment of restructured power market such as Australian Market. The ANN model uses the conventional back propagation technique, but the number of neuron nodes, learning rate and momentum constant are optimally determined using the IWO technique. Result shows that the ANN-IWO technique gives a better performance in term of forecasting error than the ANN technique alone. © 2013 IEEE.",Artificial Neural Network (ANN); Electricity Market Price (EMP); Invasive Weed Optimization (IWO); Learning Rate (LR); Momentum Constant (MC); Number Neuron (NM),Electricity market; Invasive weed optimization; Learning rates; Momentum constant; Number Neuron (NM); Commerce; Electricity; Forecasting; Investments; Learning algorithms; Neural networks; Optimization; Systems engineering; Tools; Costs,Conference Paper
"Aleixo L., Rosin A., Sæle H., Morch A.Z., Grande O.S., Sintef I.P.",Ecogrid EU project - Real time price based load control and economic benefits in a wind production based system,2013,8.0,"The concept of Demand Response (DR) has been growing strongly in the last few years. Many projects have been deployed as well in an attempt to push customers and loads to participate more in the power system. One of the most ambitious projects in that area is the EU FP7 project named EcoGrid EU. In this project, it is attempted to use close to real time market prices in order to provide additional balancing resources from flexible consumption. This paper presents the work developed in that project regarding price elasticity and availability of process loads with internal relations and saturation restrictions. An industrial compressed air system, equipped with a compressed air storage unit and an electrical water heater are used as examples of flexible loads. The paper discusses how the volatility in the real time price and the quality of the price forecast consequently affects the energy costs and efficiency of this group of flexible consumer loads. Simulation results, which show the benefits of such system and possible threats to those benefits, are presented.",,Compressed air storage; Compressed air system; Demand response; Economic benefits; Electrical water heater; Price elasticity; Price forecasts; Real-time market; Compressed air; Elasticity; Electric power distribution; Electric utilities; Exhibitions; Costs,Conference Paper
"Sahay K.B., Tripathi M.M.",Day ahead hourly load and price forecast in ISO New England market using ANN,2013,8.0,"In restructured daily power markets, forecasting electricity price and load are most essential tasks and basis for any decision making. Short-term load forecasting is an essential instrument in power system planning, operation, and control. Also, the accurate day ahead electricity price forecasting provides crucial information for power producers and consumers to develop accurate bidding strategies in order to maximize their profit. In this paper artificial intelligence (AI) has been applied in short-term load and price forecasting that is, the day-ahead hourly forecast of the electricity market parameters (load and price) over a week. Neural network fitting tool of MATLAB Software has been used to compute the forecasted load and price in ISO New England market. The data used in the forecasting are hourly historical data of the temperature, electricity load and natural gas price of ISO New England market. The ANN was trained on hourly data from the 2007 to 2011 and tested on out-of-sample data from 2012. The simulation results have shown highly accurate day-ahead forecasts with very small error in load and price forecasting. © 2013 IEEE.",Day ahead electricity price forecast; locational marginal price (LMP); mean absolute percentage error; neural network; power system; short-term load forecasting,,Conference Paper
"Mandal P., Haque A.U., Meng J., Martinez R., Srivastava A.K.",A hybrid intelligent algorithm for short-term energy price forecasting in the Ontario market,2012,8.0,"Price forecasting is a crucial information for market participants in an electricity market. However, the electricity price is a complex signal due to its nonlinearity, stochasticity, and time dependent behavior. This paper presents a novel hybrid intelligent algorithm that uses the combination of a data filtering technique based on the wavelet transform (WT), an optimization technique based on firefly (FF) algorithm, and a soft computing model based on fuzzy ARTMAP (FA) network. The innovative contribution of this paper is an application of the FF algorithm to optimize FA network that utilizes the historical ill-behaved energy price time-series through the WT. Good forecast performance and adaptability of the proposed hybrid WTFFFA m o d e l to changes in the data is illustrated using the Ontario market power system data. The test results demonstrates that the proposed hybrid technique is able to improve the day-ahead price forecasting performance significantly when compared with other conventional soft computing models available in literature. © 2012 IEEE.",Electricity market; firefly algorithm; fuzzy ARTMAP; short-term price forecasting; wavelet transform,Complex signal; Data filtering; Day-ahead prices; Electricity market; Electricity prices; Energy prices; Firefly algorithms; Fuzzy ARTMAP; Hybrid intelligent algorithms; Hybrid techniques; Market participants; Market Power; Ontario; Optimization techniques; Price forecasting; Short-term price forecasting; Soft computing models; Stochasticity; Time dependent behavior; Algorithms; Bioluminescence; Commerce; Electric industry; Forecasting; Optimization; Soft computing; Wavelet transforms; Costs,Conference Paper
"Gomez-Quiles C., Gil H.A.",Price and resource-related uncertainty in the estimation of the revenue of a wind farm,2011,8.0,The revenue that wind farms produce is subject to the inherent uncertainty of the wind resource in the short-run and the long-term. This revenue is subject to an additional price-related uncertainty in jurisdictions where the output of the wind farms is paid at the prices cleared at the local electricity market. An econometric model is developed to estimate the risks of using limited information in the estimation of the annual revenue of a wind farm. Sensitivities that measure the influence of each uncertainty factor in the overall risks are also developed. An application example is shown by which investors or policy-makers may determine how typical wind farm capital costs may influence financial project feasibility under a predetermined risk. © 2006 IEEE.,Electricity markets; revenue; risk; wind farms,Annual revenue; Application examples; Capital costs; Econometric model; Electricity market; Limited information; Policy makers; Project feasibility; revenue; Uncertainty factors; Wind farm; wind farms; Wind resources; Costs; Electric utilities; Estimation; Farms; Risk perception; Wind power; Commerce,Article
"Shrestha G.B., Qiao S.",Statistical characterization of electricity price in competitive power markets,2010,8.0,"Forecasting of electricity price in the competitive power market has become very important for the market participants in order to support their planning and operations activities. In addition to the change in prices caused by the demand levels (reflected in normal interaction between supply and demand), numerous other factors affect the electricity price including the sudden surges in prices which are frequently caused by unexpected outages. This paper attempts to represent the price at any one period as a random variable which may be treated statistically. Historical price data from Singapore market (USEP) are used to study the behavior of the market price in order to identify the possible statistical distributions and then hypothesis tests are formulated and carried out to determine the theoretical distributions which are best supported by the historical data. It is shown that the raw price data may not be directly amenable to statistical representation. However, suitable processing of the data such as filtering out the extreme values or suitable regrouping of the data may be carried out to bring out the underlying statistical characteristics of the price behavior. It is shown that the market price behavior may support more than one theoretical distribution although the log normal distribution was found to fit the historical data best. ©2010 IEEE.","Competitive electricity market; Electricity price; Hypothesis testing; Statistical distributions - normal, log-normal, and weibull distributions",Competitive electricity markets; Competitive power markets; Electricity price; Electricity prices; Extreme value; Historical data; Hypothesis testing; Hypothesis tests; Log-normal distribution; Market participants; Market price; Singapore; Statistical characteristics; Statistical characterization; Statistical distribution; Statistical representations; Supply and demand; Commerce; Data processing; Electric industry; Electric load forecasting; Electricity; Normal distribution; Random variables; Statistical tests; Statistics; Weibull distribution; Costs,Conference Paper
"Grine S., Diko P.",Multi-layer model of correlated energy prices,2010,8.0,"In this article we develop an extension of the affine jump-diffusion modeling framework and use it to build an intuitive and tractable model of an energy price complex. The development is motivated by the need to model prices of electricity while capturing their dependence on the price of other energy commodities. Such a model is essential for valuing a range of typical derivatives traded in the electricity markets: cross-commodity spread options, cross-location spread options, fuel-switching powerplants, etc. We give an approximate pricing method for these derivatives together with precise error bound estimates. © 2009 Elsevier B.V. All rights reserved.",Affine jump-diffusion; Correlation; Electricity markets,Electricity market; Energy commodity; Energy prices; Error bound estimate; Jump-diffusion; Model price; Multilayer models; Pricing methods; Spread option; Commerce; Diffusion; Costs,Article
"Tang Q., Gu D.",Day-ahead electricity prices forecasting using artificial neural networks,2009,8.0,"This paper presents specifically how artificial neural network (ANN) is applied to forecast day-ahead electricity price in the deregulated electricity market. Market clearing price (MCP) forecasting has been more and more significant in new restructured market because both generating companies and consumers rely on it to prepare their bidding strategies and expect to maximize respective benefits with low risks. But the prediction of MCP is complex because various uncertainties interact in an intricate way. Hence, ANN is proposed to solve high complicated nonlinear problems like MCP forecasting due to its powerful capability of learning mechanism if enough data for training. The paper focuses on influences brought by different input architectures with different training methods and proposes a basic optimal ANN architecture for day-ahead MCP forecasting. © 2009 IEEE.",Artificial neural network; Forecasting; Market clearing price,Artificial neural network; Bidding strategy; Deregulated electricity market; Electricity prices; Electricity prices forecasting; Generating companies; Learning mechanism; Market Clearing Price; Market clearing prices; Nonlinear problems; Training methods; Commerce; Costs; Deregulation; Electric load forecasting; Image storage tubes; Linearization; Neural networks,Conference Paper
"Azadeh A., Ghadrei S.F., Nokhandan B.P.",One day-ahead price forecasting for electricity market of iran using combined time series and neural network model,2009,8.0,"Price forecasts provide crucial information for generators. They plan bidding strategies for maximizing their own profits in the competitive electricity markets. Hence, generation companies (GENCOs) need precise price forecasting tools. This paper provides one highly accurate yet efficient tool for short term price forecasting based on combination of time series and artificial neural network methods (ANNs). First, input variables needed for neural network are determined by time series. This model relates the current price to the values of past prices. Second, neural network is used for one day a head price forecasting. Designed ANN based on feed-forward back propagation was trained and tested using year 2005 data from the electricity market of Iran. The results are tested with the extensive data sets, and good agreement is found between actual data and NN results. Results show that the proposed model forecasts prices with high accuracy for short term periods. © 2009 IEEE.",Competitive market; Neural network; Short term price forecasting; Time series analysis,Artificial Neural Network; Bidding strategy; Competitive electricity markets; Competitive market; Data sets; Day-ahead prices; Electricity market; Feed-forward back propagation; Generation companies; Input variables; Neural network model; Price forecasting; Price forecasts; Short term; Short term price forecasting; Backpropagation; Commerce; Costs; Electric load forecasting; Neural networks; Time series; Time series analysis,Conference Paper
"Zarezadeh M., Naghavi A., Ghaderi S.F.",Electricity price forecasting in Iranian electricity market applying Artificial Neural Networks,2008,8.0,"Nowadays in deregulated electricity markets, forecasting becomes more and more important. Accurate estimating price is the most essential task and the basis for any decision making and developing biding strategies. In this paper Artificial Neural Network (ANN) is applied to forecast electricity price. ANNs have been used successfully in many forecasting applications recently. Historical data of weighted average prices in electricity market that cleared with pay as bid settlement rule and also forecasted electricity demand are used to train neural networks (NN) model. The data for historical electricity prices are considered by two criterion of temperature and load in order to improve training. Data are categorized in to two seasonal parts of warm and cold days and also they are categorized by three loads level of low, normal and peak. To support better accuracy of estimating prices six different NN architectures are modeled for combination of the criterions, the NN also selected electricity prices of similar days in previous year. In the end, the results of forecasting prices of ANNs are compared with the results obtained from regression model. There is confirmed that, AANs have better performance comparing to traditional method in forecasting electricity prices. © 2008 IEEE.",Electricity markets; Electricity price; Forecast; Historical data; Neural network (NN); Regression model,Backpropagation; Costs; Deregulation; Electric power supplies to apparatus; Electricity; Marketing; Neural networks; Regression analysis; Electricity markets; Electricity price; Forecast; Historical data; Neural network (NN); Regression model; Electric load forecasting,Conference Paper
