Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mastroeni L., Vellucci P., Naldi M.",A reappraisal of the chaotic paradigm for energy commodity prices,2019,5.0,"Energy commodity prices have been examined over the last 20 years to detect the presence of chaos as an alternative to stochastic models, with contrasting results. In this paper, we wish to reassess the chaotic paradigm in the light of two new pieces of information with respect to the literature: the appearance of noise-aware estimation methods for the correlation entropy and the availability of longer time series. Our analysis shows that the literature has heavily underestimated the presence of noise, and that chaotic characteristics coexist with stochastic ones in the time series of prices. Through the recurrence quantification analysis, we have also observed the presence of intermittency, where periods of regular behaviour are replaced by periods of chaotic behaviour, which could explain the emergence of bubbles. © 2018 Elsevier B.V.",Chaos; Crude oil; Energy commodities; Entropy; Futures; Heating oil; Natural gas,Chaos theory; Costs; Crude oil; Entropy; Natural gas; Stochastic models; Stochastic systems; Time series; Time series analysis; Chaotic behaviour; Chaotic characteristics; Energy commodity; Estimation methods; Futures; Heating oil; Intermittency; Recurrence quantification analysis; Financial markets; commodity price; crude oil; energy market; entropy; estimation method; future prospect; natural gas; stochasticity; time series analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapio A.,"Greener, more integrated, and less volatile? A quantile regression analysis of Italian wholesale electricity prices",2019,5.0,"This paper provides estimates of quantile regression models of the relationship between Italian day-ahead electricity prices, the supply of renewables and the inception of a new cable (SAPEI, linking Sardinia with the Italian peninsula), in the 2006–2015 time window. The results confirm the merit order effects detected in the existing literature, both for photovoltaics and wind power, more strongly in market conditions characterised by moderately low price levels and with some implied increase in volatility. The new cable has apparently challenged the ability of power generating companies to extract value through price spikes, has mitigated volatility, and its effects have been complementary with those of renewables. Effects from photovoltaics are more sensitive to robustness checks. Differences across zonal markets are nonetheless detected. © 2018 Elsevier Ltd",C34; Electricity prices; L94; Market integration; Merit order effect; Q41; Quantile regression; Renewables; Volatility,Cables; Commerce; Costs; Photovoltaic effects; Wind power; Electricity prices; Market integration; Ordering effects; Quantile regression; Renewables; Volatility; Regression analysis; alternative energy; electricity industry; energy market; green economy; photovoltaic system; power generation; price dynamics; regression analysis; Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ng W.W.Y., Zhang J., Lai C.S., Pedrycz W., Lai L.L., Wang X.",Cost-sensitive weighting and imbalance-reversed bagging for streaming imbalanced and concept drifting in electricity pricing classification,2019,5.0,"In data streaming environments such as a smart grid, it is impossible to restrict each data chunk to have the same number of samples in each class. Hence, in addition to the concept drift, classification problems in streaming data environments are inherently imbalanced. However, streaming imbalanced and concept drifting problems in the power system and smart grid have rarely been studied. Incremental learning aims to learn the correct classification for the future unseen samples from the given streaming data. In this paper, we propose a new incremental ensemble learning method to handle both concept drift and class imbalance issues. The class imbalance issue is tackled by an imbalance-reversed bagging method that improves the true positive rate while maintains a low false positive rate. The adaptation to concept drift is achieved by a dynamic cost-sensitive weighting scheme for component classifiers according to their classification performances and stochastic sensitivities. The proposed method is applied to a case study for the electricity pricing in Australia to predict whether the price of New South Wales will be higher or lower than that of Victorias in a 24-h period. Experimental results show the effectiveness of the proposed algorithm with statistical significance in comparison to the state-of-the-art incremental learning methods. © 2018 IEEE.",Electricity pricing; imbalanced classification; incremental Learning,Costs; Electric power transmission networks; Electric utilities; Learning systems; Personnel training; Power markets; Bagging; Electricity pricing; Imbalanced classification; Incremental learning; Sensitivity; Smart grid; Smart power grids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quint D., Dahlke S.",The impact of wind generation on wholesale electricity market prices in the midcontinent independent system operator energy market: An empirical investigation,2019,5.0,"The Midcontinent Independent System Operator (MISO) is the second largest organized competitive wholesale electricity market in the U.S. Wholesale electricity prices in MISO have decreased over the past several years, as both natural gas prices have fallen, and large amounts of wind generation capacity have been added. Using an empirical econometric approach studying historical hourly real-time electricity prices, load, natural gas prices, and other MISO market data, a series of econometric models are estimated using historical data from 2008 to 2016, to identify the impact of increased wind generation on wholesale electricity prices in MISO. This is the first such empiric study for MISO, the largest wholesale electricity market by geography in the world. Furthermore, this is the first empiric study estimating impacts of wind generation on electricity price that utilizes a comprehensive set of predictor variables to control for many sources of potential bias. The results show a statistically significant impact of wind generation on real-time hourly MISO system prices, ranging from an estimated decrease of $0.14 to $0.34 per mega-watt hour, for each 100 mega-watt hours of additional wind generation. It is observed that the estimated marginal impacts of additional wind generation have declined over time. This is likely attributable to the long-term shifts in the supply and demand dynamics experienced in the MISO energy market, as well as to changes made to the MISO market structure to better accommodate variable generation. © 2018 Elsevier Ltd",Electricity markets; Electricity prices; Energy economics; Wind energy,Commerce; Costs; Electric industry; Electric utilities; Natural gas; Power markets; Wind power; Electricity prices; Empirical investigation; Energy economics; Independent system operators; Real-time electricity prices; Variable generations; Wholesale electricity; Wholesale electricity markets; Electric power generation; econometrics; electricity; empirical analysis; energy market; historical record; natural gas; power generation; price dynamics; resource economy; wind power; United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aminu N., Meenagh D., Minford P.",The role of energy prices in the Great Recession — A two-sector model with unfiltered data,2018,5.0,"We investigate the role of energy shocks during the Great Recession. We study the behaviour of the UK energy and non-energy intensive sectors firms in a real business cycle (RBC) model using unfiltered data. The model is econometrically estimated and tested by indirect inference. Output contraction during the Great Recession was largely caused by energy price and sector-specific productivity shocks, all of which are non-stationary and hence tend to dominate the sample variance decomposition. We also found that the channel by which the energy price shock reduces output in the model is via the terms of trade: these fall permanently when world energy prices increase and as substitutes for energy inputs are strictly limited there are few reactions via production channels. Therefore, there is no other way to balance the deteriorating current account than through lower domestic absorption. © 2018",Energy price shock; Great Recession; Output; Productivity shock; RBC; Unfiltered data,Productivity; Energy price shocks; Great Recession; Indirect inference; Output; Production channels; Specific productivity; Terms of trades; Unfiltered data; Costs; business cycle; data set; econometrics; energy market; price determination; productivity; United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bustos-Salvagno J., Fuentes F.H.",Electricity interconnection in Chile: Prices versus costs,2017,5.0,"Having a well-adapted transmission network is key for reaching a sustainable energy system, where generators and consumers participate in an efficient market. The purpose of the present research is to estimate the impact on the final prices of the interconnection of the two largest electrical systems in Chile. To this end, an econometric model is used in which prices, among other variables, are explained by the level of marginal costs in the system (opportunity cost), the degree of concentration in the market (market power), and the variability of marginal costs projected by the agents (risk). The data corresponds to bilateral contracts between generators and major clients, from 2006 to 2014. The basic results indicate that the interconnection would benefit final customers by reducing equilibrium contract prices, as a result of the decreased variability of expected marginal costs and a lower concentration of existing generating companies. This study's main contribution is to focus on the benefits of electricity interconnection under conditions of competition and risk, instead of using the simple estimation of direct costs, as has traditionally been done. © 2017 by the authors.",Chile; Contracts; Electricity; Energy policy; Market power; Risk; Transmission,Commerce; Contracts; Costs; Electricity; Energy policy; Risk perception; Risks; Transmissions; Bilateral contracts; Chile; Econometric model; Electrical systems; Electricity interconnections; Generating companies; Market Power; Sustainable energy systems; Electric power system interconnection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pereira J.P., Pesquita V., Rodrigues P.M.M.",The effect of hydro and wind generation on the mean and volatility of electricity prices in Spain,2017,5.0,"Many electricity markets are experiencing profound changes due to the large-scale deployment of renewable energy. This paper analyzes the effect of wind and hydro power on wholesale electricity prices. We focus on the Spanish market due to the high penetration of wind and hydro, and also the availability of data on water stored in Spanish dams. We estimate the impact of wind generation and hydro availability on the electricity price level and volatility through an ARX-GARCHX model. The results show that these two different renewables have different impacts on electricity prices: intermittent wind generation increases the price volatility, while dispatchable hydro reduces it. The results are consistent with hydropower plants behaving strategically and, given their zero marginal cost, dampening the otherwise higher price increases due to wind intermittency. Therefore, hydropower complements other intermittent renewables, not only operationally, but also economically. © 2017 IEEE.",,Commerce; Hydroelectric power; Hydroelectric power plants; Power markets; Electricity prices; Hydropower plants; Intermittent renewables; Large-scale deployment; Price volatility; Renewable energies; Wholesale electricity; Wind generation; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Narayan S., Narayan P.K.",Estimating the speed of adjustment to target levels: The case of energy prices,2017,5.0,"In this paper, we propose a model that estimates the speed of energy price adjustment to its target level. We also explain the source of price adjustment. Moreover, we extract energy price bubbles and show that bubbles help explain price adjustment. Since ours is the first paper that develops an energy price adjustment model and links it to bubbles, several avenues for future research have emerged from our analysis. The first is to provide a theoretical framework for the bubbles and price adjustment mechanism. The second direction of research will be to continue the search for other potential determinants of price adjustment. © 2016 Elsevier B.V.",Bubbles; Energy prices; Price adjustment,Bubbles (in fluids); Economics; Energy resources; Energy prices; nocv1; Price adjustment; Target levels; Theoretical framework; Costs; energy market; estimation method; price determination; price dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ghosh D., Dutta S., Chakraborty S.",Multifractal behavior of Electricity Bid Price in Indian Energy Market,2016,5.0,"Abstract The bid price of power generation in a country is of extreme importance due to its obvious impact on the industry although it is difficult to explore correlation among cost of a product in any industry with fluctuations of biding price of power. This is due to the fact that the fluctuations are nonlinear and extremely complex. Recent years have witnessed the study of this type of complex systems with powerful tool involving fractal methodology. This paper reports for the first time in Indian scenario a study on the fluctuation pattern of biding price of power in five different bid areas of India with a robust and rigorous technique based on chaos and fractal behavior. The exhaustive study reveals very interesting patterns of the fluctuation process, namely in all domains, the fluctuations are multifractal in time and degree of multifractality is quite different in different zones. The data is completely new and has serious implications on product cost of industry and ultimately on stock price indices. The paper includes possible future applications including predictability of next day price. © 2015 Published by Elsevier Ltd.",Electricity biding prices; Electricity consumption; Multifractals; Time series analysis,Financial markets; Fractals; Power markets; Time series analysis; Chaos and fractal; Electricity-consumption; Energy markets; Indian scenarios; Multifractal behavior; Multifractality; Multifractals; Possible futures; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fanzeres B., Street A., Barroso L.A.",Contracting strategies for generation companies with ambiguity aversion on spot price distribution,2014,5.0,"Energy spot price is characterized by its high volatility and difficult prediction, representing a major risk for energy companies, especially those that rely on renewable generation. The typical approach employed by such companies to address their mid- and long-term optimal contracting strategy is to simulate a large set of paths for the uncertainty factors to characterize the probability distribution of the future income and, then, optimize the company portfolio to maximize its certainty equivalent. In practice, however, spot price modeling and simulation is a big challenge for agents due to its high dependence on parameters that are difficult to predict, e.g., GDP growth, demand variation, entrance of new market players, regulatory changes, just to name a few. Under this framework, decisions are made under ambiguity, which happens whenever the decision maker is aware that a given set of scenarios and probabilities represent only an approximation of the true underlying distribution. In this work, robust optimization is used to account for ambiguity aversion in the optimal contracting strategy of renewable generation companies. A case study with data from the Brazilian system is shown to illustrate the applicability of the proposed methodology. © 2014 Power Systems Computation Conference.",Ambiguity Aversion; Conditional Value-at-Risk; Forward and Capacity Contracts; Hybrid Robust and Stochastic Optimization; Power System Economics; Price-Quantity Risk; Renewable Generation,Costs; Decision making; Economics; Optimization; Value engineering; Ambiguity aversion; Conditional Value-at-Risk; Power system economics; Renewable generation; Stochastic optimizations; Probability distributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thatte A.A., Choi D.-H., Xie L.",Analysis of locational marginal prices in look-ahead economic dispatch,2014,5.0,"This paper studies the impact of introducing look-ahead dispatch on locational marginal prices in real-time electricity markets. Due to the high forecast error and inter-temporal variability of renewable resources (e.g., wind and solar), many system operators are in the process of upgrading their market clearing engine from static economic dispatch-based ones to dynamic look-ahead economic dispatch-based ones. Compared with conventional static dispatch that calculates the optimal dispatch for the current operating interval, look-ahead dispatch calculates the optimal dispatch solution over multiple future time intervals. Look-ahead dispatch can obtain cost saving by pre-ramping some of the dispatched generators so that the system can more economically match forecast changes in net load (i.e., system load - renewable power output). In addition to the cost saving benefit, system operators in RTOs claim that look-ahead dispatch results in lower price volatility than static dispatch. In this paper, we attempt to demystify this industry claim and provide counterexamples to this claim. Specifically, we investigate the relationship between price volatility and some key factors such as system-wide ramping capability, the number of time intervals in look-ahead dispatch horizon, load pattern and forecast uncertainty. The simulation results are illustrated with numerical examples in the IEEE 14-bus system. © 2014 Power Systems Computation Conference.",Electricity market; locational marginal price; look-ahead economic dispatch,Commerce; Costs; Forecasting; Power markets; Scheduling; Economic Dispatch; Electricity market; Forecast uncertainty; Locational marginal prices; Market clearing engines; Price volatility; Renewable resource; Temporal variability; Electric load forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pospiech M., Felden C.",Towards a price forecast model for the German electricity market based on structured and unstructured data,2014,5.0,"As in many power markets, electricity is traded in exchanges or Over-the-counter. Market participants require an accurate price forecast to maximum their profits. Hereby, important events have to be considered instantly since the information value falls quickly. Real time information can be extracted from unstructured news tickers. Nevertheless, current forecast systems utilize exclusively structured attributes such as historical price, coal or gas and neglecting published messages. As an initial step, the paper will investigates if a forecast is possible through text data and if the overall forecast accuracy increases. To address the issue, a price trend classification is executed based on data and text mining techniques. The results are interesting. Unstructured text data enables an adequate forecast. Although, the combination of both data types can exceed the individual models itself. Thus, the paper discusses a less addressed research topic and illustrates a valuable extension for existing forecasting systems.",,Commerce; Costs; Data mining; Power markets; Text processing; Forecasting system; Individual models; Information value; Market participants; Over the counters; Real-time information; Text mining techniques; Unstructured texts; Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafiq S.,What Do Energy Prices Tell Us About UK Inflation?,2014,5.0,"We investigate the effect of oil price shocks on UK inflation using a time-varying vector autoregression with stochastic volatility. The estimates show that the oil price-inflation pass-through declined from the early 1980s until the mid/late 1990s. Post-2003, however, the importance of oil price shocks for UK inflation rose significantly. The rise in the pass-through coincided with a significant increase in the size of oil price shocks. This paper shows that allowing for time variation in the stochastic volatilities better captures time variation between oil prices and UK inflation. © 2014 The London School of Economics and Political Science.",Inflation; Oil prices; Shocks; Time variation; Volatility,energy market; inflation; oil supply; price dynamics; regression analysis; stochasticity; United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panyakaew P., Damrongkulkamjorn P.",Hybrid computational method for step-bidding price optimal power flow,2013,5.0,This paper presents hybrid computational method for step-bidding price optimal power flow where the objective is to minimize total generation cost consisting of several step bidding prices from participated generators. The constraints are power balanced equations and system operating limits. The algorithm assumed a constant forecasted real power demand and no bilateral contracts. The hybrid computational method decomposes the calculations into two parts: the market dispatch part; and the power flow dispatch part. The bidding prices and the amount of power willing to produce are submitted from generators in form of several bidding blocks. The market dispatch part gives the results in terms of allocation of the bids of real power generations at each bus based only on the price offered without considering physical limits of the power systems. The power flow dispatch part minimizes the changes of real power generations resulting from the market dispatch part while satisfying power flow and necessary limits. The proposed method is applied to the IEEE 30 bus system. Four interesting case studies have been illustrated with satisfying results. © 2013 Praise Worthy Prize S.r.l. - All rights reserved.,Bidding price; Electricity market; Hybrid computational method; Optimal power flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sahni M., Jones R., Cheng Y.",Beyond the crystal ball: Locational marginal price forecasting and predictive operations in U.S. power markets,2012,5.0,"Signs are emerging that north american power markets are moving toward commonality and maturity in their function, if not their operations. More than ten years after the Federal Energy Regulatory Commission (FERC) announced its Notice of Proposed Rulemaking (NOPR) on standard market design (SMD), major U.S. power markets now seem to have a basis on which to voluntarily provide similar pricing granularity and hedging capabilities to their participants. © 2012 IEEE.",,Crystal balls; Federal energy regulatory commissions; Locational marginal price forecasting; North American; Notice of proposed rulemaking; Power markets; Standard market design; Electrical engineering; Energy resources; Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moazzami M., Hooshmand R.A.",Short-term nodal congestion price forecasting in a large-scale power market using ANN with genetic optimization training,2012,5.0,"In a daily power market, price and load forecasting are the most important signals for the market participants. In this paper, an accurate feed-forward neural network model with a genetic optimization Levenberg-Marquardt back propagation training algorithm is employed for short-term nodal congestion price forecasting in different zones of a large-scale power market. The use of genetic algorithms for neural network training optimization has a remarkable effect on the accuracy of price forecasting in a large-scale power market. The necessary data for neural network training are obtained by solving optimal power flow equations that take into account all effective constraints at any hour of the day in a single month. The structure of the neural network has 2 input signals of active and reactive powers for every load busbar in every hour of the programming model. These 2 signals are always available. In this study, an IEEE 118-bus power system is used to test the proposed method authenticity. This system is divided into 3 zones, and a neural network with genetic algorithm training optimization is employed for every zone. Performance of the proposed method is compared with ARIMA and GARCH time series for the same data. The simulation results show that the proposed algorithm is robust, efficient, and accurate. Therefore, the algorithm produces better results than the ARIMA and GARCH time series for short-term nodal congestion price forecasting. © TÜBİTAK.",Artificial neural network; Genetic algorithm; Nodal congestion price; Price forecasting,Congestion price; Genetic optimization; Input signal; Levenberg-Marquardt; Market participants; Neural network training; Optimal power flows; Power markets; Price and load forecasting; Price forecasting; Programming models; Training algorithms; Commerce; Computer programming; Costs; Forecasting; Neural networks; Optimization; Time series; Genetic algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uhlen K., Warland L., Grande O.S.",Model for area price determination and congestion management in joint power markets,2005,5.0,"The Market Splitting principle, used by Nord Pool in the Nordic day-ahead market, is an option also for the creation of a liberalized single market for electricity across the EU. However, improvements in the methodology for area price determination and congestion management are needed to make this model suitable for the more meshed and complex power system in central Europe. Alternative methodologies have been proposed where power flow calculations are included, and the main purpose of this paper is to present a simulation model which can be used to assess alternative methods for congestion management. The paper describes a simulation model where the Flow Based Market Coupling method is implemented and demonstrated. This method can be seen as a compromise between nodal pricing and market splitting (area pricing), where the criterion for congestion management is minimization of the Socio-economic Congestion Cost. The main principles for the proposed model are described, and case studies are performed on a generic system model in order to highlight the main characteristics of the method, and to summarise the main benefits and challenges that remain for a practical implementation of the Flow Based Market Coupling method. The case studies show that the method has the potential to solve the congestion management problem in a way that is optimal from a socio-economic point of view. The total costs of congestions are minimized, and the maximum differences in area prices are normally reduced. As a consequence the transmission system utilization is improved and the market players' risk referred to area prices is reduced. However, a successful implementation of the method depends heavily on the power flow model that is applied. It is of vital importance that this model is sufficiently accurate and continuously updated to predict the actual power flows on the main cross-border transmission corridors. © 2005 IEEE.",Congestion Management; Day ahead Market; Flow Based Market Coupling; Market Splitting; Power Exchange,Computer simulation; Cost effectiveness; Electric power systems; Electricity; Marketing; Optimization; Risk management; Congestion Management; Day ahead Market; Flow Based Market Coupling; Market Splitting; Power Exchange; Electric power distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macatangay R.E.A.,Space-time prices of wholesale electricity in England and Wales,1998,5.0,"Economic values of wholesale electricity for 11 areas in the supergrid of England and Wales are estimated for one half-hour each in winter peak and summer trough 1995/6. Estimates are obtained from the dual of a linear mathematical programme patterned after an optimal power flow, a traditional engineering tool for minimising generation costs in a supergrid. The economic value of wholesale electricity in a supergrid is a function of the size of demand and the adequacy of transmission capacity, both of which influence the intensity of competition amongst gensets. Information on the space-time value of wholesale electricity may contribute to business and regulatory policy decisions as regards Pool pricing, genset market power, capacity additions in generation and transmission, and increases in London demand.",Electricity spot price; Generation market power; Transmission,economic analysis; electricity industry; energy market; industrial regulation; pricing policy; United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deng L., Li Z., Sun H., Guo Q., Xu Y., Chen R., Wang J., Guo Y.",Generalized locational marginal pricing in a heat-and-electricity-integrated market,2019,4.0,"In this paper, a new pricing method derived from the heat-and-electricity-integrated market clearing problem, referred to as generalized locational marginal pricing (GLMP), is presented. The market clearing problem is formulated by the independent system operator (ISO) to coordinate the electric power system with the district heating system by considering time-delay effects in the heating transfer process. GLMP is explained as the shadow price related to the nodal electricity balance and nodal heat balance at the optimal solution. Without considering network constraints, a simplified market clearing problem is proposed to illustrate the price linkage between heating and electricity markets through combined heat and power joint costs and feasible regions. Rational generation units will behave exactly as the ISO predicts by maximizing their individual producer surplus. Then, a compact form of the complete market clearing problem is employed to derive the detailed components of GLMP, namely, the extended marginal generation component, marginal loss component, and marginal congestion component. Furthermore, time-delay effects are reflected in the pricing. Numerical results verify the validity of component classification in GLMP and demonstrate that the proposed method can promote efficiency improvements and reduce cross-subsidies. © 2010-2012 IEEE.",combined heat and power; cost allocation; cross-subsidy; integrated energy system; Locational marginal pricing,Commerce; District heating; Electric power systems; Electric utilities; Location; Numerical methods; Power generation; Time delay; Combined heat and power; Cost allocation; Cross subsidy; Integrated energy systems; Locational marginal pricing; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manner H., Alavi Fard F., Pourkhanali A., Tafakori L.",Forecasting the joint distribution of Australian electricity prices using dynamic vine copulae,2019,4.0,"We consider the problem of modelling and forecasting the distribution of a vector of prices from interconnected electricity markets using a flexible class of drawable vine copula models, where we allow the dependence parameters of the constituting bivariate copulae to be time-varying. We undertake in-sample and out-of-sample tests using daily electricity prices, and evidence that our model provides accurate forecasts of the underlying distribution and outperforms a set of competing models in their abilities to forecast one-day-ahead conditional quantiles of a portfolio of electricity prices. Our study is conducted in the Australian National Electricity Market (NEM), which is the most efficient power auction in the world. Electricity prices exhibit highly stylised features such as extreme price spikes, price dependency between regional markets, correlation asymmetry and non-linear dependency. The developed approach can be used as a risk management tool in the electricity retail industry, which plays an integral role in the apparatus of modern energy markets. Electricity retailers are responsible for the efficient distribution of electricity, while being exposed to market risk with extreme magnitudes. © 2018 Elsevier B.V.",Back-testing; Dvine copula; Electricity prices; Nonlinear dependence; SCAR model,Commerce; Costs; Electric power system interconnection; Forecasting; Risk management; Australian electricities; Australian national electricity market (NEM); Conditional quantiles; Dvine copula; Electricity prices; Modelling and forecasting; Nonlinear dependence; Underlying distribution; Power markets; electricity supply; energy efficiency; energy market; forecasting method; nonlinearity; price determination; Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maekawa J., Hai B.H., Shinkuma S., Shimada K.",The effect of renewable energy generation on the electric power spot price of the Japan electric power exchange,2018,4.0,"This study aims to explore the relationship between renewable energies and the electric power spot price of the Japan Electric Power Exchange (JEPX). By using panel data analysis and proxy modeling, this work attempts to estimate how renewable energies (displayed through the proxies) and other factors influence the electric power spot price in Japan. Based on an analysis of the estimations, some policy implications have been proposed, such as to incorporate weather information into the price forecast, or to provide a guide to more effectively transact on the JEPX. C 2018 by the authors. Licensee MDPI, Basel, Switzerland. © 2018 MDPI AG. All rights reserved.",Electricity market; Japan Electric Power Exchange (JEPX); Market design; Renewable energy,Commerce; Public policy; Renewable energy resources; Electric power; Market design; Panel data analysis; Policy implications; Price forecasts; Renewable energies; Renewable energy generation; Weather information; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smith M.S., Shively T.S.",Econometric modeling of regional electricity spot prices in the Australian market,2018,4.0,"Wholesale electricity markets are increasingly integrated via high voltage interconnectors, and inter-regional trade in electricity is growing. To model this, we consider a spatial equilibrium model of price formation, where constraints on inter-regional flows result in three distinct equilibria in prices. We use this to motivate an econometric model for the distribution of observed electricity spot prices that captures many of their unique empirical characteristics. The econometric model features supply and inter-regional trade cost functions, which are estimated using Bayesian monotonic regression smoothing methodology. A copula multivariate time series model is employed to capture additional dependence — both cross-sectional and serial — in regional prices. The marginal distributions are nonparametric, with means given by the regression means. The model has the advantage of preserving the heavy right-hand tail in the predictive densities of price. We fit the model to half-hourly spot price data in the five interconnected regions of the Australian national electricity market. The fitted model is then used to measure how both supply and price shocks in one region are transmitted to the distribution of prices in all regions in subsequent periods. Finally, to validate our econometric model, we show that prices forecast using the proposed model compares favorably with those from some benchmark alternatives. © 2018 Elsevier B.V.",Bayesian monotonic function estimation; Copula time series model; Intraday electricity prices,Commerce; Cost functions; Electric power system interconnection; Power markets; Time series; Australian national electricity markets; Electricity prices; Empirical characteristics; Monotonic functions; Multivariate time series models; Spatial equilibrium models; Time series modeling; Wholesale electricity markets; Costs; Bayesian analysis; econometrics; electricity supply; energy market; estimation method; numerical model; price dynamics; time series analysis; Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ilseven E., Göl M.",Hydro-Optimization-Based Medium-Term Price Forecasting Considering Demand and Supply Uncertainty,2018,4.0,"This paper proposes an electricity market model of Turkish electricity market for monthly and yearly electricity price forecasting in medium-term by means of supply and demand dynamics formed via a theoretical approach. The electricity market model created within this scope consists of three main components related to electricity demand, supply, and price segments along with hydro optimization submodel, which takes into account the nonlinear relation between supply and price. Electricity price is determined based on the intersection of demand curve and merit order curve that has dynamic behavior for dam-type hydrogeneration, import coal, and natural gas power plants. The paper aims to determine the range of possible electricity prices rather than a single price forecast by creating multiple scenarios based on the uncertainties in main variables affecting the electricity prices. Meanwhile, electricity generation portfolio with respect to market participants and primary energy resources as well as price forecasts can be obtained simultaneously. Ultimately, the model can identify how effective a variable of the market on the electricity price is. The developed method is validated via real data. © 1969-2012 IEEE.",Electricity market modeling; electricity price forecasting; optimization,Commerce; Costs; Electric industry; Electric utilities; Forecasting; Optimization; Power generation; Uncertainty analysis; Demand forecasting; Electricity market model; Electricity price forecasting; Predictive models; Uncertainty; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frimpong P.B., Antwi A.O., Brew S.E.Y.",Effect of Energy Prices on Economic Growth in the ECOWAS Sub-Region: Investigating the Channels Using Panel Data,2018,4.0,"The article empirically examines the effect of energy prices on economic growth within the Economic Community of West African States sub-region by acknowledging that the effect of energy prices on growth is quintessentially indirect and hence can be tracked through some channels. Exploiting the System Generalized Methods of Moments estimation technique for the period spanning 2002–2015, the results indicate that the overall effect of energy prices on economic growth is significantly negative. This effect propagates mainly through government consumption expenditure and investment, albeit its effect through real interest rate is positive. However, its negative effects on government consumption, investment, and exchange rate significantly overwhelm the positive effect from real interest rate. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",economic growth; energy prices; Ghana; System GMM,economic growth; economic relations; energy market; exchange rate; expenditure; interest rate; investment; panel data; price dynamics; regional economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shang D.R.,Pricing of emergency dynamic microgrid power service for distribution resilience enhancement,2017,4.0,"Extreme weather events can cause significant damage to power distribution grids, leading to extended power outages. Intentional islanding enables the use of distributed energy resources (DERs) to power critical loads and accelerate grid restoration. In this study, an innovative dynamic microgrid islanding scheme was investigated as a means of enhancing distribution grid resilience. If customers in a dynamic microgrid request emergency electricity services during an outage, the question of how the distribution system operator should price the DER emergency power service arises. To answer this question, an economic load dispatch model was implemented in a single-bid auction market to forecast the market-clearing price of electricity in the dynamic microgrid island. The results show that the cost of emergency service is impacted by the power supply and demand in the island. When the combined heat and power plant capacity of the dynamic microgrid exceeded the demand, the market-clearing price of electricity in the island could be even less than the on-grid electricity price during normal periods. Thus, the dynamic microgrid scheme provides a low-cost means of supplying end-users with emergency power. © 2017 Elsevier Ltd",Distributed energy resources; Dynamic microgrid; Economic load dispatch; Electricity pricing; Intentional islanding,Cogeneration plants; Commerce; Costs; Distributed power generation; Electric power plant loads; Electric power transmission networks; Emergency services; Energy policy; Energy resources; Outages; Distributed Energy Resources; Economic load dispatch; Electricity pricing; Intentional islanding; Micro grid; Electric load dispatching; distribution system; electricity supply; energy market; energy resource; pricing policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
